# time,average_distance,95CLI
0.000000000000000000e+00,2.799997346345329402e-03,7.988608781373763064e-07
2.000000000000000042e-03,2.754634302233273727e-03,5.506085852765728908e-05
4.000000000000000083e-03,2.710474225135230814e-03,1.065167310022084531e-04
6.000000000000000125e-03,2.667661049122996026e-03,1.539209409445949626e-04
8.000000000000000167e-03,2.626328740135018200e-03,1.965121046088948208e-04
1.000000000000000021e-02,2.586693286394804291e-03,2.339276012553830313e-04
1.200000000000000025e-02,2.548884635625194364e-03,2.660118668944999490e-04
1.400000000000000029e-02,2.513141672145091307e-03,2.926662013558297619e-04
1.600000000000000033e-02,2.479568340928406736e-03,3.149150561356596815e-04
1.799999999999999864e-02,2.448239365438836801e-03,3.338070871645093182e-04
2.000000000000000042e-02,2.419300287229685445e-03,3.512140137361758003e-04
2.199999999999999872e-02,2.392777361162076386e-03,3.691817820052606782e-04
2.400000000000000050e-02,2.368647086327856956e-03,3.899568687012008763e-04
2.599999999999999881e-02,2.346912723143142199e-03,4.149446946767478646e-04
2.800000000000000058e-02,2.327593303314807495e-03,4.453884259877885672e-04
2.999999999999999889e-02,2.310627072896507400e-03,4.821502184100773334e-04
3.200000000000000067e-02,2.296050395527894292e-03,5.257669376511481252e-04
3.400000000000000244e-02,2.283843840801829013e-03,5.760528481614640966e-04
3.599999999999999728e-02,2.273893070282171931e-03,6.324012023891455820e-04
3.799999999999999906e-02,2.266170952779054081e-03,6.947218585910946292e-04
4.000000000000000083e-02,2.260733279359195512e-03,7.626658149821599272e-04
4.200000000000000261e-02,2.257371658827206536e-03,8.356970079459592575e-04
4.399999999999999745e-02,2.256082541308539191e-03,9.130775836636270725e-04
4.599999999999999922e-02,2.256846039521782400e-03,9.947531883726940926e-04
4.800000000000000100e-02,2.259687757584401269e-03,1.080584196424006285e-03
5.000000000000000278e-02,2.264491168029791456e-03,1.169936415002467396e-03
5.199999999999999761e-02,2.271186131654168161e-03,1.262702583688597984e-03
5.399999999999999939e-02,2.279766098868907763e-03,1.358786130039278239e-03
5.600000000000000117e-02,2.290169804270224090e-03,1.458197248802210223e-03
5.800000000000000294e-02,2.302314274926480636e-03,1.560758091181128166e-03
5.999999999999999778e-02,2.316204876006106288e-03,1.666496862361218842e-03
6.199999999999999956e-02,2.331824728681789090e-03,1.775719363355500024e-03
6.400000000000000133e-02,2.349087044613739489e-03,1.888531013851869238e-03
6.600000000000000311e-02,2.367943297808039037e-03,2.005689152146530353e-03
6.800000000000000488e-02,2.388337860265730538e-03,2.127152040194012824e-03
7.000000000000000666e-02,2.410211643934284144e-03,2.253332850401003340e-03
7.199999999999999456e-02,2.433531319911864423e-03,2.383965201013347936e-03
7.399999999999999634e-02,2.458232056053719257e-03,2.519117144391958864e-03
7.599999999999999811e-02,2.484292693936117694e-03,2.658656723795360579e-03
7.799999999999999989e-02,2.511639919169120563e-03,2.802450679514128726e-03
8.000000000000000167e-02,2.540223831157945727e-03,2.951034286593949910e-03
8.200000000000000344e-02,2.570045197495404547e-03,3.103906664152922355e-03
8.400000000000000522e-02,2.601023095926066186e-03,3.260801329013098254e-03
8.599999999999999312e-02,2.633107497128080003e-03,3.421718554223320257e-03
8.799999999999999489e-02,2.666328534319069819e-03,3.586437961441516289e-03
8.999999999999999667e-02,2.700590821137048222e-03,3.754471163673226558e-03
9.199999999999999845e-02,2.735909381424843443e-03,3.925854016821673717e-03
9.400000000000000022e-02,2.772277433597947552e-03,4.100683857069576700e-03
9.600000000000000200e-02,2.809680081815242245e-03,4.278797169384010272e-03
9.800000000000000377e-02,2.848144735161498020e-03,4.459830858009882458e-03
1.000000000000000056e-01,2.887710632307461528e-03,4.643944793503689515e-03
1.019999999999999934e-01,2.928294671858982633e-03,4.830309391557125777e-03
1.039999999999999952e-01,2.969895051124530998e-03,5.019252209183858691e-03
1.059999999999999970e-01,3.012537368062702305e-03,5.210446454744542891e-03
1.079999999999999988e-01,3.056210982019656741e-03,5.403213739482109687e-03
1.100000000000000006e-01,3.100970415068560020e-03,5.597852486121536637e-03
1.120000000000000023e-01,3.146781327449005815e-03,5.793963026242441444e-03
1.140000000000000041e-01,3.193604310938033628e-03,5.991664565275832063e-03
1.160000000000000059e-01,3.241489690834533852e-03,6.190833139404660311e-03
1.179999999999999938e-01,3.290479198743350570e-03,6.391128063074044512e-03
1.199999999999999956e-01,3.340526073824387487e-03,6.592824726741416778e-03
1.219999999999999973e-01,3.391616922571480224e-03,6.795808407815422461e-03
1.239999999999999991e-01,3.443780275592109915e-03,7.000213187618346995e-03
1.260000000000000009e-01,3.497046844054531745e-03,7.206246632218328389e-03
1.280000000000000027e-01,3.551376249590894145e-03,7.413858348574042627e-03
1.300000000000000044e-01,3.606667366593362470e-03,7.623018153015488803e-03
1.320000000000000062e-01,3.662950214411768608e-03,7.833919216528574536e-03
1.340000000000000080e-01,3.720275925004771014e-03,8.046578821691803551e-03
1.360000000000000098e-01,3.778516223076227622e-03,8.261102065031620048e-03
1.380000000000000115e-01,3.837659261243701360e-03,8.477611735771304474e-03
1.400000000000000133e-01,3.897654461032873732e-03,8.696159168599476574e-03
1.419999999999999873e-01,3.958544855645260846e-03,8.917260247445161353e-03
1.439999999999999891e-01,4.020263583338762325e-03,9.141182746887457564e-03
1.459999999999999909e-01,4.082919753883770472e-03,9.368285352850561770e-03
1.479999999999999927e-01,4.146444857892105443e-03,9.598879260120370821e-03
1.499999999999999944e-01,4.210857465205762942e-03,9.833292294508359094e-03
1.519999999999999962e-01,4.276183013248344503e-03,1.007151517489335638e-02
1.539999999999999980e-01,4.342291370640222366e-03,1.031369344147195326e-02
1.559999999999999998e-01,4.409156063496739997e-03,1.055974870308975730e-02
1.580000000000000016e-01,4.476853856380791190e-03,1.080988408251205152e-02
1.600000000000000033e-01,4.545298744197233919e-03,1.106399362413166762e-02
1.620000000000000051e-01,4.614511237273963458e-03,1.132228350059310759e-02
1.640000000000000069e-01,4.684522136078379459e-03,1.158510189721702853e-02
1.660000000000000087e-01,4.755273415606769451e-03,1.185216886454291962e-02
1.680000000000000104e-01,4.826895441961545803e-03,1.212366750801735851e-02
1.700000000000000122e-01,4.899339394460199698e-03,1.239966285490879186e-02
1.719999999999999862e-01,4.972602457499244663e-03,1.267987230995384906e-02
1.739999999999999880e-01,5.046735464871793947e-03,1.296441046942193968e-02
1.759999999999999898e-01,5.121717455750013706e-03,1.325331239947925496e-02
1.779999999999999916e-01,5.197521897179745512e-03,1.354610096712931429e-02
1.799999999999999933e-01,5.274213759103087498e-03,1.384279980813794136e-02
1.819999999999999951e-01,5.351821007229163978e-03,1.414342578942426494e-02
1.839999999999999969e-01,5.430358301709077573e-03,1.444767201435973383e-02
1.859999999999999987e-01,5.509917976967909810e-03,1.475539167121365895e-02
1.880000000000000004e-01,5.590418694617056358e-03,1.506621256729210982e-02
1.900000000000000022e-01,5.671875173858576674e-03,1.538011146494958417e-02
1.920000000000000040e-01,5.754255249586396476e-03,1.569678983492800439e-02
1.940000000000000058e-01,5.837517182530952559e-03,1.601595487971356827e-02
1.960000000000000075e-01,5.921586111399250452e-03,1.633737402721678264e-02
1.980000000000000093e-01,6.006476984934745050e-03,1.666081618793186642e-02
2.000000000000000111e-01,6.092243803993912035e-03,1.698628313493140765e-02
2.020000000000000129e-01,6.178928817353311967e-03,1.731406843210758079e-02
2.039999999999999869e-01,6.266475350806116444e-03,1.764447362241121017e-02
2.059999999999999887e-01,6.354748694013086924e-03,1.797705522172283327e-02
2.079999999999999905e-01,6.443844575214347295e-03,1.831222778427312597e-02
2.099999999999999922e-01,6.533822816137360712e-03,1.865016336752962217e-02
2.119999999999999940e-01,6.624588624924898986e-03,1.899123895851759572e-02
2.139999999999999958e-01,6.716122495168372168e-03,1.933579909047674836e-02
2.159999999999999976e-01,6.808576017560245136e-03,1.968416044751981203e-02
2.179999999999999993e-01,6.901826852031374936e-03,2.003626616901325180e-02
2.200000000000000011e-01,6.995793415209484133e-03,2.039172009036640740e-02
2.220000000000000029e-01,7.090609886968697595e-03,2.075084615699175974e-02
2.240000000000000047e-01,7.186350098570162652e-03,2.111426792462745006e-02
2.260000000000000064e-01,7.282967760057062860e-03,2.148174354381790843e-02
2.280000000000000082e-01,7.380409538576295642e-03,2.185280799321698275e-02
2.300000000000000100e-01,7.478790730261704323e-03,2.222774498288701550e-02
2.320000000000000118e-01,7.578065766199326356e-03,2.260637006147579731e-02
2.340000000000000135e-01,7.678175965186164256e-03,2.298845364358706456e-02
2.359999999999999876e-01,7.779099549192690713e-03,2.337355265546972941e-02
2.379999999999999893e-01,7.880866853747166972e-03,2.376159786933941184e-02
2.399999999999999911e-01,7.983490133960879920e-03,2.415249067347656833e-02
2.419999999999999929e-01,8.086919741759689834e-03,2.454585925806349392e-02
2.439999999999999947e-01,8.191144565369035471e-03,2.494163623383701539e-02
