# time,average_distance,95CLI
0.000000000000000000e+00,2.800660278361854762e-05,7.899239733103720173e-07
2.000000000000000042e-03,2.859785465347313224e-05,1.123756806412389591e-06
4.000000000000000083e-03,2.913343074514478722e-05,1.721059748641588090e-06
6.000000000000000125e-03,2.973178894148053206e-05,2.476442690477991044e-06
8.000000000000000167e-03,3.036082671465792018e-05,3.290149113589807486e-06
1.000000000000000021e-02,3.096088527930396028e-05,4.227469811989733903e-06
1.200000000000000025e-02,3.160046199627879399e-05,5.146334515608877901e-06
1.400000000000000029e-02,3.223204272564933861e-05,6.147532807862337254e-06
1.600000000000000033e-02,3.288658949519289063e-05,7.211928041977120169e-06
1.799999999999999864e-02,3.353119135682327163e-05,8.205906234646410680e-06
2.000000000000000042e-02,3.420541523312371171e-05,9.348367080687665552e-06
2.199999999999999872e-02,3.486614817516288926e-05,1.056250034442192539e-05
2.400000000000000050e-02,3.553016649368009655e-05,1.179087849050541668e-05
2.599999999999999881e-02,3.624165391468468311e-05,1.304273297726421939e-05
2.800000000000000058e-02,3.694006602971874989e-05,1.444401471830308992e-05
2.999999999999999889e-02,3.762706190426052361e-05,1.587859600696446731e-05
3.200000000000000067e-02,3.833961149054431654e-05,1.740588478832482100e-05
3.400000000000000244e-02,3.908498960684254447e-05,1.895564437245311843e-05
3.599999999999999728e-02,3.980634251537428999e-05,2.057366601608723891e-05
3.799999999999999906e-02,4.055032562028353381e-05,2.232620878291406258e-05
4.000000000000000083e-02,4.128813713371673070e-05,2.409128316218150790e-05
4.200000000000000261e-02,4.204285380312487518e-05,2.590961926821141613e-05
4.399999999999999745e-02,4.282926024313464514e-05,2.776042137750924567e-05
4.599999999999999922e-02,4.358159210692333493e-05,2.974523532233084964e-05
4.800000000000000100e-02,4.436468842448537713e-05,3.168842652869233531e-05
5.000000000000000278e-02,4.515479574912111872e-05,3.369882861884286747e-05
5.199999999999999761e-02,4.595938096974773088e-05,3.571772877773676357e-05
5.399999999999999939e-02,4.676515870431426113e-05,3.784464023975693417e-05
5.600000000000000117e-02,4.757275505415732477e-05,4.013697909493706004e-05
5.800000000000000294e-02,4.842991838144075352e-05,4.242357515502191321e-05
5.999999999999999778e-02,4.925828707369486162e-05,4.479699811232489622e-05
6.199999999999999956e-02,5.010398860189756067e-05,4.735791593537728127e-05
6.400000000000000133e-02,5.097288944308755380e-05,4.994447929753520867e-05
6.600000000000000311e-02,5.182999049084496379e-05,5.265670143870050440e-05
6.800000000000000488e-02,5.273003927815177427e-05,5.554263977023681263e-05
7.000000000000000666e-02,5.362271690806138770e-05,5.850013866593487363e-05
7.199999999999999456e-02,5.451987234871955072e-05,6.154034194522664753e-05
7.399999999999999634e-02,5.544371758892598805e-05,6.472086509230255236e-05
7.599999999999999811e-02,5.637638715041166785e-05,6.793524755352302899e-05
7.799999999999999989e-02,5.729985898638214074e-05,7.116019327293314262e-05
8.000000000000000167e-02,5.822307167489562077e-05,7.440870984112957069e-05
8.200000000000000344e-02,5.917332835199383965e-05,7.764357705160661414e-05
8.400000000000000522e-02,6.009950695261465466e-05,8.094701252286694889e-05
8.599999999999999312e-02,6.106066352707338867e-05,8.423086902201305348e-05
8.799999999999999489e-02,6.198962823286002658e-05,8.752484315351503528e-05
8.999999999999999667e-02,6.295941770540713315e-05,9.090348965279399917e-05
9.199999999999999845e-02,6.392992058857591446e-05,9.435085707343638154e-05
9.400000000000000022e-02,6.491424317221403638e-05,9.788954263009810592e-05
