# time,average_distance,95CLI
2.879999999999999782e-01,8.881004694666461141e-03,3.063314595932551884e-02
2.899999999999999800e-01,8.973754918990009544e-03,3.104407647210387367e-02
2.919999999999999818e-01,9.067126482824818326e-03,3.145739077100692671e-02
2.939999999999999836e-01,9.161285692277972709e-03,3.187308261103717621e-02
2.959999999999999853e-01,9.256397588231242771e-03,3.229157325933797867e-02
2.979999999999999871e-01,9.352439164334789418e-03,3.271307852001551636e-02
2.999999999999999889e-01,9.449372286571434271e-03,3.313726650444546312e-02
3.019999999999999907e-01,9.547279381928529263e-03,3.356436349271554181e-02
3.039999999999999925e-01,9.646164206241574640e-03,3.399473260841726074e-02
3.059999999999999942e-01,9.746059404624019679e-03,3.442785363107683100e-02
3.079999999999999960e-01,9.846974492576959781e-03,3.486373696905061687e-02
3.099999999999999978e-01,9.948976424395735568e-03,3.530239431558915286e-02
3.119999999999999996e-01,1.005201592620184013e-02,3.574369920645268511e-02
3.140000000000000013e-01,1.015617070356564407e-02,3.618754414194695623e-02
3.160000000000000031e-01,1.026147570000883122e-02,3.663405779388223538e-02
3.180000000000000049e-01,1.036784525294303858e-02,3.708275853537153915e-02
3.200000000000000067e-01,1.047533341379566427e-02,3.753358599212952562e-02
3.220000000000000084e-01,1.058403172587588092e-02,3.798637345766767148e-02
3.240000000000000102e-01,1.069388999326035400e-02,3.844092309261289836e-02
3.260000000000000120e-01,1.080489720520587393e-02,3.889742327528445537e-02
3.280000000000000138e-01,1.091708779178527516e-02,3.935558689148006134e-02
3.300000000000000155e-01,1.103063188795365065e-02,3.981527667131543741e-02
3.320000000000000173e-01,1.114537336458419625e-02,4.027664286365496837e-02
3.340000000000000191e-01,1.126138264514530557e-02,4.073965731328516721e-02
3.360000000000000209e-01,1.137867790977701091e-02,4.120487854502876551e-02
3.380000000000000226e-01,1.149730580785907758e-02,4.167202632379405497e-02
3.400000000000000244e-01,1.161724734002029559e-02,4.214158236620291903e-02
3.420000000000000262e-01,1.173853267644671058e-02,4.261370043451799539e-02
3.439999999999999725e-01,1.186123466603869123e-02,4.308827274530638296e-02
3.459999999999999742e-01,1.198535818041712546e-02,4.356554973251700047e-02
3.479999999999999760e-01,1.211080635292210994e-02,4.404515058249065806e-02
3.499999999999999778e-01,1.223757046179068352e-02,4.452696765558507991e-02
3.519999999999999796e-01,1.236565683024873352e-02,4.501078320729386822e-02
3.539999999999999813e-01,1.249496053683981159e-02,4.549675721679272145e-02
3.559999999999999831e-01,1.262540862777002983e-02,4.598461448259597711e-02
3.579999999999999849e-01,1.275702034010522783e-02,4.647471427179473979e-02
3.599999999999999867e-01,1.288973236195335020e-02,4.696687010100802917e-02
3.619999999999999885e-01,1.302356083248519883e-02,4.746130833129187654e-02
3.639999999999999902e-01,1.315836776550115272e-02,4.795810134740710606e-02
3.659999999999999920e-01,1.329419283225241610e-02,4.845740714227493584e-02
3.679999999999999938e-01,1.343092392779553571e-02,4.895963257478482683e-02
3.699999999999999956e-01,1.356849729276826851e-02,4.946406355659006132e-02
3.719999999999999973e-01,1.370675927949082350e-02,4.997067961413977077e-02
3.739999999999999991e-01,1.384579152327981670e-02,5.048007341718403762e-02
3.760000000000000009e-01,1.398554083128407052e-02,5.099213805084119172e-02
3.780000000000000027e-01,1.412598039846008416e-02,5.150675594898133230e-02
3.800000000000000044e-01,1.426709878376849518e-02,5.202428888302364912e-02
3.820000000000000062e-01,1.440881342583554686e-02,5.254503605341769024e-02
3.840000000000000080e-01,1.455124244928754362e-02,5.306923794106545300e-02
3.860000000000000098e-01,1.469438532271440112e-02,5.359687107527377758e-02
3.880000000000000115e-01,1.483825440807290050e-02,5.412799204510837514e-02
3.900000000000000133e-01,1.498301462819297616e-02,5.466326861655630698e-02
3.920000000000000151e-01,1.512863652771502532e-02,5.520289569560203613e-02
3.940000000000000169e-01,1.527512876590998540e-02,5.574652374624770867e-02
3.960000000000000187e-01,1.542256480964589518e-02,5.629434103739390516e-02
3.980000000000000204e-01,1.557091792381557274e-02,5.684650837338716539e-02
4.000000000000000222e-01,1.572029034255471858e-02,5.740318539102833018e-02
4.020000000000000240e-01,1.587071129336989697e-02,5.796424133240694887e-02
4.040000000000000258e-01,1.602213266237767844e-02,5.852957026289785231e-02
4.060000000000000275e-01,1.617476518742191893e-02,5.909955994344821134e-02
4.079999999999999738e-01,1.632858551069832354e-02,5.967419825427037333e-02
4.099999999999999756e-01,1.648351423673623944e-02,6.025332794043961743e-02
4.119999999999999774e-01,1.663957987731271362e-02,6.083714184229695177e-02
4.139999999999999791e-01,1.679682716040248325e-02,6.142531896274815162e-02
4.159999999999999809e-01,1.695520339470491661e-02,6.201736855440589946e-02
4.179999999999999827e-01,1.711468574871134046e-02,6.261335236496017032e-02
4.199999999999999845e-01,1.727537463662357983e-02,6.321274806286497627e-02
4.219999999999999862e-01,1.743722309117349406e-02,6.381559746673799716e-02
4.239999999999999880e-01,1.760021995384297017e-02,6.442212172879364929e-02
4.259999999999999898e-01,1.776432189763579861e-02,6.503219960467153393e-02
4.279999999999999916e-01,1.792965144324886601e-02,6.564613601958872724e-02
4.299999999999999933e-01,1.809606194800954942e-02,6.626348194407605252e-02
4.319999999999999951e-01,1.826356191132896822e-02,6.688450106203379375e-02
4.339999999999999969e-01,1.843227377551773238e-02,6.750976040722010685e-02
4.359999999999999987e-01,1.860215875858390461e-02,6.813890888206795837e-02
4.380000000000000004e-01,1.877313740511600548e-02,6.877204044694192053e-02
4.400000000000000022e-01,1.894536925326329932e-02,6.940936246878753879e-02
4.420000000000000040e-01,1.911877401337901128e-02,7.005078475901134472e-02
4.440000000000000058e-01,1.929326446547140195e-02,7.069642901986501748e-02
4.460000000000000075e-01,1.946886443583507181e-02,7.134601713544667934e-02
4.480000000000000093e-01,1.964553467968129657e-02,7.199937953719001693e-02
4.500000000000000111e-01,1.982315243633676199e-02,7.265631355126223045e-02
4.520000000000000129e-01,2.000172232666254379e-02,7.331668965887762346e-02
4.540000000000000147e-01,2.018122823207511157e-02,7.398042714711941525e-02
4.560000000000000164e-01,2.036167504594355027e-02,7.464764321531447422e-02
4.580000000000000182e-01,2.054301571085154904e-02,7.531833054679509809e-02
4.600000000000000200e-01,2.072528134410366735e-02,7.599223974800123349e-02
4.620000000000000218e-01,2.090847290620153134e-02,7.666924263910727955e-02
4.640000000000000235e-01,2.109257337853858577e-02,7.734920368253123124e-02
4.660000000000000253e-01,2.127749175441440155e-02,7.803166312632264789e-02
4.680000000000000271e-01,2.146339010420243720e-02,7.871660217091587530e-02
4.699999999999999734e-01,2.165016546412398130e-02,7.940419734053938416e-02
4.719999999999999751e-01,2.183792674654818494e-02,8.009449203061315414e-02
4.739999999999999769e-01,2.202679999618713247e-02,8.078776066971517233e-02
4.759999999999999787e-01,2.221677382002486961e-02,8.148361852237462344e-02
4.779999999999999805e-01,2.240781340295240620e-02,8.218193226814735075e-02
4.799999999999999822e-01,2.259998129779228204e-02,8.288258325814334970e-02
4.819999999999999840e-01,2.279344204083315686e-02,8.358580422961989220e-02
4.839999999999999858e-01,2.298816622270466459e-02,8.429137882006287885e-02
4.859999999999999876e-01,2.318408598263684006e-02,8.499907736950809700e-02
4.879999999999999893e-01,2.338133178699653217e-02,8.570942535988027022e-02
4.899999999999999911e-01,2.357995427897962432e-02,8.642211875334690485e-02
4.919999999999999929e-01,2.378002586116306077e-02,8.713690892295820889e-02
4.939999999999999947e-01,2.398150069421812330e-02,8.785356143166994647e-02
4.959999999999999964e-01,2.418438633996101289e-02,8.857219651765477209e-02
4.979999999999999982e-01,2.438883110453128611e-02,8.929272333098633996e-02
5.000000000000000000e-01,2.459477871956767051e-02,9.001528524970336953e-02
5.020000000000000018e-01,2.480225353791561463e-02,9.073990887197413979e-02
5.040000000000000036e-01,2.501130622464392550e-02,9.146663854034378649e-02
5.060000000000000053e-01,2.522184294048079520e-02,9.219519752658947298e-02
5.080000000000000071e-01,2.543399346693409405e-02,9.292598829645087877e-02
5.100000000000000089e-01,2.564767953253239974e-02,9.365873824129127001e-02
5.120000000000000107e-01,2.586287073570062850e-02,9.439328634680130281e-02
5.140000000000000124e-01,2.607959684011689969e-02,9.512989283425481168e-02
5.160000000000000142e-01,2.629774050134507657e-02,9.586838232725873599e-02
5.180000000000000160e-01,2.651719964484311465e-02,9.660867413939572268e-02
5.200000000000000178e-01,2.673798890166673853e-02,9.735087888320037575e-02
5.220000000000000195e-01,2.695998965426163116e-02,9.809487219481782816e-02
5.240000000000000213e-01,2.718316009044614845e-02,9.884058488432749534e-02
5.260000000000000231e-01,2.740739106237124328e-02,9.958809874489706060e-02
5.280000000000000249e-01,2.763254240926189820e-02,1.003372694319274450e-01
5.300000000000000266e-01,2.785862473834683009e-02,1.010884096973963669e-01
5.320000000000000284e-01,2.808561223721146166e-02,1.018414740809715086e-01
5.340000000000000302e-01,2.831346677710511184e-02,1.025964442726295806e-01
5.360000000000000320e-01,2.854211226101013160e-02,1.033536064090520984e-01
5.380000000000000338e-01,2.877145291670459709e-02,1.041127899758749198e-01
5.400000000000000355e-01,2.900147878243581126e-02,1.048741682119351259e-01
5.420000000000000373e-01,2.923218775957404925e-02,1.056376988350486296e-01
5.440000000000000391e-01,2.946356736947104704e-02,1.064034879309761344e-01
5.460000000000000409e-01,2.969551307410390334e-02,1.071714612495963392e-01
5.480000000000000426e-01,2.992805729637321860e-02,1.079413827005731852e-01
5.500000000000000444e-01,3.016125142993755781e-02,1.087134283947382291e-01
5.520000000000000462e-01,3.039508058293397333e-02,1.094875242563823625e-01
5.540000000000000480e-01,3.062953784362438397e-02,1.102636556091597664e-01
5.560000000000000497e-01,3.086464158317317463e-02,1.110420262324486873e-01
5.580000000000000515e-01,3.110053324491322824e-02,1.118227098064269731e-01
5.600000000000000533e-01,3.133707745325600702e-02,1.126055289602146126e-01
5.620000000000000551e-01,3.157445587676081800e-02,1.133906378752199406e-01
5.639999999999999458e-01,3.181248016869115541e-02,1.141781334350663590e-01
5.659999999999999476e-01,3.205121658962469672e-02,1.149680160057439809e-01
5.679999999999999494e-01,3.229063600078677099e-02,1.157605129177397413e-01
5.699999999999999512e-01,3.253071651012147403e-02,1.165554273239430422e-01
5.719999999999999529e-01,3.277151723465111799e-02,1.173528370249041775e-01
5.739999999999999547e-01,3.301291583736484098e-02,1.181523025384198650e-01
5.759999999999999565e-01,3.325493980344614020e-02,1.189539485743552200e-01
5.779999999999999583e-01,3.349767435737147775e-02,1.197579395675829328e-01
5.799999999999999600e-01,3.374108756642127394e-02,1.205638645772871970e-01
5.819999999999999618e-01,3.398515826687400349e-02,1.213715656874977400e-01
5.839999999999999636e-01,3.422984958072081141e-02,1.221805547934869951e-01
5.859999999999999654e-01,3.447508606097159783e-02,1.229908975042114938e-01
5.879999999999999671e-01,3.472087586711079116e-02,1.238023312520022678e-01
5.899999999999999689e-01,3.496732145543245823e-02,1.246150431467911573e-01
5.919999999999999707e-01,3.521448184462201703e-02,1.254288947024099488e-01
5.939999999999999725e-01,3.546244350454995364e-02,1.262438254057774989e-01
5.959999999999999742e-01,3.571113454230993162e-02,1.270597636670615649e-01
5.979999999999999760e-01,3.596066316574850208e-02,1.278767887763477828e-01
5.999999999999999778e-01,3.621110709284881130e-02,1.286947443533525692e-01
6.019999999999999796e-01,3.646247143467817864e-02,1.295136782174111933e-01
6.039999999999999813e-01,3.671470532202433107e-02,1.303336898580598202e-01
6.059999999999999831e-01,3.696791706592129911e-02,1.311549213054438445e-01
6.079999999999999849e-01,3.722209682206074899e-02,1.319775128293483868e-01
6.099999999999999867e-01,3.747735001550846906e-02,1.328015225968431356e-01
6.119999999999999885e-01,3.773362652390198357e-02,1.336267029268565221e-01
6.139999999999999902e-01,3.799093786651845661e-02,1.344530251821703937e-01
6.159999999999999920e-01,3.824936706750986515e-02,1.352807228682760821e-01
6.179999999999999938e-01,3.850897245547901804e-02,1.361097263289596238e-01
6.199999999999999956e-01,3.876975033363856682e-02,1.369400302367494437e-01
6.219999999999999973e-01,3.903172786691359863e-02,1.377715769645821431e-01
6.239999999999999991e-01,3.929492181774200954e-02,1.386046833025736391e-01
6.260000000000000009e-01,3.955934370723122873e-02,1.394392727965735046e-01
6.280000000000000027e-01,3.982497631725297194e-02,1.402752589638528169e-01
6.300000000000000044e-01,4.009182239178203655e-02,1.411128708634799833e-01
6.320000000000000062e-01,4.035992088561674018e-02,1.419522697381625786e-01
6.340000000000000080e-01,4.062927162751678312e-02,1.427935362925458473e-01
6.360000000000000098e-01,4.089992495701160607e-02,1.436368685678900969e-01
6.380000000000000115e-01,4.117180207863050528e-02,1.444822248356474603e-01
6.400000000000000133e-01,4.144501648050306908e-02,1.453293640490629091e-01
6.420000000000000151e-01,4.171947134901968224e-02,1.461784125281478108e-01
6.440000000000000169e-01,4.199526319187247420e-02,1.470297044548898036e-01
6.460000000000000187e-01,4.227241511069299018e-02,1.478831716934079776e-01
6.480000000000000204e-01,4.255090907507218245e-02,1.487385347149418335e-01
6.500000000000000222e-01,4.283074478700075322e-02,1.495959575750920589e-01
6.520000000000000240e-01,4.311191489688225020e-02,1.504551858060477476e-01
6.540000000000000258e-01,4.339443217938492026e-02,1.513165127431285173e-01
6.560000000000000275e-01,4.367846524691861021e-02,1.521798739690668201e-01
6.580000000000000293e-01,4.396387563961469402e-02,1.530447114174887935e-01
6.600000000000000311e-01,4.425063004418131052e-02,1.539109503742968343e-01
6.620000000000000329e-01,4.453867186964223512e-02,1.547785250659614031e-01
6.640000000000000346e-01,4.482810863018789338e-02,1.556472156931517636e-01
6.660000000000000364e-01,4.511890202212083534e-02,1.565169662058074340e-01
6.680000000000000382e-01,4.541108335168224375e-02,1.573878069112934208e-01
6.700000000000000400e-01,4.570457674475963961e-02,1.582594427722989194e-01
6.720000000000000417e-01,4.599937519197339064e-02,1.591317685398132842e-01
6.740000000000000435e-01,4.629562072750360857e-02,1.600049415613987724e-01
6.760000000000000453e-01,4.659326501030897072e-02,1.608786751085904132e-01
6.780000000000000471e-01,4.689238591052366512e-02,1.617528295696407659e-01
6.800000000000000488e-01,4.719290058177308400e-02,1.626273554153068179e-01
6.820000000000000506e-01,4.749479457427244200e-02,1.635021576436249957e-01
6.840000000000000524e-01,4.779817869312215362e-02,1.643774164789928161e-01
6.860000000000000542e-01,4.810311183899815268e-02,1.652531939601354083e-01
6.879999999999999449e-01,4.840955574765160030e-02,1.661290776234762567e-01
6.899999999999999467e-01,4.871750301887273898e-02,1.670050707213599772e-01
6.919999999999999485e-01,4.902688853756459464e-02,1.678814864041844324e-01
6.939999999999999503e-01,4.933769126027232749e-02,1.687583261992123274e-01
6.959999999999999520e-01,4.964993540093629032e-02,1.696354154724692143e-01
6.979999999999999538e-01,4.996346644121915648e-02,1.705131454757140841e-01
6.999999999999999556e-01,5.027843104955663500e-02,1.713918278740981238e-01
7.019999999999999574e-01,5.059472939309729578e-02,1.722712154145570607e-01
7.039999999999999591e-01,5.091233656339688024e-02,1.731515218566786751e-01
7.059999999999999609e-01,5.123116290430958231e-02,1.740325239973441185e-01
7.079999999999999627e-01,5.155122385720148359e-02,1.749140530957840611e-01
7.099999999999999645e-01,5.187252419429492362e-02,1.757963979963317602e-01
7.119999999999999662e-01,5.219509212203572029e-02,1.766798723261423509e-01
7.139999999999999680e-01,5.251892282183952265e-02,1.775641984690800312e-01
7.159999999999999698e-01,5.284406474428555295e-02,1.784497875525199451e-01
7.179999999999999716e-01,5.317055354507194825e-02,1.793366963867553399e-01
7.199999999999999734e-01,5.349843019994847404e-02,1.802247386417222264e-01
7.219999999999999751e-01,5.382769315491300888e-02,1.811139141160256760e-01
7.239999999999999769e-01,5.415818453924706871e-02,1.820043591286924500e-01
7.259999999999999787e-01,5.449001646244718694e-02,1.828961536532834331e-01
7.279999999999999805e-01,5.482320545026114766e-02,1.837894116917027365e-01
7.299999999999999822e-01,5.515771584251268067e-02,1.846842774430460243e-01
7.319999999999999840e-01,5.549355665833573953e-02,1.855807735673604408e-01
7.339999999999999858e-01,5.583073973836698289e-02,1.864787867356776374e-01
7.359999999999999876e-01,5.616931469121275167e-02,1.873784882696225285e-01
7.379999999999999893e-01,5.650919076954952908e-02,1.882798748444858561e-01
7.399999999999999911e-01,5.685033520759281978e-02,1.891829860592157686e-01
7.419999999999999929e-01,5.719271327998030202e-02,1.900876565552128417e-01
7.439999999999999947e-01,5.753641405073371684e-02,1.909942335501779165e-01
7.459999999999999964e-01,5.788129112860014580e-02,1.919027878216538752e-01
7.479999999999999982e-01,5.822740378269208872e-02,1.928134449637650683e-01
7.500000000000000000e-01,5.857477067342613253e-02,1.937260057786054090e-01
7.520000000000000018e-01,5.892335337892006669e-02,1.946404443253665906e-01
7.540000000000000036e-01,5.927309131360799371e-02,1.955568945924482382e-01
7.560000000000000053e-01,5.962397831055400721e-02,1.964752989219367973e-01
7.580000000000000071e-01,5.997605139233805338e-02,1.973954923770177838e-01
7.600000000000000089e-01,6.032915581440310288e-02,1.983173885773250600e-01
7.620000000000000107e-01,6.068322947368085668e-02,1.992410192149107195e-01
7.640000000000000124e-01,6.103818835052830100e-02,2.001663600946117783e-01
