# surftimeprefactor,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_8o0
0.000000000000000000e+00,8.725528191300254699e-01,2.176655309776520941e-01,1.715139271808753252e+00
8.163265306122448328e-02,9.030461421362738772e-01,2.344282694654741817e-01,1.747579871218688519e+00
1.632653061224489666e-01,9.305092341343347284e-01,2.498618416305587175e-01,1.775846756363550938e+00
2.448979591836734637e-01,9.550383808153950493e-01,2.640081004209283155e-01,1.800073566033963957e+00
3.265306122448979331e-01,9.767298678706416437e-01,2.769088987846052841e-01,1.820393939020552132e+00
4.081632653061224025e-01,9.956799809912609822e-01,2.886060896696122091e-01,1.836941514113939355e+00
4.897959183673469274e-01,1.011985005868440313e+00,2.991415260239717600e-01,1.849849930104750184e+00
5.714285714285713969e-01,1.025741228193365995e+00,3.085570607957062728e-01,1.859252825783608065e+00
6.530612244897958663e-01,1.037044933657225831e+00,3.168945469328383613e-01,1.865283839941137778e+00
7.346938775510203357e-01,1.045992407951205738e+00,3.241958373833904727e-01,1.868076611367963435e+00
8.163265306122448051e-01,1.052679936766492741e+00,3.305027850953850543e-01,1.867764778854708707e+00
8.979591836734692745e-01,1.057203805794274087e+00,3.358572430168447198e-01,1.864481981191997484e+00
9.795918367346938549e-01,1.059660300725735915e+00,3.403010640957920274e-01,1.858361857170454989e+00
1.061224489795918213e+00,1.060145707252065472e+00,3.438761012802493133e-01,1.849538045580704448e+00
1.142857142857142794e+00,1.058756311064449562e+00,3.466242075182393023e-01,1.838144185213369974e+00
1.224489795918367152e+00,1.055588397854074767e+00,3.485872357577843861e-01,1.824313914859076347e+00
1.306122448979591733e+00,1.050738253312128778e+00,3.498070389469070118e-01,1.808180873308447234e+00
1.387755102040816313e+00,1.044302163129797512e+00,3.503254700336296823e-01,1.789878699352106750e+00
1.469387755102040671e+00,1.036376412998267993e+00,3.501843819659751222e-01,1.769541031780678786e+00
1.551020408163265252e+00,1.027057288608727026e+00,3.494256276919657234e-01,1.747301509384788121e+00
1.632653061224489610e+00,1.016441075652361858e+00,3.480910601596239329e-01,1.723293770955058424e+00
1.714285714285714191e+00,1.004624059820358850e+00,3.462225323169723090e-01,1.697651455282114474e+00
1.795918367346938549e+00,9.917025268039050268e-01,3.438618971120334100e-01,1.670508201156579275e+00
1.877551020408163129e+00,9.777727622941874142e-01,3.410510074928295721e-01,1.641997647369077828e+00
1.959183673469387710e+00,9.629310519823924830e-01,3.378317164073836310e-01,1.612253432710234025e+00
2.040816326530612290e+00,9.472736815597071480e-01,3.342458768037177008e-01,1.581409195970671089e+00
2.122448979591836427e+00,9.308969367173186571e-01,3.303353416298545620e-01,1.549598575941015577e+00
2.204081632653061007e+00,9.138971031464130368e-01,3.261419638338167726e-01,1.516955211411889159e+00
2.285714285714285587e+00,8.963704665381777570e-01,3.217075963636265024e-01,1.483612741173916394e+00
2.367346938775510168e+00,8.784133125837993994e-01,3.170740921673065871e-01,1.449704804017722282e+00
2.448979591836734304e+00,8.601219269744651008e-01,3.122833041928796405e-01,1.415365038733931158e+00
2.530612244897958885e+00,8.415925954013614430e-01,3.073770853883677212e-01,1.380727084113165581e+00
2.612244897959183465e+00,8.229216035556754516e-01,3.023972887017937206e-01,1.345924578946050998e+00
2.693877551020408045e+00,8.042052371285933754e-01,2.973857670811799192e-01,1.311091162023211298e+00
2.775510204081632626e+00,7.855397818113026842e-01,2.923843734745489864e-01,1.276360472135270374e+00
2.857142857142856762e+00,7.670215232949899598e-01,2.874349608299234249e-01,1.241866148072851894e+00
2.938775510204081343e+00,7.487467472708421168e-01,2.825793820953256263e-01,1.207741828626581304e+00
3.020408163265305923e+00,7.308117394300456260e-01,2.778594902187780935e-01,1.174121152587081607e+00
3.102040816326530503e+00,7.133127854637880683e-01,2.733171381483034956e-01,1.141137758744977582e+00
3.183673469387754640e+00,6.963461710632554702e-01,2.689941788319241689e-01,1.108925285890892898e+00
3.265306122448979220e+00,6.800081819196357458e-01,2.649324652176629491e-01,1.077617372815451890e+00
3.346938775510203801e+00,6.643951037241146995e-01,2.611738502535421724e-01,1.047347658309278895e+00
3.428571428571428381e+00,6.496032221678791352e-01,2.577601868875839530e-01,1.018249781162996914e+00
3.510204081632652962e+00,6.357288229421163006e-01,2.547333280678114598e-01,9.904573801672320599e-01
3.591836734693877098e+00,6.228681917380129995e-01,2.521351267422465847e-01,9.641040941126064467e-01
3.673469387755101678e+00,6.111176142467564798e-01,2.500074358589123857e-01,9.393235617897452983e-01
3.755102040816326259e+00,6.005733761595328790e-01,2.483921083658308104e-01,9.162494219892725056e-01
3.836734693877550839e+00,5.913317631675287789e-01,2.473309972110250277e-01,8.950153135018124040e-01
3.918367346938775420e+00,5.834890609619316493e-01,2.468659553425172071e-01,8.757548751179893287e-01
4.000000000000000000e+00,5.771415552339285160e-01,2.470388357083295183e-01,8.586017456284267269e-01
