# vs,max_surftimeconst,max_average_velocity_axis
4.000000000000000000e+00,1.061224489795918213e+00,1.060145707252065472e+00
1.000000000000000000e+00,1.387755102040816313e+00,3.503254700336296823e-01
8.000000000000000000e+00,7.346938775510203357e-01,1.868076611367963435e+00
