# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta,surftimeprefactor
2.668401835937499883e-02,9.423568062728676642e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.500000000000000000e+00,nan
3.686665476074219017e-02,9.465333962600549003e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,nan
1.112657696044921929e-01,9.530400125884281801e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,nan
1.003650844970703226e-01,9.343041108210999035e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,nan
7.576816384277343386e-02,9.496513817564075297e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,nan
7.447970795898437024e-02,9.535391317132792949e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00,nan
6.033039660644530511e-02,9.493990138045926147e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,nan
4.834790837402343916e-02,9.604170494057687538e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+00,nan
5.502751752929688212e-02,9.455384902496370009e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,nan
4.858700048828124701e-02,9.503041639347930766e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.500000000000000000e+00,nan
3.666176716308593847e-02,9.401065460099420484e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,nan
1.194337060058593691e-01,9.631603008244175174e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,nan
1.047233944580078097e-01,9.514512807420452689e-03,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,nan
8.178790798339843904e-02,9.536295224605462889e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,nan
6.359711567382812791e-02,9.533949873233730013e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00,nan
6.410329218749999391e-02,9.422746464110294540e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,nan
4.413539262695312382e-02,9.463642275586004945e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+00,nan
4.741318544921875600e-02,9.633629964243776295e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,nan
4.358606425781250127e-02,9.543704694058524271e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+00,nan
4.218533256835937245e-02,9.525743701751949663e-03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,nan
1.209915418701171808e-01,9.537072913247297834e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,nan
1.090298379394531308e-01,9.528296593507906351e-03,1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,nan
8.869317060546874631e-02,9.394203698356095450e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,nan
7.937480515136718928e-02,9.504765338179115008e-03,1.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00,nan
6.990139074707031608e-02,9.666777877578747180e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,nan
5.125960466308593366e-02,9.547532516980660605e-03,1.000000000000000000e+00,5.000000000000000000e+00,2.500000000000000000e+00,nan
5.500011701660156155e-02,9.574033114633125063e-03,1.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,nan
4.499537065429687344e-02,9.507762434953902220e-03,1.000000000000000000e+00,5.000000000000000000e+00,3.500000000000000000e+00,nan
5.164910939941406293e-02,9.405203253358042012e-03,1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,nan
1.100944411865234229e-01,9.651208807897493358e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000056e-01,nan
1.021340159179687512e-01,9.630488530270646386e-03,1.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01,nan
9.080506674804686429e-02,9.321216077602396954e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,nan
6.864697531738281344e-02,9.481519724890098352e-03,1.000000000000000000e+00,6.000000000000000000e+00,1.500000000000000000e+00,nan
6.667394853515624942e-02,9.597259179411492952e-03,1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,nan
5.341243161621093971e-02,9.492934026738985773e-03,1.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e+00,nan
4.663683676757812702e-02,9.471075897206760949e-03,1.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,nan
3.917594970703125457e-02,9.435380664814337418e-03,1.000000000000000000e+00,6.000000000000000000e+00,3.500000000000000000e+00,nan
4.261214682617187055e-02,9.518109504467140228e-03,1.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00,nan
1.111453445556640773e-01,9.608296646624530507e-03,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01,nan
1.015117469970703012e-01,9.648147134159186511e-03,1.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e-01,nan
8.250338581542968064e-02,9.616720678521397531e-03,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,nan
7.316460476074218566e-02,9.455211552977972264e-03,1.000000000000000000e+00,7.000000000000000000e+00,1.500000000000000000e+00,nan
6.519024782714843980e-02,9.544329394996329749e-03,1.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00,nan
5.806916062011718838e-02,9.580858000566997226e-03,1.000000000000000000e+00,7.000000000000000000e+00,2.500000000000000000e+00,nan
4.611038874511719232e-02,9.740801512696567813e-03,1.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,nan
5.219503725585937504e-02,9.538199663074373863e-03,1.000000000000000000e+00,7.000000000000000000e+00,3.500000000000000000e+00,nan
4.130820466308593453e-02,9.631184964660411546e-03,1.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,nan
1.058383801757812465e-01,9.600834655370862544e-03,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000056e-01,nan
8.669084841308594136e-02,9.630702179999926088e-03,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01,nan
8.252534980468749504e-02,9.538367552971497437e-03,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,nan
7.506410190429686768e-02,9.387259414180648340e-03,1.000000000000000000e+00,8.000000000000000000e+00,1.500000000000000000e+00,nan
6.281263122558594647e-02,9.564383898415358687e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,nan
5.934358139648437253e-02,9.495675769643824662e-03,1.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e+00,nan
4.066097578124999723e-02,9.407390866544544303e-03,1.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00,nan
4.034593386230468648e-02,9.596906198390063591e-03,1.000000000000000000e+00,8.000000000000000000e+00,3.500000000000000000e+00,nan
4.128225012207031169e-02,9.421540098305704672e-03,1.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00,nan
1.058259993896484424e-01,9.511124934571540956e-03,1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000056e-01,nan
8.650646691894531282e-02,9.638320650518492072e-03,1.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e-01,nan
7.535565808105468277e-02,9.559988286443664093e-03,1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,nan
6.334409013671873923e-02,9.591928691697473169e-03,1.000000000000000000e+00,9.000000000000000000e+00,1.500000000000000000e+00,nan
6.303481247558594125e-02,9.514438562718883705e-03,1.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00,nan
5.435157976074218855e-02,9.673398772767400136e-03,1.000000000000000000e+00,9.000000000000000000e+00,2.500000000000000000e+00,nan
5.588762604980468396e-02,9.626846286772032871e-03,1.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,nan
3.289588176269531150e-02,9.646639976884151951e-03,1.000000000000000000e+00,9.000000000000000000e+00,3.500000000000000000e+00,nan
3.804936970214843617e-02,9.651672374808736160e-03,1.000000000000000000e+00,9.000000000000000000e+00,4.000000000000000000e+00,nan
9.112204897460937647e-02,9.573900228161826009e-03,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,nan
7.727274777832029984e-02,9.781621410460194371e-03,1.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e-01,nan
7.891655832519531288e-02,9.587335367100009026e-03,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,nan
6.642566086425781557e-02,9.485082091390087053e-03,1.000000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+00,nan
5.704408464355469055e-02,9.383924627456087172e-03,1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,nan
5.717104147949218784e-02,9.570588518682157653e-03,1.000000000000000000e+00,1.000000000000000000e+01,2.500000000000000000e+00,nan
4.041165244140625112e-02,9.530715969080512384e-03,1.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+00,nan
3.588172309570313023e-02,9.503060798618057775e-03,1.000000000000000000e+00,1.000000000000000000e+01,3.500000000000000000e+00,nan
3.547343544921875008e-02,9.678598229207052706e-03,1.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000000e+00,nan
