# u_0,pdf
-2.456439205499999723e+00,9.077855781299156140e-04
-2.451060388500000187e+00,4.538927890649578070e-04
-2.445681571499999762e+00,0.000000000000000000e+00
-2.440302754500000226e+00,4.538927890649578070e-04
-2.434923937499999802e+00,0.000000000000000000e+00
-2.429545120500000266e+00,4.538927890649578070e-04
-2.424166303499999842e+00,9.077855781299156140e-04
-2.418787486500000306e+00,9.077855781299156140e-04
-2.413408669499999881e+00,9.077855781299156140e-04
-2.408029852500000345e+00,9.077855781299156140e-04
-2.402651035499999921e+00,4.538927890649578070e-04
-2.397272218500000385e+00,0.000000000000000000e+00
-2.391893401499999960e+00,4.538927890649578070e-04
-2.386514584500000424e+00,4.538927890649578070e-04
-2.381135767500000000e+00,4.538927890649578070e-04
-2.375756950500000464e+00,4.538927890649578070e-04
-2.370378133500000040e+00,0.000000000000000000e+00
-2.364999316500000504e+00,0.000000000000000000e+00
-2.359620499500000079e+00,4.538927890649203478e-04
-2.354241682500000099e+00,0.000000000000000000e+00
-2.348862865500000119e+00,4.538927890649203478e-04
-2.343484048499999695e+00,0.000000000000000000e+00
-2.338105231500000158e+00,0.000000000000000000e+00
-2.332726414499999734e+00,9.077855781299156140e-04
-2.327347597500000198e+00,9.077855781299156140e-04
-2.321968780499999774e+00,9.077855781299156140e-04
-2.316589963500000238e+00,4.538927890649578070e-04
-2.311211146499999813e+00,4.538927890649578070e-04
-2.305832329500000277e+00,9.077855781299156140e-04
-2.300453512499999853e+00,4.538927890649578070e-04
-2.295074695500000317e+00,9.077855781299156140e-04
-2.289695878499999893e+00,4.538927890649578070e-04
-2.284317061500000356e+00,9.077855781299156140e-04
-2.278938244499999932e+00,4.538927890649578070e-04
-2.273559427500000396e+00,4.538927890649578070e-04
-2.268180610499999972e+00,4.538927890649578070e-04
-2.262801793500000436e+00,9.077855781299156140e-04
-2.257422976500000011e+00,4.538927890649578070e-04
-2.252044159500000475e+00,9.077855781299156140e-04
-2.246665342500000051e+00,9.077855781298406956e-04
-2.241286525500000071e+00,2.269463945324976060e-03
-2.235907708500000091e+00,4.538927890649203478e-04
-2.230528891500000110e+00,9.077855781299905323e-04
-2.225150074500000130e+00,9.077855781298406956e-04
-2.219771257499999706e+00,9.077855781299156140e-04
-2.214392440500000170e+00,9.077855781299156140e-04
-2.209013623499999746e+00,9.077855781299156140e-04
-2.203634806500000209e+00,9.077855781299156140e-04
-2.198255989499999785e+00,1.361678367194873529e-03
-2.192877172500000249e+00,9.077855781299156140e-04
-2.187498355499999825e+00,1.815571156259831228e-03
-2.182119538500000289e+00,9.077855781299156140e-04
-2.176740721499999864e+00,1.361678367194873529e-03
-2.171361904500000328e+00,9.077855781299156140e-04
-2.165983087499999904e+00,4.538927890649578070e-04
-2.160604270500000368e+00,4.538927890649578070e-04
-2.155225453499999944e+00,1.361678367194873529e-03
-2.149846636500000407e+00,3.631142312519662456e-03
-2.144467819499999983e+00,2.269463945324788710e-03
-2.139089002500000447e+00,1.361678367194873529e-03
-2.133710185500000023e+00,4.538927890649578070e-04
-2.128331368500000487e+00,4.538927890649578070e-04
-2.122952551500000062e+00,4.538927890649203478e-04
-2.117573734500000082e+00,2.269463945324976060e-03
-2.112194917500000102e+00,1.815571156259681391e-03
-2.106816100500000122e+00,9.077855781299905323e-04
-2.101437283500000142e+00,9.077855781298406956e-04
-2.096058466499999717e+00,2.723356734389747059e-03
-2.090679649500000181e+00,1.815571156259831228e-03
-2.085300832499999757e+00,1.361678367194873529e-03
-2.079922015500000221e+00,1.815571156259831228e-03
-2.074543198499999797e+00,2.269463945324788710e-03
-2.069164381500000260e+00,2.269463945324788710e-03
-2.063785564499999836e+00,2.723356734389747059e-03
-2.058406747500000300e+00,2.269463945324788710e-03
-2.053027930499999876e+00,3.177249523454704540e-03
-2.047649113500000340e+00,9.077855781299156140e-04
-2.042270296499999915e+00,1.815571156259831228e-03
-2.036891479500000379e+00,3.177249523454704540e-03
-2.031512662499999955e+00,3.631142312519662456e-03
-2.026133845500000419e+00,9.077855781299156140e-04
-2.020755028499999995e+00,2.723356734389747059e-03
-2.015376211500000458e+00,1.815571156259831228e-03
-2.009997394500000034e+00,2.269463945324601360e-03
-2.004618577500000054e+00,1.361678367194985853e-03
-1.999239760500000074e+00,3.631142312519512402e-03
-1.993860943500000094e+00,5.446713468779494118e-03
-1.988482126500000113e+00,3.631142312519662456e-03
-1.983103309500000133e+00,5.446713468779494118e-03
-1.977724492500000153e+00,2.723356734389634302e-03
-1.972345675499999951e+00,6.354499046909409081e-03
-1.966966858499999971e+00,4.085035101584619938e-03
-1.961588041499999990e+00,2.269463945324788710e-03
-1.956209224500000010e+00,7.716177414104282394e-03
-1.950830407500000030e+00,4.538927890649577419e-03
-1.945451590500000050e+00,8.623962992234198224e-03
-1.940072773500000070e+00,4.992820679714535768e-03
-1.934693956500000089e+00,4.992820679714535768e-03
-1.929315139500000109e+00,4.085035101584619938e-03
-1.923936322500000129e+00,4.992820679714535768e-03
-1.918557505500000149e+00,7.716177414104282394e-03
-1.913178688500000169e+00,4.538927890649577419e-03
-1.907799871500000188e+00,5.446713468779494118e-03
-1.902421054500000208e+00,6.354499046909409081e-03
-1.897042237500000228e+00,7.262284625039324912e-03
-1.891663420500000248e+00,7.716177414104282394e-03
-1.886284603500000046e+00,7.716177414103964072e-03
-1.880905786500000065e+00,5.446713468779494118e-03
-1.875526969500000085e+00,6.354499046909409081e-03
-1.870148152500000105e+00,4.992820679714535768e-03
-1.864769335500000125e+00,5.900606257844450732e-03
-1.859390518500000145e+00,1.089342693755853721e-02
-1.854011701499999942e+00,7.716177414104282394e-03
-1.848632884499999962e+00,7.262284625039324912e-03
-1.843254067499999982e+00,1.043953414849402989e-02
-1.837875250500000002e+00,7.716177414104282394e-03
-1.832496433500000022e+00,7.262284625039324912e-03
-1.827117616500000041e+00,4.992820679714535768e-03
-1.821738799500000061e+00,1.043953414849402989e-02
-1.816359982500000081e+00,7.262284625039324912e-03
-1.810981165500000101e+00,8.623962992234198224e-03
-1.805602348500000121e+00,1.043953414849402989e-02
-1.800223531500000140e+00,9.077855781299154839e-03
-1.794844714500000160e+00,8.623962992234198224e-03
-1.789465897500000180e+00,1.089342693755898824e-02
-1.784087080500000200e+00,1.361678367194873313e-02
-1.778708263500000220e+00,1.270899809381881816e-02
-1.773329446500000017e+00,1.316289088288323181e-02
-1.767950629500000037e+00,1.089342693755898824e-02
-1.762571812500000057e+00,1.815571156259830968e-02
