# u_1,pdf
-2.455489955000000002e+00,5.940830899841052608e-04
-2.448921265000000069e+00,5.569528968600987633e-04
-2.442352575000000137e+00,4.826925106120855515e-04
-2.435783885000000204e+00,5.198227037360920490e-04
-2.429215195000000271e+00,6.683434762321184726e-04
-2.422646505000000339e+00,8.539944418520936057e-04
-2.416077814999999962e+00,8.911246349761578912e-04
-2.409509125000000029e+00,7.797340556041381819e-04
-2.402940435000000097e+00,8.539944418521512853e-04
-2.396371745000000164e+00,8.168642487281446794e-04
-2.389803054999999787e+00,8.168642487280894935e-04
-2.383234364999999855e+00,6.312132831081118667e-04
-2.376665674999999922e+00,1.225296373092217127e-03
-2.370096984999999989e+00,5.940830899841052608e-04
-2.363528295000000057e+00,1.559468111208276364e-03
-2.356959605000000124e+00,1.113905793720197527e-03
-2.350390915000000192e+00,1.225296373092217127e-03
-2.343822225000000259e+00,1.225296373092217127e-03
-2.337253535000000326e+00,1.225296373092134294e-03
-2.330684844999999950e+00,1.633728497456289359e-03
-2.324116155000000017e+00,9.653850212241711030e-04
-2.317547465000000084e+00,1.707988883704302571e-03
-2.310978774999999708e+00,1.410947338712154530e-03
-2.304410084999999775e+00,1.448077531836256546e-03
-2.297841394999999842e+00,1.930770042448342206e-03
-2.291272704999999910e+00,1.633728497456289359e-03
-2.284704014999999977e+00,1.782249269952315782e-03
-2.278135325000000044e+00,2.079290814944368196e-03
-2.271566635000000112e+00,1.967900235572348812e-03
-2.264997945000000179e+00,1.782249269952315782e-03
-2.258429255000000246e+00,2.079290814944368196e-03
-2.251860565000000314e+00,2.190681394316388014e-03
-2.245291875000000381e+00,2.116421008068232121e-03
-2.238723185000000004e+00,1.819379463076322171e-03
-2.232154495000000072e+00,2.524853132432447467e-03
-2.225585804999999695e+00,1.967900235572215672e-03
-2.219017114999999762e+00,2.042160621820361590e-03
-2.212448424999999830e+00,2.450592746184434255e-03
-2.205879734999999897e+00,3.118936222416552728e-03
-2.199311044999999964e+00,2.561983325556454073e-03
-2.192742355000000032e+00,3.044675836168539516e-03
-2.186173665000000099e+00,3.267456994912578717e-03
-2.179604975000000167e+00,3.193196608664565506e-03
-2.173036285000000234e+00,3.378847574284598535e-03
-2.166467595000000301e+00,3.193196608664565506e-03
-2.159898905000000369e+00,3.564498539904390438e-03
-2.153330214999999992e+00,3.675889119276651382e-03
-2.146761525000000059e+00,4.084321243640723180e-03
-2.140192834999999683e+00,4.418492981756484694e-03
-2.133624144999999750e+00,4.678404333624828874e-03
-2.127055454999999817e+00,4.047191050516717008e-03
-2.120486764999999885e+00,4.307102402384762815e-03
-2.113918074999999952e+00,4.158581629888736392e-03
-2.107349385000000019e+00,4.901185492368868510e-03
-2.100780695000000087e+00,5.458138389228967165e-03
-2.094212005000000154e+00,5.123966651112908145e-03
-2.087643315000000221e+00,4.901185492368868510e-03
-2.081074625000000289e+00,5.309617616732940741e-03
-2.074505935000000356e+00,5.866570513592643012e-03
-2.067937244999999979e+00,6.237872444833105455e-03
-2.061368555000000047e+00,6.757695148569197070e-03
-2.054799865000000114e+00,6.757695148569197070e-03
