# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.880901916503906202e-02,1.355135443381400576e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000044e-01,3.313876794433594231e-02,3.436925190201440715e-04,-5.619509325214462614e-02,1.347813800078996333e-03
5.100000000000000089e-01,6.430107653808593560e-02,9.569182736000039421e-04,-8.920011249617033899e-02,1.876310340392164499e-03
7.620000000000000107e-01,1.141491972656250020e-01,2.012532523754339414e-03,-1.251183439640235484e-01,2.641118797577873129e-03
1.016999999999999904e+00,1.849832265624999916e-01,3.301723270810623390e-03,-1.633964674507973891e-01,3.246532223019295629e-03
1.272000000000000020e+00,2.724450249023437354e-01,4.681829789397017570e-03,-1.993993755796420186e-01,3.680683796695768516e-03
1.526999999999999913e+00,3.682137650146484198e-01,5.831573329195246201e-03,-2.288177772427042456e-01,3.818974020429106910e-03
1.778999999999999915e+00,4.652698591308593867e-01,6.761367763570317116e-03,-2.509616863214279570e-01,3.800656415722494536e-03
2.033999999999999808e+00,5.615064822998045990e-01,7.595890343622226266e-03,-2.668129120623232708e-01,3.734459362646129141e-03
2.289000000000000146e+00,6.665312833251952895e-01,8.353577198371035795e-03,-2.829717187244020216e-01,3.649443948611199185e-03
2.544000000000000039e+00,7.528991125488280201e-01,8.861321902178276658e-03,-2.885574266445711245e-01,3.483224018151838148e-03
2.795999999999999819e+00,8.229125592041015569e-01,9.298147535912430414e-03,-2.875906795561740115e-01,3.325517716706877930e-03
3.051000000000000156e+00,8.898975489501952385e-01,9.742006088203566949e-03,-2.855091870813359911e-01,3.193053454016245990e-03
3.306000000000000050e+00,9.572203428955078364e-01,1.011476381806529490e-02,-2.838509751150843363e-01,3.059517186347639021e-03
3.560999999999999943e+00,1.010262168212890721e+00,1.037483462659460898e-02,-2.784198677472203287e-01,2.913461001571077905e-03
3.813000000000000167e+00,1.057499594726562631e+00,1.063722916121177114e-02,-2.724077040549497952e-01,2.789727028904214617e-03
4.067999999999999616e+00,1.108085429565429658e+00,1.098482467372565753e-02,-2.677670625369692470e-01,2.700301050571695706e-03
4.323000000000000398e+00,1.152739981201171826e+00,1.127308779154297461e-02,-2.623018649169865379e-01,2.607700159968303049e-03
4.578000000000000291e+00,1.196578189941406301e+00,1.157294336253520198e-02,-2.572671845295690929e-01,2.527947436115159617e-03
4.830000000000000071e+00,1.245389688720702992e+00,1.198436082649717051e-02,-2.539504491833672883e-01,2.481234125568772524e-03
5.084999999999999964e+00,1.290084198608398403e+00,1.237216835890734938e-02,-2.500049517096085694e-01,2.433071457012261560e-03
5.339999999999999858e+00,1.338298690429687632e+00,1.280481972743034019e-02,-2.470954440570503063e-01,2.397906315998191151e-03
5.594999999999999751e+00,1.384638905151367227e+00,1.318898820554277596e-02,-2.441161547786109554e-01,2.357281180615330984e-03
5.847000000000000419e+00,1.426162981323242374e+00,1.355051459354978012e-02,-2.406967611011122388e-01,2.317515750564354184e-03
6.102000000000000313e+00,1.461942768676757876e+00,1.385973464988937177e-02,-2.365017616374498199e-01,2.271342944917956793e-03
6.357000000000000206e+00,1.499617680786133000e+00,1.419427140468090300e-02,-2.329414286017137126e-01,2.232856914374847183e-03
6.612000000000000099e+00,1.544076291503906351e+00,1.455207743067367387e-02,-2.306816806320126090e-01,2.200858655576780776e-03
6.863999999999999879e+00,1.595002092285155992e+00,1.495211050742140980e-02,-2.296318579720450226e-01,2.178337777887734503e-03
7.118999999999999773e+00,1.646427444091796755e+00,1.530916365149467308e-02,-2.286302043723497379e-01,2.150465465865244227e-03
7.373999999999999666e+00,1.689146264282226362e+00,1.565582644946187860e-02,-2.265171203033885805e-01,2.123111804917531941e-03
