# x,y,dx,dy
0.000000000000000000e+00,-9.998999834060668945e-01,1.525112512226666495e-01,7.426272037798991033e-01
0.000000000000000000e+00,-9.998152256011962891e-01,1.539357804035232924e-01,7.172090365252267175e-01
0.000000000000000000e+00,-9.996585249900817871e-01,1.558920725805591212e-01,6.592379313811050912e-01
0.000000000000000000e+00,-9.993690252304077148e-01,1.545512579075279391e-01,5.099180298236569708e-01
0.000000000000000000e+00,-9.988340735435485840e-01,1.207164318304391887e-01,1.205192207317350300e-01
0.000000000000000000e+00,-9.978455901145935059e-01,-1.514690808555679141e-02,-3.119781560228305217e-01
0.000000000000000000e+00,-9.960189461708068848e-01,-3.110858349201410245e-01,6.973482230862502185e-01
0.000000000000000000e+00,-9.926435947418212891e-01,-7.589192562344235782e-01,6.511663790052173439e-01
0.000000000000000000e+00,-9.864064455032348633e-01,1.538435224324709860e-01,-9.772577264889200643e-01
0.000000000000000000e+00,-9.748811125755310059e-01,-3.184948152929887311e-01,-4.654300340504233802e-01
0.000000000000000000e+00,-9.535841345787048340e-01,-4.262864998323361299e-01,8.673618809960358389e-01
0.000000000000000000e+00,-9.142304062843322754e-01,3.725985630918094427e-01,8.680126211472201092e-01
0.000000000000000000e+00,-8.415106534957885742e-01,8.865532587997917435e-01,-2.851198545546674845e-01
0.000000000000000000e+00,-7.071355581283569336e-01,4.160343299373360781e-01,1.940043426134595850e-01
0.000000000000000000e+00,-4.588304758071899414e-01,9.334379860954108987e-02,-6.165614983101954660e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.373740648025070982e-02,1.809130676772880905e-02
8.107336163520812988e-01,-9.998999834060668945e-01,-1.495773001101559918e-01,7.108682924807742110e-01
8.107336163520812988e-01,-9.998152256011962891e-01,-1.101432604746523658e-01,8.246442492223999832e-01
8.107336163520812988e-01,-9.996585249900817871e-01,-6.835246465141568695e-02,9.200245098893578000e-01
8.107336163520812988e-01,-9.993690252304077148e-01,-4.139834861000354915e-02,9.806086472463291237e-01
8.107336163520812988e-01,-9.988340735435485840e-01,-6.410163849107798628e-02,9.818990565558853856e-01
8.107336163520812988e-01,-9.978455901145935059e-01,-1.543910621876816713e-01,-3.593608348812207809e-01
