# y,epsilon,tau,grads_norm,velocity,eta
9.999999999998898659e-05,3.104456514120101929e-02,4.013265296816825867e-02,5.165985488891601562e+01,4.998791962862014771e-03,1.416555023752152920e-03
1.847849797422806972e-04,3.061295673251152039e-02,4.041457176208496094e-02,5.158984756469726562e+01,9.234660305082798004e-03,1.421521650627255440e-03
3.414548873833522791e-04,2.989913336932659149e-02,4.089416190981864929e-02,5.146937561035156250e+01,1.706511527299880981e-02,1.429931260645389557e-03
6.309573444801541697e-04,2.881234139204025269e-02,4.165829718112945557e-02,5.126909637451171875e+01,3.152760863304138184e-02,1.443229150027036667e-03
1.165914401179857229e-03,2.732423134148120880e-02,4.277769103646278381e-02,5.092879486083984375e+01,5.822340399026870728e-02,1.462490763515233994e-03
2.154434690031847843e-03,2.522241696715354919e-02,4.452441632747650146e-02,5.016381835937500000e+01,1.072829663753509521e-01,1.492050709202885628e-03
3.981071705534966476e-03,2.121010050177574158e-02,4.855306446552276611e-02,4.741510772705078125e+01,1.952297836542129517e-01,1.558091840706765652e-03
7.356422544596452617e-03,1.732567138969898224e-02,5.372057110071182251e-02,3.841145324707031250e+01,3.364811837673187256e-01,1.638910500332713127e-03
1.359356390878529997e-02,1.572535187005996704e-02,5.638783797621726990e-02,2.393871688842773438e+01,5.059784650802612305e-01,1.679104287177324295e-03
2.511886431509580131e-02,1.073564309626817703e-02,6.824542582035064697e-02,1.416968631744384766e+01,6.422572135925292969e-01,1.847232459113001823e-03
4.641588833612775300e-02,5.764369852840900421e-03,9.313605725765228271e-02,9.497129440307617188e+00,7.325639724731445312e-01,2.157958922907710075e-03
8.576958985908933464e-02,2.931691007688641548e-03,1.305999308824539185e-01,6.732052803039550781e+00,8.040520548820495605e-01,2.555377315729856491e-03
1.584893192461114264e-01,1.520402729511260986e-03,1.813467144966125488e-01,4.835372924804687500e+00,8.782844543457031250e-01,3.011199412867426872e-03
2.928644564625237923e-01,7.817160221748054028e-04,2.529080212116241455e-01,3.437869310379028320e+00,9.626080989837646484e-01,3.556035691872239113e-03
5.411695265464637750e-01,3.437077393755316734e-04,3.814421296119689941e-01,2.239189624786376953e+00,1.056978106498718262e+00,4.367129877209663391e-03
1.000000000000000000e+00,1.255347451660782099e-04,6.311070322990417480e-01,1.347889184951782227e+00,1.131009459495544434e+00,5.617414601147174835e-03
