# x,y,dx,dy
1.621467232704162598e+00,-9.996585249900817871e-01,9.659656484588992065e-01,2.506658140075989638e-01
1.621467232704162598e+00,-9.993690252304077148e-01,9.701114896228703044e-01,2.371128114429032208e-01
1.621467232704162598e+00,-9.988340735435485840e-01,9.752350724410498994e-01,2.178776992047159466e-01
1.621467232704162598e+00,-9.978455901145935059e-01,9.774115285564398681e-01,2.068832191939887211e-01
1.621467232704162598e+00,-9.960189461708068848e-01,9.641275764696187744e-01,2.256083299173373968e-01
1.621467232704162598e+00,-9.926435947418212891e-01,8.467337602822656573e-01,2.714974446894786730e-01
1.621467232704162598e+00,-9.864064455032348633e-01,-9.906513747363011602e-01,-1.309064829315189082e-01
1.621467232704162598e+00,-9.748811125755310059e-01,7.080440246836310347e-01,-4.954213279757182509e-01
1.621467232704162598e+00,-9.535841345787048340e-01,7.622764518711475645e-01,6.280564021681448450e-01
1.621467232704162598e+00,-9.142304062843322754e-01,7.273323412333562166e-01,1.161734893444920647e-01
1.621467232704162598e+00,-8.415106534957885742e-01,-7.943112671058631946e-01,4.530994156221828661e-01
1.621467232704162598e+00,-7.071355581283569336e-01,-1.825682914599165430e-01,-2.820724139079111570e-01
1.621467232704162598e+00,-4.588304758071899414e-01,7.268152709953638047e-01,-1.543874171305022469e-01
1.621467232704162598e+00,0.000000000000000000e+00,-6.472257148829575479e-01,7.619091930024241011e-01
2.432200670242309570e+00,-9.998999834060668945e-01,9.972671910918059490e-01,-3.515138658376925490e-02
2.432200670242309570e+00,-9.998152256011962891e-01,9.973273015325834212e-01,-3.529468285344867368e-02
2.432200670242309570e+00,-9.996585249900817871e-01,9.973925344505405466e-01,-3.577872322998951193e-02
2.432200670242309570e+00,-9.993690252304077148e-01,9.973761112830272779e-01,-3.739944732178145104e-02
2.432200670242309570e+00,-9.988340735435485840e-01,9.969052962568931697e-01,-4.363172707877784051e-02
2.432200670242309570e+00,-9.978455901145935059e-01,9.926328769665282437e-01,-8.761433566157419972e-02
2.432200670242309570e+00,-9.960189461708068848e-01,-9.919102215560962055e-01,-7.847642329698560626e-02
2.432200670242309570e+00,-9.926435947418212891e-01,-9.877690078756586889e-01,-3.574672213144561295e-02
2.432200670242309570e+00,-9.864064455032348633e-01,4.910374407707359112e-01,7.491942025236589808e-01
2.432200670242309570e+00,-9.748811125755310059e-01,-5.413100509813847383e-01,5.006220667943784841e-01
2.432200670242309570e+00,-9.535841345787048340e-01,-4.385581674072098202e-01,7.910880680248333352e-01
2.432200670242309570e+00,-9.142304062843322754e-01,-8.012197067130077954e-01,-3.181978198434690097e-01
2.432200670242309570e+00,-8.415106534957885742e-01,9.243856142584866431e-01,3.662757201783557459e-01
2.432200670242309570e+00,-7.071355581283569336e-01,9.001009067647247619e-01,4.194973110665186633e-01
2.432200670242309570e+00,-4.588304758071899414e-01,-5.383439008937900006e-02,-9.727996597899073450e-01
2.432200670242309570e+00,0.000000000000000000e+00,-7.084638764789935594e-01,-2.433724760747800475e-01
3.242934465408325195e+00,-9.998999834060668945e-01,-9.981718251041356016e-01,2.713848727419548162e-02
3.242934465408325195e+00,-9.998152256011962891e-01,-9.983579167869007787e-01,2.972151914560781927e-02
3.242934465408325195e+00,-9.996585249900817871e-01,-9.986005990798265675e-01,3.440587385474399434e-02
3.242934465408325195e+00,-9.993690252304077148e-01,-9.987426188281678385e-01,4.310922742641856709e-02
3.242934465408325195e+00,-9.988340735435485840e-01,-9.981316912030060440e-01,6.095827371504512759e-02
3.242934465408325195e+00,-9.978455901145935059e-01,-9.918967231080535463e-01,1.254847118702130393e-01
3.242934465408325195e+00,-9.960189461708068848e-01,9.991972544504252873e-01,1.215232108818858729e-02
3.242934465408325195e+00,-9.926435947418212891e-01,9.928128477115107930e-01,-8.009595718256153074e-02
3.242934465408325195e+00,-9.864064455032348633e-01,9.248276969346854726e-01,5.093050742443563234e-03
3.242934465408325195e+00,-9.748811125755310059e-01,9.447451175098385834e-01,-2.988890008220391192e-01
3.242934465408325195e+00,-9.535841345787048340e-01,-9.583451192775477301e-01,-2.237600037516844498e-01
3.242934465408325195e+00,-9.142304062843322754e-01,2.264573884384882621e-02,4.035693854973635974e-01
3.242934465408325195e+00,-8.415106534957885742e-01,-8.304552781929014360e-01,4.339456949597011448e-01
3.242934465408325195e+00,-7.071355581283569336e-01,6.689286055752658999e-01,6.710732816029728598e-01
3.242934465408325195e+00,-4.588304758071899414e-01,7.158417552349985447e-02,-1.775844782097953656e-01
3.242934465408325195e+00,0.000000000000000000e+00,-1.100687697427000233e-01,8.556599785042031669e-01
4.053668022155761719e+00,-9.998999834060668945e-01,9.500713803086899834e-01,5.321377469242791203e-02
4.053668022155761719e+00,-9.998152256011962891e-01,9.537304004307577410e-01,4.403351356528201199e-02
4.053668022155761719e+00,-9.996585249900817871e-01,9.598125279964755396e-01,2.588615302711521141e-02
4.053668022155761719e+00,-9.993690252304077148e-01,9.686408741201473216e-01,-1.982481144437107240e-02
4.053668022155761719e+00,-9.988340735435485840e-01,8.244673989279539539e-01,-5.447533568585284369e-01
4.053668022155761719e+00,-9.978455901145935059e-01,-9.785448331947058653e-01,-1.718511910421261779e-01
4.053668022155761719e+00,-9.960189461708068848e-01,-9.938305419615719449e-01,-1.081846093299757283e-01
4.053668022155761719e+00,-9.926435947418212891e-01,9.905311706307361463e-01,9.534218796591623080e-02
4.053668022155761719e+00,-9.864064455032348633e-01,-4.209289225688846864e-02,-3.924378474471700295e-01
4.053668022155761719e+00,-9.748811125755310059e-01,8.431191957496431133e-01,-4.785121975414486917e-01
4.053668022155761719e+00,-9.535841345787048340e-01,6.340636821774668919e-01,-5.568141436986092652e-01
4.053668022155761719e+00,-9.142304062843322754e-01,-4.483343833148598079e-01,3.602180272600539190e-01
4.053668022155761719e+00,-8.415106534957885742e-01,1.276101919434413472e-02,3.738879986856289972e-01
4.053668022155761719e+00,-7.071355581283569336e-01,9.089947998230761828e-01,3.673004564973003649e-01
4.053668022155761719e+00,-4.588304758071899414e-01,2.360648185233475693e-01,-2.412928526051648093e-01
4.053668022155761719e+00,0.000000000000000000e+00,-7.583214657092313127e-01,-4.701759878576924345e-01
4.864401340484619141e+00,-9.998999834060668945e-01,9.592402303838947208e-01,-2.131331445280405523e-01
4.864401340484619141e+00,-9.998152256011962891e-01,9.507423148946005931e-01,-2.511639477902908313e-01
4.864401340484619141e+00,-9.996585249900817871e-01,9.160408191549350709e-01,-3.626622636295408486e-01
4.864401340484619141e+00,-9.993690252304077148e-01,3.722585539948696787e-01,-9.251347763612877140e-01
4.864401340484619141e+00,-9.988340735435485840e-01,-9.364417808379085217e-01,-3.242011534494995684e-01
4.864401340484619141e+00,-9.978455901145935059e-01,-9.857593841799463519e-01,-1.370319419526149773e-01
4.864401340484619141e+00,-9.960189461708068848e-01,-9.957857266397728280e-01,-8.925770596609630680e-02
4.864401340484619141e+00,-9.926435947418212891e-01,9.969260098377220602e-01,5.039946573847713801e-02
4.864401340484619141e+00,-9.864064455032348633e-01,9.732545985065046423e-01,1.057613291523150541e-02
4.864401340484619141e+00,-9.748811125755310059e-01,2.459702275624490175e-01,2.493778494794245681e-01
4.864401340484619141e+00,-9.535841345787048340e-01,-1.514723197477803318e-01,-4.694765803810165283e-01
4.864401340484619141e+00,-9.142304062843322754e-01,-4.143185618531354253e-01,6.131892328185521990e-01
4.864401340484619141e+00,-8.415106534957885742e-01,-7.808423043887892101e-01,-4.647783127934705938e-01
4.864401340484619141e+00,-7.071355581283569336e-01,-3.067344027812267115e-01,4.636748660181751469e-01
4.864401340484619141e+00,-4.588304758071899414e-01,5.116909495258353813e-01,5.248787884171767226e-01
4.864401340484619141e+00,0.000000000000000000e+00,6.016594644370891753e-01,-4.104787601956895737e-01
5.675135135650634766e+00,-9.998999834060668945e-01,8.689892169993307380e-01,-2.218163034547495083e-01
5.675135135650634766e+00,-9.998152256011962891e-01,8.622908415639288782e-01,-2.407977489811408689e-01
5.675135135650634766e+00,-9.996585249900817871e-01,8.473963626377185587e-01,-2.832873475407944874e-01
5.675135135650634766e+00,-9.993690252304077148e-01,8.024660086228114775e-01,-3.992744152349403386e-01
5.675135135650634766e+00,-9.988340735435485840e-01,4.614678091693373285e-01,-8.396765247531512433e-01
5.675135135650634766e+00,-9.978455901145935059e-01,-7.045821825412831307e-01,-6.235802338275427958e-01
5.675135135650634766e+00,-9.960189461708068848e-01,8.005680466692483011e-01,-4.648482337828253042e-01
5.675135135650634766e+00,-9.926435947418212891e-01,9.538201273150610504e-01,1.554786609742058456e-01
5.675135135650634766e+00,-9.864064455032348633e-01,9.901954975250486513e-01,-8.474990479662121434e-02
5.675135135650634766e+00,-9.748811125755310059e-01,3.313126378113941395e-01,-4.574784740309099651e-01
5.675135135650634766e+00,-9.535841345787048340e-01,7.630982640233383019e-02,-8.656816963508570106e-01
5.675135135650634766e+00,-9.142304062843322754e-01,-1.868471640573185211e-01,-2.459551044349247428e-01
5.675135135650634766e+00,-8.415106534957885742e-01,9.635804671495963314e-01,2.631527281007359220e-01
5.675135135650634766e+00,-7.071355581283569336e-01,-5.443271383215869674e-01,4.712502501469654770e-01
5.675135135650634766e+00,-4.588304758071899414e-01,-3.686833229262084788e-01,8.787016543633942023e-01
5.675135135650634766e+00,0.000000000000000000e+00,-9.558250133353630718e-01,-1.321710047774949659e-01
6.485868930816650391e+00,-9.998999834060668945e-01,-9.806723184628562962e-01,1.166388508948035668e-01
6.485868930816650391e+00,-9.998152256011962891e-01,-9.797770828339127380e-01,1.283278013415454222e-01
6.485868930816650391e+00,-9.996585249900817871e-01,-9.761976303750410366e-01,1.593458828921329451e-01
6.485868930816650391e+00,-9.993690252304077148e-01,-9.424203815565558306e-01,3.073669408170546236e-01
6.485868930816650391e+00,-9.988340735435485840e-01,9.488649340160995038e-01,2.858402255456991004e-01
6.485868930816650391e+00,-9.978455901145935059e-01,9.895171646618730055e-01,6.495432299253034447e-02
6.485868930816650391e+00,-9.960189461708068848e-01,9.906670105471439003e-01,3.590895309532794039e-02
6.485868930816650391e+00,-9.926435947418212891e-01,9.929922515855268417e-01,2.642046399076710197e-02
6.485868930816650391e+00,-9.864064455032348633e-01,8.416576601480493247e-01,5.314906345133625365e-01
6.485868930816650391e+00,-9.748811125755310059e-01,-9.333511061643224860e-01,-3.557985365650773724e-01
6.485868930816650391e+00,-9.535841345787048340e-01,6.418763462459909919e-01,3.095576095252569049e-01
6.485868930816650391e+00,-9.142304062843322754e-01,8.689650579622647253e-02,7.636876332263838885e-01
6.485868930816650391e+00,-8.415106534957885742e-01,8.710863550383284304e-01,3.788070397832652980e-01
6.485868930816650391e+00,-7.071355581283569336e-01,-6.187127959088574158e-01,-6.867095630427310082e-01
6.485868930816650391e+00,-4.588304758071899414e-01,-3.383287026510815171e-02,2.692191911657353387e-01
6.485868930816650391e+00,0.000000000000000000e+00,-5.450066425071199427e-01,-1.412894767747086000e-01
7.296602249145507812e+00,-9.998999834060668945e-01,-9.943089687916921715e-01,1.057852905638690666e-01
7.296602249145507812e+00,-9.998152256011962891e-01,-9.924848725061238275e-01,1.216529005236865330e-01
7.296602249145507812e+00,-9.996585249900817871e-01,-9.833846158775527702e-01,1.809781991928039735e-01
7.296602249145507812e+00,-9.993690252304077148e-01,6.620057402869272689e-01,7.494764584495405835e-01
7.296602249145507812e+00,-9.988340735435485840e-01,9.975992667799112867e-01,6.778302259626198256e-02
7.296602249145507812e+00,-9.978455901145935059e-01,9.995136691487295222e-01,2.946697005331904567e-02
7.296602249145507812e+00,-9.960189461708068848e-01,9.997981706345555608e-01,1.976150253973259566e-02
7.296602249145507812e+00,-9.926435947418212891e-01,9.998004114145370158e-01,7.669594399235182304e-03
7.296602249145507812e+00,-9.864064455032348633e-01,9.916597874497466991e-01,4.559658044768445662e-02
7.296602249145507812e+00,-9.748811125755310059e-01,9.998006542079838077e-01,-5.993884954502170549e-03
7.296602249145507812e+00,-9.535841345787048340e-01,7.031108919042998728e-01,-6.212470953138522489e-01
7.296602249145507812e+00,-9.142304062843322754e-01,9.446543142009579119e-01,1.747238567700599293e-02
7.296602249145507812e+00,-8.415106534957885742e-01,2.670386331752686582e-01,9.606887493375814158e-01
7.296602249145507812e+00,-7.071355581283569336e-01,-4.487923394885440231e-01,1.314343506374174297e-01
7.296602249145507812e+00,-4.588304758071899414e-01,-3.277678211877830816e-01,-6.480617818735003866e-01
7.296602249145507812e+00,0.000000000000000000e+00,9.279342117528066591e-03,-9.841985619300287480e-01
8.107336044311523438e+00,-9.998999834060668945e-01,-9.537155280717080075e-01,2.570390114988289065e-01
8.107336044311523438e+00,-9.998152256011962891e-01,-9.286728707031128849e-01,3.375668448563826640e-01
8.107336044311523438e+00,-9.996585249900817871e-01,-7.127634224755783343e-01,6.911336653053118395e-01
8.107336044311523438e+00,-9.993690252304077148e-01,8.810773080829444881e-01,4.466121891199603122e-01
8.107336044311523438e+00,-9.988340735435485840e-01,9.739931074074227313e-01,1.362760498306489765e-01
8.107336044311523438e+00,-9.978455901145935059e-01,9.787493951507425516e-01,5.146524441338244660e-02
8.107336044311523438e+00,-9.960189461708068848e-01,9.693780815829924347e-01,-1.006652663109054990e-01
8.107336044311523438e+00,-9.926435947418212891e-01,-9.641905304570741464e-01,-2.517674004392171372e-01
8.107336044311523438e+00,-9.864064455032348633e-01,9.096290188262120546e-01,7.980715069588904809e-02
8.107336044311523438e+00,-9.748811125755310059e-01,-1.457128430514294803e-01,8.449134741070892796e-01
8.107336044311523438e+00,-9.535841345787048340e-01,9.652779710865515561e-01,1.259535909694058098e-01
8.107336044311523438e+00,-9.142304062843322754e-01,4.660850677036981193e-01,-9.401653356994511823e-02
8.107336044311523438e+00,-8.415106534957885742e-01,-7.963387749413830541e-01,-5.431374363535642624e-01
8.107336044311523438e+00,-7.071355581283569336e-01,9.259313008392481281e-01,3.733326611885351975e-01
