# x,y,dx,dy
0.000000000000000000e+00,-9.998999834060668945e-01,1.644761681412436685e-02,-9.997781788922304180e-01
0.000000000000000000e+00,-9.998152256011962891e-01,1.695327226867709633e-02,-9.997542288280558687e-01
0.000000000000000000e+00,-9.996585249900817871e-01,1.749214445567532847e-02,-9.997142262416611747e-01
0.000000000000000000e+00,-9.993690252304077148e-01,1.709347050997933951e-02,-9.996649333431384399e-01
0.000000000000000000e+00,-9.988340735435485840e-01,1.243940921174985399e-02,-9.996861170357438375e-01
0.000000000000000000e+00,-9.978455901145935059e-01,1.062899661042985286e-03,-9.998786225537703576e-01
0.000000000000000000e+00,-9.960189461708068848e-01,-8.308128998354077921e-03,-9.999648402415077797e-01
0.000000000000000000e+00,-9.926435947418212891e-01,-2.994578941090818465e-03,-9.999951699946969530e-01
0.000000000000000000e+00,-9.864064455032348633e-01,1.292962181265950618e-02,-9.998869618347951960e-01
0.000000000000000000e+00,-9.748811125755310059e-01,3.385054169186772766e-02,-9.986281381001423929e-01
0.000000000000000000e+00,-9.535841345787048340e-01,3.674608767252963287e-02,-9.815155087909470666e-01
0.000000000000000000e+00,-9.142304062843322754e-01,-1.307359367093659241e-01,-9.914075686280677813e-01
0.000000000000000000e+00,-8.415106534957885742e-01,1.083902017833901776e-01,-9.740191181373445417e-01
0.000000000000000000e+00,-7.071355581283569336e-01,-3.131579441116934953e-02,-9.991140070323187850e-01
0.000000000000000000e+00,-4.588304758071899414e-01,5.000829196803634191e-02,-6.763465163107125200e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.040124156184257909e-01,-9.518714970282623478e-01
8.107336163520812988e-01,-9.998999834060668945e-01,-3.630119479044242219e-04,-9.999809722959352998e-01
8.107336163520812988e-01,-9.998152256011962891e-01,-6.613168873524224523e-04,-9.999639928817660728e-01
8.107336163520812988e-01,-9.996585249900817871e-01,-1.016862301517610029e-03,-9.999181990405422438e-01
8.107336163520812988e-01,-9.993690252304077148e-01,-9.660374449078486204e-04,-9.997706024279460202e-01
8.107336163520812988e-01,-9.988340735435485840e-01,8.080283369733481198e-04,-9.994317863969969240e-01
8.107336163520812988e-01,-9.978455901145935059e-01,3.451552996762777444e-03,-9.994764725258651339e-01
8.107336163520812988e-01,-9.960189461708068848e-01,-2.630680175667244789e-04,-9.997578658477203062e-01
