# y,epsilon,tau,grads_norm,eta,grads_norm_normed
9.999999999998898659e-05,1.092297025024890900e-02,4.013265296816825867e-02,4.998853302001953125e+01,1.416555023752152920e-03,4.074600696563720703e+00
1.847849797422806972e-04,1.088814996182918549e-02,4.041457176208496094e-02,4.998320770263671875e+01,1.421521650627255440e-03,4.070219039916992188e+00
3.414548873833522791e-04,1.083742547780275345e-02,4.089416190981864929e-02,4.997388458251953125e+01,1.429931260645389557e-03,4.059647560119628906e+00
6.309573444801541697e-04,1.077759824693202972e-02,4.165829718112945557e-02,4.995280456542968750e+01,1.443229150027036667e-03,4.043022155761718750e+00
1.165914401179857229e-03,1.071394607424736023e-02,4.277769103646278381e-02,4.987077331542968750e+01,1.462490763515233994e-03,3.986493587493896484e+00
2.154434690031847843e-03,1.043855864554643631e-02,4.452441632747650146e-02,4.940306854248046875e+01,1.492050709202885628e-03,3.867814540863037109e+00
3.981071705534966476e-03,8.951706811785697937e-03,4.855306446552276611e-02,4.682537841796875000e+01,1.558091840706765652e-03,3.617727279663085938e+00
7.356422544596452617e-03,6.945732049643993378e-03,5.372057110071182251e-02,3.742923355102539062e+01,1.638910500332713127e-03,2.942977905273437500e+00
1.359356390878529997e-02,6.084609776735305786e-03,5.638783797621726990e-02,2.174088668823242188e+01,1.679104287177324295e-03,1.714282512664794922e+00
2.511886431509580131e-02,3.858051728457212448e-03,6.824542582035064697e-02,1.085919761657714844e+01,1.847232459113001823e-03,8.989676833152770996e-01
4.641588833612775300e-02,1.824477454647421837e-03,9.313605725765228271e-02,6.000157356262207031e+00,2.157958922907710075e-03,6.473470926284790039e-01
8.576958985908933464e-02,8.742388454265892506e-04,1.305999308824539185e-01,3.711593627929687500e+00,2.555377315729856491e-03,5.718332529067993164e-01
1.584893192461114264e-01,4.592925542965531349e-04,1.813467144966125488e-01,2.496605396270751953e+00,3.011199412867426872e-03,5.443531274795532227e-01
2.928644564625237923e-01,2.407139982096850872e-04,2.529080212116241455e-01,1.729240179061889648e+00,3.556035691872239113e-03,5.302284955978393555e-01
5.411695265464637750e-01,1.074307074304670095e-04,3.814421296119689941e-01,1.099187374114990234e+00,4.367129877209663391e-03,5.167416334152221680e-01
1.000000000000000000e+00,4.100140358787029982e-05,6.311070322990417480e-01,6.510874032974243164e-01,5.617414601147174835e-03,5.056979060173034668e-01
