# y,epsilon,tau,grads_norm,eta,grads_norm_normed
9.999999999998898659e-05,4.599770531058311462e-03,4.013265296816825867e-02,9.548382759094238281e+00,1.416555023752152920e-03,4.959866404533386230e-01
1.847849797422806972e-04,4.419958218932151794e-03,4.041457176208496094e-02,9.373487472534179688e+00,1.421521650627255440e-03,4.919705390930175781e-01
3.414548873833522791e-04,4.117733333259820938e-03,4.089416190981864929e-02,9.064062118530273438e+00,1.429931260645389557e-03,4.841428995132446289e-01
6.309573444801541697e-04,3.648023586720228195e-03,4.165829718112945557e-02,8.533638000488281250e+00,1.443229150027036667e-03,4.688523411750793457e-01
1.165914401179857229e-03,3.016290720552206039e-03,4.277769103646278381e-02,7.667344093322753906e+00,1.462490763515233994e-03,4.395981729030609131e-01
2.154434690031847843e-03,2.407522406429052353e-03,4.452441632747650146e-02,6.385699748992919922e+00,1.492050709202885628e-03,3.881487250328063965e-01
3.981071705534966476e-03,2.379691693931818008e-03,4.855306446552276611e-02,5.054496765136718750e+00,1.558091840706765652e-03,3.242266178131103516e-01
7.356422544596452617e-03,3.340100869536399841e-03,5.372057110071182251e-02,4.926686286926269531e+00,1.638910500332713127e-03,3.163011074066162109e-01
1.359356390878529997e-02,3.897866001352667809e-03,5.638783797621726990e-02,5.335618495941162109e+00,1.679104287177324295e-03,3.533208370208740234e-01
2.511886431509580131e-02,3.102664602920413017e-03,6.824542582035064697e-02,4.856255531311035156e+00,1.847232459113001823e-03,4.095872044563293457e-01
4.641588833612775300e-02,1.902216114103794098e-03,9.313605725765228271e-02,3.935379981994628906e+00,2.157958922907710075e-03,4.692345559597015381e-01
8.576958985908933464e-02,1.020186813548207283e-03,1.305999308824539185e-01,3.003439426422119141e+00,2.555377315729856491e-03,4.877359569072723389e-01
1.584893192461114264e-01,5.282196216285228729e-04,1.813467144966125488e-01,2.198129653930664062e+00,3.011199412867426872e-03,4.904664456844329834e-01
2.928644564625237923e-01,2.694602007977664471e-04,2.529080212116241455e-01,1.561927437782287598e+00,3.556035691872239113e-03,4.885805845260620117e-01
5.411695265464637750e-01,1.179729588329792023e-04,3.814421296119689941e-01,1.021269798278808594e+00,4.367129877209663391e-03,4.862786829471588135e-01
1.000000000000000000e+00,4.136735151405446231e-05,6.311070322990417480e-01,6.087741851806640625e-01,5.617414601147174835e-03,4.800221025943756104e-01
