Low,,Medium,,High,
X,Y,X,Y,X,Y
-0.3520140105078795,0.8119575215826088,-0.9894921190893164,0.4287439249478262,-2.089316987740804,0.38700779066086965
-0.253940455341505,-0.14417937299130412,-0.7933450087565665,0.45150908910434795,-1.70402802101576,0.09485485065217403
-0.11383537653239806,0.14038517896521752,-0.5831873905429061,0.07588388052173933,-1.3817863397548145,0.4021845667652175
-0.0017513134851139256,-0.34906585039999993,-0.38704028021015713,0.018970970130434917,-1.087565674255691,0.22385744753913062
0.11033274956217198,0.0720896864956524,-0.19089316987740723,0.11762001480869588,-0.779334500875656,0.31112391013913054
0.2504378283712789,-0.43633231299999986,-0.0017513134851139256,-0.053118716365217145,-0.4781085814360768,0.0834722685739131
0.306479859894921,-0.8195459096347826,0.19439579684763686,-0.19350389533043466,-0.1418563922942191,-0.018970970130434694
,,0.39754816112084157,-0.3376832683217388,0.13835376532399302,-0.10623743273043473
,,0.5796847635726792,-0.1972980893565215,0.43957968476357223,-0.0872664625999997
,,0.8038528896672492,-0.2617993878,0.7618213660245186,-0.08347226857391288
,,0.9789842381786329,-0.26938777585217366,1.0840630472854649,-0.2845645519565214
,,,,1.3712784588441327,-0.2997413280608694
,,,,1.7145359019264443,-0.4780684472869563
,,,,2.029772329246933,-0.5463639397565214
