# pos_1,concentration
1.389139705019461386e-03,2.516225895632233645e+00
2.470278535103650856e-03,2.377162711775212767e+00
4.392845456035934966e-03,2.578069599813174406e+00
7.811706625951745156e-03,2.308869193824127031e+00
1.389139705019461560e-02,2.103564848748546989e+00
2.470278535103651030e-02,2.133786529379180230e+00
4.392845456035934792e-02,1.823745531719689783e+00
7.811706625951746197e-02,1.625157541079307988e+00
1.389139705019461490e-01,1.521813421678374745e+00
2.470278535103651030e-01,1.325551207375607055e+00
4.392845456035935348e-01,1.017860071629942409e+00
7.811706625951745364e-01,6.031697041230470457e-01
