# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,4.990672935312158442e-02,1.750000000000000000e+00
2.470278535103650856e-03,5.008690950931744129e-02,1.750000000000000000e+00
4.392845456035934966e-03,5.017796976192278463e-02,1.750000000000000000e+00
7.811706625951745156e-03,5.051614170055236663e-02,1.500000000000000000e+00
1.389139705019461560e-02,5.195245580996799700e-02,1.000000000000000000e+00
2.470278535103651030e-02,5.608901438329295941e-02,1.000000000000000000e+00
4.392845456035934792e-02,6.136918750470808648e-02,1.000000000000000000e+00
7.811706625951746197e-02,6.568427916084902674e-02,1.250000000000000000e+00
1.389139705019461490e-01,6.949963000209415098e-02,1.250000000000000000e+00
2.470278535103651030e-01,7.094262843930926321e-02,1.250000000000000000e+00
4.392845456035935348e-01,6.952275155169218568e-02,1.250000000000000000e+00
7.811706625951745364e-01,6.449646359934441131e-02,1.250000000000000000e+00
