# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,4.003563879598664443e-01,2.500000000000000000e+00
2.470278535103650856e-03,4.020191098210009195e-01,2.750000000000000000e+00
4.392845456035934966e-03,4.055097703524439545e-01,3.000000000000000000e+00
7.811706625951745156e-03,4.026514852335160710e-01,7.500000000000000000e-01
1.389139705019461560e-02,4.038200741715511355e-01,5.000000000000000000e-01
2.470278535103651030e-02,4.048896671094475153e-01,2.500000000000000000e-01
4.392845456035934792e-02,4.086568559886383234e-01,2.500000000000000000e-01
7.811706625951746197e-02,4.110170885163191845e-01,2.500000000000000000e-01
1.389139705019461490e-01,4.108293736030101395e-01,2.500000000000000000e-01
2.470278535103651030e-01,4.097651192478036219e-01,2.500000000000000000e-01
4.392845456035935348e-01,4.071062971443255574e-01,2.500000000000000000e-01
7.811706625951745364e-01,4.047576405364444185e-01,2.500000000000000000e-01
