# pos_1,average_velocity_axis
1.389139705019461386e-03,1.001322064594018929e-01
2.470278535103650856e-03,1.004442233490656644e-01
4.392845456035934966e-03,1.007987354479811526e-01
7.811706625951745156e-03,9.905869423828851661e-02
1.389139705019461560e-02,9.248464738178779898e-02
2.470278535103651030e-02,8.602332403173738873e-02
4.392845456035934792e-02,8.637452456985740545e-02
7.811706625951746197e-02,9.245068187091717848e-02
1.389139705019461490e-01,9.825423687034745557e-02
2.470278535103651030e-01,9.790936190270840833e-02
4.392845456035935348e-01,9.719654767207253077e-02
7.811706625951745364e-01,9.045730071299083741e-02
