# pos_1,average_velocity_axis
1.389139705019461386e-03,4.001658291457257377e-01
2.470278535103650856e-03,4.003408630394048595e-01
4.392845456035934966e-03,4.009536067045777474e-01
7.811706625951745156e-03,4.023993540342203912e-01
1.389139705019461560e-02,4.038200741715511355e-01
2.470278535103651030e-02,4.036037071686739419e-01
4.392845456035934792e-02,4.059107111011614477e-01
7.811706625951746197e-02,4.076808689819796938e-01
1.389139705019461490e-01,4.088545039611074516e-01
2.470278535103651030e-01,4.094035510748397222e-01
4.392845456035935348e-01,4.069661785924748032e-01
7.811706625951745364e-01,3.988233075860144194e-01
