# surftimeprefactor,average_velocity_axis_1_t_inf__params_0o1,average_velocity_axis_1_t_inf__params_0o2,average_velocity_axis_1_t_inf__params_0o8,average_velocity_axis_1_t_inf__params_0o05,average_velocity_axis_1_t_inf__params_0o4
0.000000000000000000e+00,1.024297834241165300e-01,2.022387330517658732e-01,8.063022782994346827e-01,5.351475836411889037e-02,4.035973562337168419e-01
6.122448979591836593e-02,1.041950477227254895e-01,2.038058184853014931e-01,8.037069945067951693e-01,5.504539174718253713e-02,4.039387603627750956e-01
1.224489795918367319e-01,1.058116414759839446e-01,2.051762372590121841e-01,8.008733252237431044e-01,5.646411009227279842e-02,4.040468335507998998e-01
1.836734693877550839e-01,1.072837288830313235e-01,2.063555566919963169e-01,7.978025297514105274e-01,5.777411683607038689e-02,4.039276752518672908e-01
2.448979591836734637e-01,1.086154741430070542e-01,2.073493441033523454e-01,7.944958673909293667e-01,5.897861541525602214e-02,4.035873849200535268e-01
3.061224489795918435e-01,1.098110414550505787e-01,2.081631668121787793e-01,7.909545974434316618e-01,6.008080926651043069e-02,4.030320620094348105e-01
3.673469387755101678e-01,1.108745950183012696e-01,2.088025921375739336e-01,7.871799792100487858e-01,6.108390182651432521e-02,4.022678059740874001e-01
4.285714285714285476e-01,1.118102990318985968e-01,2.092731873986363178e-01,7.831732719919131114e-01,6.199109653194842529e-02,4.013007162680872764e-01
4.897959183673469274e-01,1.126223176949819743e-01,2.095805199144643305e-01,7.789357350901563448e-01,6.280559681949346440e-02,4.001368923455107529e-01
5.510204081632652517e-01,1.133148152066908165e-01,2.097301570041564256e-01,7.744686278059104145e-01,6.353060612583011357e-02,3.987824336604339770e-01
6.122448979591836871e-01,1.138919557661645654e-01,2.097276659868110016e-01,7.697732094403072489e-01,6.416932788763916873e-02,3.972434396669331513e-01
6.734693877551020114e-01,1.143579035725426490e-01,2.095786141815265402e-01,7.648507392944786654e-01,6.472496554160128701e-02,3.955260098190844231e-01
7.346938775510203357e-01,1.147168228249644539e-01,2.092885689074014399e-01,7.597024766695565923e-01,6.520072252439720883e-02,3.936362435709640506e-01
7.959183673469387710e-01,1.149728777225694637e-01,2.088630974835341825e-01,7.543296808666730691e-01,6.559980227270764686e-02,3.915802403766480699e-01
8.571428571428570953e-01,1.151302324644970093e-01,2.083077672290231108e-01,7.487336111869596911e-01,6.592540822321334149e-02,3.893640996902127394e-01
9.183673469387755306e-01,1.151930512498866299e-01,2.076281454629667067e-01,7.429155269315486088e-01,6.618074381259499150e-02,3.869939209657343171e-01
9.795918367346938549e-01,1.151654982778776842e-01,2.068297995044633963e-01,7.368766874015717505e-01,6.636901247753329569e-02,3.844758036572888393e-01
1.040816326530612290e+00,1.150517377476096004e-01,2.059182966726116337e-01,7.306183518981607117e-01,6.649341765470900834e-02,3.818158472189526753e-01
1.102040816326530503e+00,1.148559338582218342e-01,2.048992042865098451e-01,7.241417797224477537e-01,6.655716278080284209e-02,3.790201511048018057e-01
1.163265306122448939e+00,1.145822508088537722e-01,2.037780896652564566e-01,7.174482301755643610e-01,6.656345129249552350e-02,3.760948147689124887e-01
1.224489795918367374e+00,1.142348527986448425e-01,2.025605201279498946e-01,7.105389625586427949e-01,6.651548662646775134e-02,3.730459376653609271e-01
1.285714285714285587e+00,1.138179040267344871e-01,2.012520629936885574e-01,7.034152361728147618e-01,6.641647221940026602e-02,3.698796192482232681e-01
1.346938775510204023e+00,1.133355686922621480e-01,1.998582855815710102e-01,6.960783103192121901e-01,6.626961150797376632e-02,3.666019589715757143e-01
1.408163265306122458e+00,1.127920109943671978e-01,1.983847552106955126e-01,6.885294442989670083e-01,6.607810792886897877e-02,3.632190562894944130e-01
1.469387755102040671e+00,1.121913951321891062e-01,1.968370392001606017e-01,6.807698974132111447e-01,6.584516491876661604e-02,3.597370106560556224e-01
1.530612244897959107e+00,1.115378853048673014e-01,1.952207048690646762e-01,6.728009289630764167e-01,6.557398591434741852e-02,3.561619215253354898e-01
1.591836734693877542e+00,1.108356457115411836e-01,1.935413195365061900e-01,6.646237982496947527e-01,6.526777435229207114e-02,3.524998883514101067e-01
1.653061224489795977e+00,1.100888405513501533e-01,1.918044505215835416e-01,6.562397645741980812e-01,6.492973366928134205e-02,3.487570105883557314e-01
1.714285714285714191e+00,1.093016340234336664e-01,1.900156651433951849e-01,6.476500872377182194e-01,6.456306730199588839e-02,3.449393876902486222e-01
1.775510204081632626e+00,1.084781903269311787e-01,1.881805307210396017e-01,6.388560255413870959e-01,6.417097868711647835e-02,3.410531191111648153e-01
1.836734693877551061e+00,1.076226736609820628e-01,1.863046145736151071e-01,6.298588387863365279e-01,6.375667126132382456e-02,3.371043043051805688e-01
1.897959183673469274e+00,1.067392482247257746e-01,1.843934840202202663e-01,6.206597862736985549e-01,6.332334846129863970e-02,3.330990427263720854e-01
1.959183673469387710e+00,1.058320782173017283e-01,1.824527063799533944e-01,6.112601273046049943e-01,6.287421372372159478e-02,3.290434338288153460e-01
