# pos_1,average_velocity_axis
1.389139705019461386e-03,4.002344632768351507e-01
2.470278535103650856e-03,4.009885314685315283e-01
4.392845456035934966e-03,4.014779673223228817e-01
7.811706625951745156e-03,4.003148305296257981e-01
1.389139705019461560e-02,3.889224608663993110e-01
2.470278535103651030e-02,3.723062754821360176e-01
4.392845456035934792e-02,3.582009069816492475e-01
7.811706625951746197e-02,3.639556058427054208e-01
1.389139705019461490e-01,3.639654271561370003e-01
2.470278535103651030e-01,3.597436477172508695e-01
4.392845456035935348e-01,3.563886642200472799e-01
7.811706625951745364e-01,3.468256336907680204e-01
