# pos_1,average_velocity_axis
1.389139705019461386e-03,1.999915909181919083e-01
2.470278535103650856e-03,2.002000903913941365e-01
4.392845456035934966e-03,2.005537985357433439e-01
7.811706625951745156e-03,2.013719075106084611e-01
1.389139705019461560e-02,2.027613690730180607e-01
2.470278535103651030e-02,2.055301006538825526e-01
4.392845456035934792e-02,2.119995619099871720e-01
7.811706625951746197e-02,2.162596398961803279e-01
1.389139705019461490e-01,2.178216288727667094e-01
2.470278535103651030e-01,2.161166222945424542e-01
4.392845456035935348e-01,2.132075269937684092e-01
7.811706625951745364e-01,2.084735192297705875e-01
