# pos_1,average_velocity_axis
1.389139705019461386e-03,1.998438310557080488e-01
2.470278535103650856e-03,2.001415341032903306e-01
4.392845456035934966e-03,2.003258688944226373e-01
7.811706625951745156e-03,2.007575023878804543e-01
1.389139705019461560e-02,2.023431863242120543e-01
2.470278535103651030e-02,2.058377111592221975e-01
4.392845456035934792e-02,2.104285977332611413e-01
7.811706625951746197e-02,2.126182599748040469e-01
1.389139705019461490e-01,2.110388830979707808e-01
2.470278535103651030e-01,2.107500837125500237e-01
4.392845456035935348e-01,2.098966248916973865e-01
7.811706625951745364e-01,2.078476037442744673e-01
