# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.001397995885192627e-01,2.500000000000000000e+00
2.470278535103650856e-03,1.004831187704918610e-01,3.000000000000000000e+00
4.392845456035934966e-03,1.009413752338129133e-01,2.500000000000000000e+00
7.811706625951745156e-03,1.020512428035627445e-01,1.500000000000000000e+00
1.389139705019461560e-02,1.035637867047733696e-01,7.500000000000000000e-01
2.470278535103651030e-02,1.079601659602613811e-01,7.500000000000000000e-01
4.392845456035934792e-02,1.141344521078057755e-01,7.500000000000000000e-01
7.811706625951746197e-02,1.188363238723927073e-01,7.500000000000000000e-01
1.389139705019461490e-01,1.198177428269042721e-01,1.000000000000000000e+00
2.470278535103651030e-01,1.201249550166333113e-01,1.000000000000000000e+00
4.392845456035935348e-01,1.169342705665096793e-01,7.500000000000000000e-01
7.811706625951745364e-01,1.127311422737744956e-01,5.000000000000000000e-01
