# pos_1,concentration
1.389139705019461386e-03,4.016522636278974101e-01
2.470278535103650856e-03,6.775969985826457709e-01
4.392845456035934966e-03,2.540271960853120459e-01
7.811706625951745156e-03,2.142749851215045576e-01
1.389139705019461560e-02,6.426436218046357451e-01
2.470278535103651030e-02,5.194910322466951280e-01
4.392845456035934792e-02,3.683394343237024193e-01
7.811706625951746197e-02,3.642674747065577368e-01
1.389139705019461490e-01,4.659166258083609069e-01
2.470278535103651030e-01,6.572690886251664200e-01
4.392845456035935348e-01,1.056753135714898262e+00
7.811706625951745364e-01,1.308505909141987944e+00
