# value,p_norm_ratio
3.906250000000000000e-02,1.275793851250914615e-02
1.171875000000000000e-01,8.449406877164356011e-02
1.953125000000000000e-01,1.990364029277105762e-01
2.734375000000000000e-01,3.315231247591712838e-01
3.515625000000000000e-01,4.636965068698254977e-01
4.296875000000000000e-01,5.757762229478949889e-01
5.078125000000000000e-01,6.732688534320980800e-01
5.859375000000000000e-01,7.496702124027975200e-01
6.640625000000000000e-01,7.944666311362622579e-01
7.421875000000000000e-01,8.090875140376007080e-01
8.203125000000000000e-01,8.085047355892135412e-01
8.984375000000000000e-01,7.785930052105799470e-01
9.765625000000000000e-01,7.323401455628895107e-01
1.054687500000000000e+00,6.786692103716869262e-01
1.132812500000000000e+00,6.176021537805210793e-01
1.210937500000000000e+00,5.508798432149912827e-01
1.289062500000000000e+00,4.902960390877583730e-01
1.367187500000000000e+00,4.335518820232232562e-01
1.445312500000000000e+00,3.835425693401689484e-01
1.523437500000000000e+00,3.357469323679728168e-01
1.601562500000000000e+00,2.928284323805993017e-01
1.679687500000000000e+00,2.525664557177262348e-01
1.757812500000000000e+00,2.195139770593583228e-01
1.835937500000000000e+00,1.901882515639798377e-01
1.914062500000000000e+00,1.674001937375472482e-01
1.992187500000000000e+00,1.441890569634304009e-01
2.070312500000000000e+00,1.253893837073072892e-01
2.148437500000000000e+00,1.102188425727077675e-01
2.226562500000000000e+00,9.554610623320272667e-02
2.304687500000000000e+00,8.493883605512937696e-02
2.382812500000000000e+00,7.418974552446672144e-02
2.460937500000000000e+00,6.346156222198912067e-02
2.539062500000000000e+00,5.548921842255748194e-02
2.617187500000000000e+00,4.824669075101294113e-02
2.695312500000000000e+00,4.309806003308645772e-02
2.773437500000000000e+00,3.676542106290540263e-02
2.851562500000000000e+00,3.279365026164220848e-02
2.929687500000000000e+00,2.961192189552538240e-02
3.007812500000000000e+00,2.589909649281528850e-02
3.085937500000000000e+00,2.259010238047129068e-02
3.164062500000000000e+00,2.038859907799207491e-02
3.242187500000000000e+00,1.744610805350268329e-02
3.320312500000000000e+00,1.588547436896619799e-02
3.398437500000000000e+00,1.413100518307167444e-02
3.476562500000000000e+00,1.324367591670795076e-02
3.554687500000000000e+00,1.161337150997922459e-02
3.632812500000000000e+00,1.031652630196885218e-02
3.710937500000000000e+00,9.019539289042075025e-03
3.789062500000000000e+00,8.275501072064685160e-03
3.867187500000000000e+00,7.580006315033425805e-03
3.945312500000000000e+00,6.772490319611273145e-03
4.023437500000000000e+00,6.182818696151347153e-03
4.101562500000000000e+00,5.464964728727260065e-03
4.179687500000000000e+00,5.122702935246067034e-03
4.257812500000000000e+00,4.292540242356699884e-03
4.335937500000000000e+00,4.096966566003105992e-03
4.414062500000000000e+00,3.761965873110724272e-03
4.492187500000000000e+00,3.198406541268213835e-03
4.570312500000000000e+00,3.142121443308807088e-03
4.648437500000000000e+00,2.619905360696887352e-03
4.726562500000000000e+00,2.518398584038026959e-03
4.804687500000000000e+00,2.288872103657198231e-03
4.882812500000000000e+00,2.239683086891348842e-03
4.960937500000000000e+00,1.969359046623587756e-03
