# value,p_u_x,p_u_y,p_u_z
-8.268750000000000266e-01,1.213113388247704927e-01,1.341584405847015826e-01,1.018103966174409292e-01
-8.006249999999999201e-01,1.405744198796171351e-01,1.502819982244471275e-01,1.217718942012569888e-01
-7.743750000000000355e-01,1.590866746562170086e-01,1.719639345664341623e-01,1.398818467973886037e-01
-7.481249999999999289e-01,1.789848557459479961e-01,1.937444186372278276e-01,1.614001176262559734e-01
-7.218750000000000444e-01,1.992288498348285530e-01,2.145468678217678782e-01,1.851778861446597979e-01
-6.956249999999999378e-01,2.237031716967398387e-01,2.376665891523491447e-01,2.098897982764240389e-01
-6.693750000000000533e-01,2.523842707574332489e-01,2.677614662866335538e-01,2.422151739942088322e-01
-6.431249999999999467e-01,2.819700362714214203e-01,2.926786506404610022e-01,2.724631695552807154e-01
-6.168750000000000622e-01,3.073075628739174725e-01,3.265315434530142169e-01,3.080002426488911982e-01
-5.906249999999999556e-01,3.439897792714078362e-01,3.560177103629610929e-01,3.452536588841539356e-01
-5.643749999999999600e-01,3.821379169017051214e-01,3.926924708511167483e-01,3.778090268936479257e-01
-5.381249999999999645e-01,4.170437053457239363e-01,4.263689542100169705e-01,4.217102015936114445e-01
-5.118749999999999689e-01,4.512463830063840331e-01,4.620733433306258853e-01,4.636498310897252395e-01
-4.856249999999999734e-01,4.930129592324962173e-01,5.027301043457437224e-01,5.012797111318280097e-01
-4.593749999999999778e-01,5.378240446820308218e-01,5.501369257071409002e-01,5.429014882453392365e-01
-4.331249999999999822e-01,5.823780048831436185e-01,5.889595602037374089e-01,5.888478688573615116e-01
-4.068749999999999867e-01,6.196694601074438369e-01,6.302652075244586927e-01,6.273723284406999001e-01
-3.806249999999999911e-01,6.581145612249708066e-01,6.659101135390023130e-01,6.729026894511452861e-01
-3.543749999999999956e-01,7.012900570730314920e-01,7.089683756446014673e-01,7.146589623521013568e-01
-3.281250000000000000e-01,7.467823161248378083e-01,7.490373628212626533e-01,7.598942700634210290e-01
