# value,p_w
8.984375000000000000e-02,7.863201647212970610e-05
2.695312500000000000e-01,5.477582649127338624e-04
4.492187500000000000e-01,1.266215163678233299e-03
6.289062500000000000e-01,2.714415966721277218e-03
8.085937500000000000e-01,4.529013902995916892e-03
9.882812500000000000e-01,6.623602244843265589e-03
1.167968750000000000e+00,9.099474350302214076e-03
1.347656250000000000e+00,1.226870983313032258e-02
1.527343750000000000e+00,1.529695577999858752e-02
1.707031250000000000e+00,1.829091196002622169e-02
1.886718750000000000e+00,2.201930476612417101e-02
2.066406250000000000e+00,2.606161979993002267e-02
2.246093750000000000e+00,3.065232642876069419e-02
2.425781250000000000e+00,3.457034829708881263e-02
2.605468750000000000e+00,3.892838499659379697e-02
2.785156250000000000e+00,4.276990036359806097e-02
2.964843750000000000e+00,4.786267427891197079e-02
3.144531250000000000e+00,5.174441916400619040e-02
3.324218750000000000e+00,5.605886516198427261e-02
3.503906250000000000e+00,6.120127915910910515e-02
3.683593750000000000e+00,6.602130084537342902e-02
3.863281250000000000e+00,7.090425152443635692e-02
4.042968750000000000e+00,7.562378549766474167e-02
4.222656250000000000e+00,8.078163967396970180e-02
4.402343750000000000e+00,8.566727542058184819e-02
4.582031250000000000e+00,9.028165923774704449e-02
4.761718750000000000e+00,9.488768018084076106e-02
4.941406250000000000e+00,9.976009262582369308e-02
5.121093750000000000e+00,1.038002857173419696e-01
5.300781250000000000e+00,1.053852396086990134e-01
5.480468750000000000e+00,1.093047163393270904e-01
5.660156250000000000e+00,1.129499158167509010e-01
5.839843750000000000e+00,1.157943488713797237e-01
6.019531250000000000e+00,1.194348391348169919e-01
6.199218750000000000e+00,1.219546919947813307e-01
6.378906250000000000e+00,1.238127487429645096e-01
6.558593750000000000e+00,1.263774222370838418e-01
6.738281250000000000e+00,1.281273715890246523e-01
6.917968750000000000e+00,1.290239537825013105e-01
7.097656250000000000e+00,1.314984463880877752e-01
7.277343750000000000e+00,1.314375748363540986e-01
7.457031250000000000e+00,1.322497676403501521e-01
7.636718750000000000e+00,1.330536773807813322e-01
7.816406250000000000e+00,1.333897994215345328e-01
7.996093750000000000e+00,1.318961715107083987e-01
8.175781250000000000e+00,1.334375130022910916e-01
8.355468750000000000e+00,1.338274150403270524e-01
8.535156250000000000e+00,1.311864897127439922e-01
8.714843750000000000e+00,1.316695169413482358e-01
8.894531250000000000e+00,1.299719551209518598e-01
9.074218750000000000e+00,1.300769161824540388e-01
9.253906250000000000e+00,1.279685131460488179e-01
9.433593750000000000e+00,1.266265897703469367e-01
9.613281250000000000e+00,1.245739907857452006e-01
9.792968750000000000e+00,1.238267141825348944e-01
9.972656250000000000e+00,1.225320036336299823e-01
1.015234375000000000e+01,1.210974703482164544e-01
1.033203125000000000e+01,1.192240883490408992e-01
1.051171875000000000e+01,1.174915301417225472e-01
1.069140625000000000e+01,1.161471921621182735e-01
1.087109375000000000e+01,1.133095205124703964e-01
1.105078125000000000e+01,1.113841026547718466e-01
1.123046875000000000e+01,1.086876956651057352e-01
1.141015625000000000e+01,1.061747060343649213e-01
