# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.360258506748873199e-02,1.319077265464619307e-02,1.261207426377427762e-02
-1.096093750000000000e+01,1.492725606349551079e-02,1.462950335700721749e-02,1.422683823974957816e-02
-1.060156250000000000e+01,1.645704950211422657e-02,1.601281368014428885e-02,1.552777385726034423e-02
-1.024218750000000000e+01,1.751692973557888999e-02,1.732738123392526391e-02,1.672232235569934278e-02
-9.882812500000000000e+00,1.895143795104033482e-02,1.869236921851126498e-02,1.861385675974204512e-02
-9.523437500000000000e+00,2.044591232578800780e-02,2.064269889633352228e-02,2.007678765133855125e-02
-9.164062500000000000e+00,2.239855092598217606e-02,2.221010676764710937e-02,2.147893574052249510e-02
-8.804687500000000000e+00,2.392087429916471553e-02,2.419070543612085455e-02,2.364101716752000509e-02
-8.445312500000000000e+00,2.578284755509405862e-02,2.621274368399867730e-02,2.590433236958472260e-02
-8.085937500000000000e+00,2.842000628418396568e-02,2.791658968627265189e-02,2.775348337131380155e-02
-7.726562500000000000e+00,3.045330229714745054e-02,2.965716747402386694e-02,3.029001148284777081e-02
-7.367187500000000000e+00,3.261975360899876941e-02,3.205338851233591885e-02,3.274936881915160858e-02
-7.007812500000000000e+00,3.475008872715262820e-02,3.439692535602387191e-02,3.499885489256131937e-02
-6.648437500000000000e+00,3.676424908928578594e-02,3.691171343478073102e-02,3.753978989442273428e-02
-6.289062500000000000e+00,3.884385470596853768e-02,3.904790696136321848e-02,4.015662993614677739e-02
-5.929687500000000000e+00,4.165753335903129434e-02,4.137010647132314395e-02,4.269707742386447125e-02
-5.570312500000000000e+00,4.444155429911432476e-02,4.401701793657304684e-02,4.512796343520437958e-02
-5.210937500000000000e+00,4.694220051832798113e-02,4.667330168920263284e-02,4.830298083458256508e-02
-4.851562500000000000e+00,4.947535392491748951e-02,4.933205478841466707e-02,5.083352047086085040e-02
-4.492187500000000000e+00,5.136950955204459823e-02,5.219625555687686103e-02,5.376654672521021666e-02
-4.132812500000000000e+00,5.348459996930195193e-02,5.437599614464821290e-02,5.619936436372521826e-02
-3.773437500000000000e+00,5.544764253163144557e-02,5.650313003714393240e-02,5.818335019765324273e-02
-3.414062500000000000e+00,5.752787431517254746e-02,5.904048095148482084e-02,6.062424582940854206e-02
-3.054687500000000000e+00,5.950676928392353154e-02,6.100193573090800098e-02,6.272385707790813225e-02
-2.695312500000000000e+00,6.130603021060430924e-02,6.316155825968647330e-02,6.459268631286180229e-02
-2.335937500000000000e+00,6.399178381213918576e-02,6.456249419792714495e-02,6.609681519055563004e-02
-1.976562500000000000e+00,6.511197434285809216e-02,6.651949630878788156e-02,6.751127353763508587e-02
-1.617187500000000000e+00,6.698171490907028902e-02,6.769301710392774951e-02,6.867815624033479782e-02
-1.257812500000000000e+00,6.826760837307720153e-02,6.869840686657831264e-02,6.971507072357811807e-02
-8.984375000000000000e-01,6.890263860729897716e-02,6.983342829185157363e-02,7.097300182430231474e-02
-5.390625000000000000e-01,7.008367721126475269e-02,7.070214886751495509e-02,7.184490841123281069e-02
-1.796875000000000000e-01,7.001057924809420130e-02,7.136276765351393103e-02,7.280463327806534213e-02
1.796875000000000000e-01,7.057366047409002752e-02,7.075830931795917822e-02,7.233656908538467489e-02
5.390625000000000000e-01,7.011088407668387978e-02,7.143608133141203520e-02,7.232399706385875260e-02
8.984375000000000000e-01,6.950187897159716688e-02,7.102967298169521326e-02,7.165303353329817437e-02
1.257812500000000000e+00,6.899587080085126112e-02,6.920160902461183761e-02,7.008233686241707727e-02
1.617187500000000000e+00,6.836010535056620541e-02,6.836006330712325607e-02,6.915572371181061273e-02
1.976562500000000000e+00,6.637987611910967090e-02,6.701721431827931119e-02,6.776845324582760066e-02
2.335937500000000000e+00,6.500445096887032259e-02,6.503159559577512128e-02,6.609834279759801978e-02
2.695312500000000000e+00,6.315166351591218474e-02,6.381586117317436524e-02,6.301080735430542035e-02
3.054687500000000000e+00,6.137305427677924863e-02,6.173534358364151514e-02,6.131307632586792400e-02
