# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,7.693344175759025960e-02,7.295385810993652853e-02,7.407020074589186487e-02
6.899999999999999467e-01,1.132640029894454031e-01,9.620201045502270454e-02,1.064927875248822819e-01
1.034999999999999920e+00,1.329693829627084933e-01,1.259434447549251934e-01,1.206196842571249928e-01
1.379999999999999893e+00,1.457072646976318719e-01,1.541457342699979471e-01,1.408444131658565246e-01
1.725000000000000089e+00,1.864362112668329075e-01,1.985220110987550579e-01,1.600511393835700458e-01
2.069999999999999840e+00,2.253256045107746575e-01,2.432588046056431974e-01,1.821950174347828078e-01
2.415000000000000036e+00,2.645320510101123457e-01,2.818868165200452136e-01,2.048193763137837742e-01
2.757000000000000117e+00,3.022209179219277897e-01,2.977351861858779647e-01,2.219506749813491553e-01
3.101999999999999869e+00,3.196727334623891137e-01,3.162487363454772327e-01,2.284558817009895437e-01
3.447000000000000064e+00,3.384763773777153539e-01,3.334279523044121896e-01,2.414077160397050392e-01
3.791999999999999815e+00,3.663917109073487888e-01,3.485688916047279817e-01,2.661062834645532282e-01
4.136999999999999567e+00,3.837412572042128156e-01,3.674734109204291221e-01,2.792874790431328358e-01
4.482000000000000206e+00,4.026826532208363507e-01,3.954282947080798860e-01,2.890754309108570230e-01
4.826999999999999957e+00,4.178312975157503772e-01,4.072007626384098744e-01,2.994207786778422253e-01
5.171999999999999709e+00,4.219558437355505620e-01,4.247870058405172622e-01,3.077096704451174891e-01
5.517000000000000348e+00,4.322838266118253503e-01,4.449829738515340694e-01,3.182472518810645079e-01
5.862000000000000099e+00,4.545108342578179639e-01,4.691085932136053183e-01,3.257638762365271390e-01
6.206999999999999851e+00,4.655280709266305106e-01,4.884769123290835791e-01,3.398249124613232919e-01
6.551999999999999602e+00,4.805545895645620957e-01,5.042533930217502069e-01,3.468350810904545223e-01
6.897000000000000242e+00,5.037091789837817579e-01,5.214574467202215402e-01,3.577467621851150303e-01
7.241999999999999993e+00,5.182452231588480229e-01,5.334015444058983757e-01,3.617738063233882917e-01
7.583999999999999631e+00,5.360556422320168490e-01,5.458987547032455590e-01,3.713922249904819672e-01
7.929000000000000270e+00,5.643286465041672528e-01,5.527753341850598634e-01,3.726227105236712966e-01
8.273999999999999133e+00,5.935348949403903562e-01,5.649521945535014300e-01,3.826159483461954447e-01
8.618999999999999773e+00,6.198737342648570348e-01,5.703921469529846799e-01,3.922138767492885369e-01
8.964000000000000412e+00,6.465764558981227372e-01,5.752210622458704403e-01,4.034236206769008515e-01
9.308999999999999275e+00,6.546695894177052555e-01,5.798073018653704391e-01,4.164385411148236460e-01
9.653999999999999915e+00,6.707417178011558789e-01,5.819288458941209718e-01,4.292318312021716209e-01
9.999000000000000554e+00,6.834722706472036169e-01,5.854202658146656635e-01,4.417274620192909174e-01
