# value,p_w
8.984375000000000000e-02,4.854805677058795599e-05
2.695312500000000000e-01,5.447476997167666722e-04
4.492187500000000000e-01,1.480969533055139257e-03
6.289062500000000000e-01,2.837184155001134730e-03
8.085937500000000000e-01,4.546379155031577551e-03
9.882812500000000000e-01,6.396600595737969921e-03
1.167968750000000000e+00,8.973705569787099670e-03
1.347656250000000000e+00,1.169500652049396301e-02
1.527343750000000000e+00,1.489526378488828517e-02
1.707031250000000000e+00,1.836112022706968758e-02
1.886718750000000000e+00,2.183842062259591307e-02
2.066406250000000000e+00,2.649155810575466383e-02
2.246093750000000000e+00,3.045542197415587390e-02
2.425781250000000000e+00,3.461190470024003152e-02
2.605468750000000000e+00,3.889870888625458767e-02
2.785156250000000000e+00,4.386311015999175278e-02
2.964843750000000000e+00,4.799803229057336001e-02
3.144531250000000000e+00,5.317244477219962295e-02
3.324218750000000000e+00,5.722533245258767942e-02
3.503906250000000000e+00,6.289200957985213725e-02
3.683593750000000000e+00,6.659730323017411247e-02
3.863281250000000000e+00,7.258656639244163988e-02
4.042968750000000000e+00,7.737188225853101897e-02
4.222656250000000000e+00,8.178751442114701176e-02
4.402343750000000000e+00,8.548082733144629630e-02
4.582031250000000000e+00,9.070810563305840846e-02
4.761718750000000000e+00,9.393501314913053901e-02
4.941406250000000000e+00,9.835878284494388446e-02
5.121093750000000000e+00,1.021530467782131579e-01
5.300781250000000000e+00,1.056326267371722333e-01
5.480468750000000000e+00,1.099336368351892940e-01
5.660156250000000000e+00,1.127515661553516457e-01
5.839843750000000000e+00,1.152198222047657594e-01
6.019531250000000000e+00,1.180975089722956090e-01
6.199218750000000000e+00,1.214718494955102507e-01
6.378906250000000000e+00,1.229515469312155440e-01
6.558593750000000000e+00,1.256029951638512610e-01
6.738281250000000000e+00,1.260880867287837992e-01
6.917968750000000000e+00,1.289126637101782324e-01
7.097656250000000000e+00,1.316486721382307545e-01
7.277343750000000000e+00,1.312380639243982960e-01
7.457031250000000000e+00,1.326739600221729931e-01
7.636718750000000000e+00,1.333104530228328977e-01
7.816406250000000000e+00,1.342326171893499231e-01
7.996093750000000000e+00,1.331191172716560123e-01
8.175781250000000000e+00,1.331325841726952730e-01
8.355468750000000000e+00,1.325986925510703185e-01
8.535156250000000000e+00,1.317227538957909949e-01
8.714843750000000000e+00,1.317464384118891274e-01
8.894531250000000000e+00,1.310478318009140608e-01
9.074218750000000000e+00,1.294854196222636200e-01
9.253906250000000000e+00,1.289550712321258785e-01
9.433593750000000000e+00,1.278816763930115119e-01
9.613281250000000000e+00,1.254097290224188421e-01
9.792968750000000000e+00,1.236155002569541694e-01
9.972656250000000000e+00,1.230980314189651231e-01
1.015234375000000000e+01,1.198851954342436688e-01
1.033203125000000000e+01,1.188457459391355359e-01
1.051171875000000000e+01,1.170301305164755390e-01
1.069140625000000000e+01,1.147335519524578240e-01
1.087109375000000000e+01,1.130028431604924999e-01
1.105078125000000000e+01,1.105873656228526097e-01
1.123046875000000000e+01,1.077010439054440771e-01
1.141015625000000000e+01,1.056470886113487356e-01
