# value,p_w_0,p_w_1,p_w_2
-1.132031250000000000e+01,1.326385978588406900e-02,1.296162318408148120e-02,1.260409273101814262e-02
-1.096093750000000000e+01,1.459981918904873326e-02,1.425858989667265486e-02,1.385255027526643631e-02
-1.060156250000000000e+01,1.595088508953236908e-02,1.544581443322823495e-02,1.538354850003274127e-02
-1.024218750000000000e+01,1.782201011574032629e-02,1.706238360980161933e-02,1.682121744432144017e-02
-9.882812500000000000e+00,1.915663364069695659e-02,1.829361279389543626e-02,1.819772760617769866e-02
-9.523437500000000000e+00,2.099994904945464216e-02,1.966956070557725200e-02,2.021980874898170188e-02
-9.164062500000000000e+00,2.307361835660432653e-02,2.148818661646858044e-02,2.210230057625955924e-02
-8.804687500000000000e+00,2.496522823958152032e-02,2.340475915855760522e-02,2.397704547488102925e-02
-8.445312500000000000e+00,2.708818940595536517e-02,2.551316671124926813e-02,2.588131115744066527e-02
-8.085937500000000000e+00,2.872697565743535797e-02,2.733180280877193710e-02,2.751539930369614750e-02
-7.726562500000000000e+00,3.102283764637346272e-02,2.931361056186333053e-02,2.964967619726064513e-02
-7.367187500000000000e+00,3.309767964328466650e-02,3.140619577065040940e-02,3.232521138187457316e-02
-7.007812500000000000e+00,3.573035307316466819e-02,3.425401553608986571e-02,3.452551850400254613e-02
-6.648437500000000000e+00,3.845605194292298079e-02,3.664960668965333568e-02,3.756754861920826027e-02
-6.289062500000000000e+00,4.090406209074039928e-02,3.871195075003119879e-02,4.014521615765307555e-02
-5.929687500000000000e+00,4.308221451418783182e-02,4.140184878109345878e-02,4.285174466203106602e-02
-5.570312500000000000e+00,4.478666690005130707e-02,4.416135675706058666e-02,4.549651199863951473e-02
-5.210937500000000000e+00,4.766284691982011074e-02,4.638803260917894605e-02,4.808119563999550122e-02
-4.851562500000000000e+00,5.023572778761980356e-02,4.964900678747845297e-02,5.099921303669830569e-02
-4.492187500000000000e+00,5.244174498985010313e-02,5.223009521802950139e-02,5.323353050731211705e-02
-4.132812500000000000e+00,5.442646426192965931e-02,5.431886867081929526e-02,5.565356886083378668e-02
-3.773437500000000000e+00,5.663181635213196397e-02,5.673666010774917196e-02,5.854853840226861145e-02
-3.414062500000000000e+00,5.868228428429653198e-02,5.912824275737810914e-02,6.070637147233227254e-02
-3.054687500000000000e+00,6.051179178877672676e-02,6.095970434501282731e-02,6.243967157950103958e-02
-2.695312500000000000e+00,6.249258002949697327e-02,6.263723661522410668e-02,6.468646147335330165e-02
