# value,p_norm_ratio
3.906250000000000000e-02,1.230084260913536821e-02
1.171875000000000000e-01,8.346135624244190032e-02
1.953125000000000000e-01,1.982273474503630506e-01
2.734375000000000000e-01,3.335795834910897373e-01
3.515625000000000000e-01,4.664897153338252722e-01
4.296875000000000000e-01,5.841303542416742545e-01
5.078125000000000000e-01,6.815775039759468523e-01
5.859375000000000000e-01,7.520413156221443796e-01
6.640625000000000000e-01,7.995537009110599280e-01
7.421875000000000000e-01,8.102532994336789640e-01
8.203125000000000000e-01,8.024646785987148423e-01
8.984375000000000000e-01,7.719013479363836527e-01
9.765625000000000000e-01,7.301325800180825665e-01
1.054687500000000000e+00,6.765452480778209043e-01
1.132812500000000000e+00,6.143994242827838237e-01
1.210937500000000000e+00,5.512671556532350303e-01
1.289062500000000000e+00,4.898477975426910880e-01
1.367187500000000000e+00,4.333304491246831036e-01
1.445312500000000000e+00,3.791697015639701185e-01
1.523437500000000000e+00,3.328756348858430414e-01
1.601562500000000000e+00,2.912902121387086485e-01
1.679687500000000000e+00,2.504031652918826678e-01
1.757812500000000000e+00,2.180520977901413693e-01
1.835937500000000000e+00,1.913821548542528062e-01
1.914062500000000000e+00,1.655262508440129010e-01
1.992187500000000000e+00,1.445733086289243963e-01
2.070312500000000000e+00,1.264975982929944787e-01
2.148437500000000000e+00,1.102763385504158117e-01
2.226562500000000000e+00,9.570184547794888252e-02
2.304687500000000000e+00,8.507249659037038891e-02
2.382812500000000000e+00,7.449468342606391236e-02
2.460937500000000000e+00,6.461764910377672255e-02
2.539062500000000000e+00,5.671538071556597033e-02
2.617187500000000000e+00,4.925618291954552558e-02
2.695312500000000000e+00,4.233870428560320559e-02
2.773437500000000000e+00,3.814171466900893870e-02
2.851562500000000000e+00,3.309291167130689465e-02
2.929687500000000000e+00,2.891473547312900863e-02
3.007812500000000000e+00,2.575729041050878534e-02
3.085937500000000000e+00,2.215212287921751802e-02
3.164062500000000000e+00,2.067866423218994026e-02
3.242187500000000000e+00,1.768796901795643625e-02
3.320312500000000000e+00,1.597709110663110901e-02
3.398437500000000000e+00,1.434258447754831016e-02
3.476562500000000000e+00,1.272996831909892559e-02
3.554687500000000000e+00,1.179049224306683886e-02
3.632812500000000000e+00,1.027971132301081815e-02
3.710937500000000000e+00,8.997930997400623368e-03
3.789062500000000000e+00,8.340717535671664240e-03
3.867187500000000000e+00,7.525118349516956087e-03
3.945312500000000000e+00,6.687050684288473913e-03
4.023437500000000000e+00,6.066510684382662305e-03
4.101562500000000000e+00,5.506912120161118994e-03
4.179687500000000000e+00,4.923966476451571012e-03
4.257812500000000000e+00,4.499575799207937259e-03
4.335937500000000000e+00,4.040687434411175706e-03
4.414062500000000000e+00,3.679928385165973179e-03
4.492187500000000000e+00,3.368446574385130805e-03
4.570312500000000000e+00,3.138823402280585366e-03
4.648437500000000000e+00,2.849249333066595450e-03
4.726562500000000000e+00,2.541378267707977267e-03
4.804687500000000000e+00,2.398452018573471456e-03
4.882812500000000000e+00,2.060175996391192671e-03
4.960937500000000000e+00,2.082714212487983638e-03
