# value,p_norm_ratio
3.906250000000000000e-02,1.280382849340275762e-02
1.171875000000000000e-01,8.152460053074964130e-02
1.953125000000000000e-01,1.953616581613125958e-01
2.734375000000000000e-01,3.337396414391188282e-01
3.515625000000000000e-01,4.647461320645447924e-01
4.296875000000000000e-01,5.826957286770413358e-01
5.078125000000000000e-01,6.800555751824496342e-01
5.859375000000000000e-01,7.507535311381988707e-01
6.640625000000000000e-01,7.967552297671609551e-01
7.421875000000000000e-01,8.096583261602721127e-01
8.203125000000000000e-01,8.033132194509287061e-01
8.984375000000000000e-01,7.739557267213181824e-01
9.765625000000000000e-01,7.294935014255695682e-01
1.054687500000000000e+00,6.794343292790137046e-01
1.132812500000000000e+00,6.173547188315665624e-01
1.210937500000000000e+00,5.546199584700448604e-01
1.289062500000000000e+00,4.906013488914653387e-01
1.367187500000000000e+00,4.344322657102426266e-01
1.445312500000000000e+00,3.803721267948388940e-01
1.523437500000000000e+00,3.327800649840934044e-01
1.601562500000000000e+00,2.923799684482328298e-01
1.679687500000000000e+00,2.556866571864458426e-01
1.757812500000000000e+00,2.208272758135846059e-01
1.835937500000000000e+00,1.911110959958313149e-01
1.914062500000000000e+00,1.657736791136034116e-01
1.992187500000000000e+00,1.429813850464142500e-01
2.070312500000000000e+00,1.260105928981312962e-01
2.148437500000000000e+00,1.096229772907414551e-01
2.226562500000000000e+00,9.558034132334378152e-02
2.304687500000000000e+00,8.361051782249519226e-02
2.382812500000000000e+00,7.247813164426770982e-02
2.460937500000000000e+00,6.402665113626647420e-02
2.539062500000000000e+00,5.521600038914533520e-02
2.617187500000000000e+00,4.895134222053916517e-02
2.695312500000000000e+00,4.350287872760698338e-02
2.773437500000000000e+00,3.759180810943129475e-02
2.851562500000000000e+00,3.256646286133444562e-02
2.929687500000000000e+00,2.869748714107907619e-02
3.007812500000000000e+00,2.592237286228716436e-02
3.085937500000000000e+00,2.237576794743166217e-02
3.164062500000000000e+00,2.041765707317892697e-02
3.242187500000000000e+00,1.732854752130760095e-02
3.320312500000000000e+00,1.595343435764243895e-02
3.398437500000000000e+00,1.427334647872284881e-02
3.476562500000000000e+00,1.280053067945503137e-02
3.554687500000000000e+00,1.107812557773163974e-02
3.632812500000000000e+00,1.042110230648470200e-02
3.710937500000000000e+00,8.936985780306881330e-03
3.789062500000000000e+00,8.049684334914838577e-03
3.867187500000000000e+00,7.723054441367151191e-03
3.945312500000000000e+00,6.542937159696100499e-03
4.023437500000000000e+00,6.042733156478262424e-03
4.101562500000000000e+00,5.788297041423032079e-03
4.179687500000000000e+00,4.828888444024509799e-03
4.257812500000000000e+00,4.431044733329714096e-03
4.335937500000000000e+00,4.209099321100574082e-03
4.414062500000000000e+00,3.506442169866032070e-03
4.492187500000000000e+00,3.517611941217014832e-03
4.570312500000000000e+00,3.130794893403865322e-03
4.648437500000000000e+00,2.942816451163120760e-03
4.726562500000000000e+00,2.416451543518281612e-03
4.804687500000000000e+00,2.258896433269531184e-03
4.882812500000000000e+00,2.119826926675935207e-03
4.960937500000000000e+00,1.916785082176722735e-03
