# value,p_w
8.984375000000000000e-02,7.540425590324096531e-05
2.695312500000000000e-01,5.154652229597505957e-04
4.492187500000000000e-01,1.338740491974953336e-03
6.289062500000000000e-01,2.490158015616491301e-03
8.085937500000000000e-01,4.337621391742979907e-03
9.882812500000000000e-01,6.475749353267000116e-03
1.167968750000000000e+00,9.103643043543137650e-03
1.347656250000000000e+00,1.189967716490779662e-02
1.527343750000000000e+00,1.493530857950251152e-02
1.707031250000000000e+00,1.834767212000707956e-02
1.886718750000000000e+00,2.172026789368478039e-02
2.066406250000000000e+00,2.610622977264946687e-02
2.246093750000000000e+00,2.994614960784034233e-02
2.425781250000000000e+00,3.437943665072069888e-02
2.605468750000000000e+00,3.882384422841988342e-02
2.785156250000000000e+00,4.356778275853189636e-02
2.964843750000000000e+00,4.789185706625387340e-02
3.144531250000000000e+00,5.193806092516547318e-02
3.324218750000000000e+00,5.714927135766597471e-02
3.503906250000000000e+00,6.207241877969398025e-02
3.683593750000000000e+00,6.679906276168899593e-02
3.863281250000000000e+00,7.149473552894733408e-02
4.042968750000000000e+00,7.654386948685032444e-02
4.222656250000000000e+00,8.166647092676518338e-02
4.402343750000000000e+00,8.672929089644591805e-02
4.582031250000000000e+00,9.085622843430717077e-02
4.761718750000000000e+00,9.450779105649434464e-02
4.941406250000000000e+00,9.805703240563094780e-02
5.121093750000000000e+00,1.018184780249556109e-01
5.300781250000000000e+00,1.046544925910030677e-01
5.480468750000000000e+00,1.092133632715847763e-01
5.660156250000000000e+00,1.119286154144788353e-01
5.839843750000000000e+00,1.148212113353891950e-01
6.019531250000000000e+00,1.181120161730178780e-01
6.199218750000000000e+00,1.199061655791912456e-01
6.378906250000000000e+00,1.232046240015859384e-01
6.558593750000000000e+00,1.247728825931085500e-01
6.738281250000000000e+00,1.259771350490619113e-01
6.917968750000000000e+00,1.288597557314197228e-01
7.097656250000000000e+00,1.308155020233028598e-01
7.277343750000000000e+00,1.306566173806263387e-01
7.457031250000000000e+00,1.330935279965597962e-01
7.636718750000000000e+00,1.333254196086350318e-01
7.816406250000000000e+00,1.321349195564168189e-01
7.996093750000000000e+00,1.340434694220457856e-01
8.175781250000000000e+00,1.337051815648399866e-01
8.355468750000000000e+00,1.315935624523978109e-01
8.535156250000000000e+00,1.332297855428132560e-01
8.714843750000000000e+00,1.324999571707002333e-01
8.894531250000000000e+00,1.315336237771183581e-01
9.074218750000000000e+00,1.298196517782524706e-01
9.253906250000000000e+00,1.291599517783872109e-01
9.433593750000000000e+00,1.272788685216568183e-01
9.613281250000000000e+00,1.259605528546909603e-01
9.792968750000000000e+00,1.245855450874283066e-01
9.972656250000000000e+00,1.230295446297538231e-01
1.015234375000000000e+01,1.222279583326045804e-01
1.033203125000000000e+01,1.193935156558979388e-01
1.051171875000000000e+01,1.177956154771545721e-01
1.069140625000000000e+01,1.152193749920946003e-01
1.087109375000000000e+01,1.135492853288496140e-01
1.105078125000000000e+01,1.113649003842258622e-01
1.123046875000000000e+01,1.091020619130830954e-01
1.141015625000000000e+01,1.070610181328306432e-01
