# value,p_u_x,p_u_y,p_u_z
-8.268750000000000266e-01,1.208384287135431806e-01,1.294651947992100927e-01,1.087733187393299800e-01
-8.006249999999999201e-01,1.378922582266832175e-01,1.469313014306623255e-01,1.281490041464824481e-01
-7.743750000000000355e-01,1.587727032262006566e-01,1.679262894242787296e-01,1.420775840034710358e-01
-7.481249999999999289e-01,1.815092068571946271e-01,1.873134194513240147e-01,1.640106079466573386e-01
-7.218750000000000444e-01,2.044695377952354676e-01,2.122981190826513653e-01,1.900170399356918283e-01
-6.956249999999999378e-01,2.242082072815437255e-01,2.363165878467699266e-01,2.176639412572005383e-01
-6.693750000000000533e-01,2.487049869900957999e-01,2.603228114239909963e-01,2.446077240582923418e-01
-6.431249999999999467e-01,2.753259277521612480e-01,2.948872609198684991e-01,2.810993607946856709e-01
-6.168750000000000622e-01,3.044970091507149257e-01,3.272305600497867339e-01,3.134214243803054578e-01
-5.906249999999999556e-01,3.456735157444274509e-01,3.602830738228898211e-01,3.457715674285844476e-01
-5.643749999999999600e-01,3.820297916985269104e-01,3.950338369313213804e-01,3.814396021588201124e-01
-5.381249999999999645e-01,4.163179322358864232e-01,4.397086915908394733e-01,4.194675885733764598e-01
-5.118749999999999689e-01,4.506577219847743287e-01,4.762499996954192016e-01,4.592257158243789883e-01
-4.856249999999999734e-01,4.919680414148613345e-01,5.126341645126497593e-01,5.064728669061923094e-01
-4.593749999999999778e-01,5.340899169289771153e-01,5.469334840111031992e-01,5.512446169442001276e-01
-4.331249999999999822e-01,5.784956009488485540e-01,5.832838942931155568e-01,5.932170098895157562e-01
-4.068749999999999867e-01,6.240397933099040007e-01,6.187433407842497513e-01,6.374225615366865272e-01
-3.806249999999999911e-01,6.715891851133278800e-01,6.634873977942962187e-01,6.802882751172596443e-01
-3.543749999999999956e-01,7.092445427135538605e-01,7.019619917350558014e-01,7.235982071362414558e-01
-3.281250000000000000e-01,7.499610308914606005e-01,7.490545717644587764e-01,7.573220301380547692e-01
-3.018749999999999489e-01,7.857494180911479553e-01,7.776924082080473033e-01,7.857967032818259367e-01
