# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.001846830445412284e-01,1.195378276668126738e-01,1.202901480922349831e-01
6.899999999999999467e-01,1.645701414634024029e-01,1.746449480254728126e-01,1.716759243953170921e-01
1.034999999999999920e+00,2.246055573896772184e-01,2.285694801806568144e-01,2.042152640776400407e-01
1.379999999999999893e+00,2.629005645296417226e-01,2.737857626383874976e-01,2.364774771498351635e-01
1.725000000000000089e+00,3.036459605525093086e-01,3.203827659244633530e-01,2.608054169194636285e-01
2.069999999999999840e+00,3.410497286256748972e-01,3.668237375752993468e-01,2.827393017715069679e-01
2.415000000000000036e+00,3.773159764683589046e-01,4.123692953110739134e-01,3.127567198343092492e-01
2.757000000000000117e+00,4.050101469977457902e-01,4.461103965553019357e-01,3.387370718981916884e-01
3.101999999999999869e+00,4.330149888728267449e-01,4.746841331851168744e-01,3.567493015862350791e-01
3.447000000000000064e+00,4.666809334598622239e-01,5.003313800724298321e-01,3.739812308330681123e-01
3.791999999999999815e+00,4.958145003612947632e-01,5.193395035824180939e-01,3.959765567679517928e-01
4.136999999999999567e+00,5.265109030660461986e-01,5.381769567069343285e-01,4.177223047583017435e-01
4.482000000000000206e+00,5.491661492857691229e-01,5.643913766260266751e-01,4.360752168069381152e-01
4.826999999999999957e+00,5.707404461148932739e-01,5.729265845245269384e-01,4.635518145567241177e-01
5.171999999999999709e+00,5.918779125178489364e-01,5.897020585320010833e-01,4.851365084095918823e-01
5.517000000000000348e+00,6.136284504855148425e-01,6.150080257639755077e-01,5.121312731039749933e-01
5.862000000000000099e+00,6.380733907398300486e-01,6.428070199112349004e-01,5.283600112807925742e-01
6.206999999999999851e+00,6.528712506803764359e-01,6.622327120306339410e-01,5.347621714472420296e-01
6.551999999999999602e+00,6.727183814704806863e-01,6.815550053232362071e-01,5.403394989505641011e-01
6.897000000000000242e+00,7.002877702503806923e-01,6.970497582506213208e-01,5.473530260917623957e-01
7.241999999999999993e+00,7.287899297462511194e-01,7.168117474657014210e-01,5.646689749429761873e-01
7.583999999999999631e+00,7.452488025733466914e-01,7.338462934803560156e-01,5.786008633733241702e-01
7.929000000000000270e+00,7.718362134568759192e-01,7.443611633736753053e-01,5.891931016435132396e-01
8.273999999999999133e+00,8.080547655013349262e-01,7.584213053909355517e-01,6.053595186693152552e-01
8.618999999999999773e+00,8.413234268662289628e-01,7.728929287369945555e-01,6.215938278566385256e-01
8.964000000000000412e+00,8.610634162202931430e-01,7.821218972693050331e-01,6.346338786422122125e-01
9.308999999999999275e+00,8.788119078594012201e-01,7.955456282130259904e-01,6.520416740510730502e-01
9.653999999999999915e+00,8.956965916439290076e-01,8.061839986076584363e-01,6.638034602684912411e-01
9.999000000000000554e+00,9.181733166088511533e-01,8.193725865068119951e-01,6.724879574674452742e-01
