# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-5.929687500000000000e+00,1.837401658932024881e-02,2.816163060579696120e-02,2.957275962746330408e-02,2.961827864115274683e-02,1.872764211419272046e-02,3.123017083552350609e-02,2.819842808021644567e-02,2.828696037218272896e-02,1.934585303661633462e-02
-5.570312500000000000e+00,2.233269228950575391e-02,3.253127422890932097e-02,3.355969229193130066e-02,3.350404762238149564e-02,2.219789874464466600e-02,3.509161930758331049e-02,3.246997428014162385e-02,3.268251923081597066e-02,2.308027618525009678e-02
-5.210937500000000000e+00,2.646859736210646283e-02,3.695496241795879350e-02,3.768306856755314349e-02,3.780342398304137319e-02,2.662774901517987042e-02,3.937300000634727515e-02,3.741201990224061330e-02,3.746060140309327019e-02,2.712920739548365517e-02
-4.851562500000000000e+00,3.161012812157838747e-02,4.175793475727939547e-02,4.292050172933881830e-02,4.303367025133995882e-02,3.146871032789171768e-02,4.419694973938752963e-02,4.289312530391274636e-02,4.219602531422664976e-02,3.170687678896318140e-02
-4.492187500000000000e+00,3.757940688673706148e-02,4.666882877209620889e-02,4.857278540881918016e-02,4.810072854590289465e-02,3.722290804145339527e-02,4.917402614225986623e-02,4.817441284687343228e-02,4.759051083998289133e-02,3.780748099280889507e-02
-4.132812500000000000e+00,4.389470521312246326e-02,5.217798068174469422e-02,5.412063042685601871e-02,5.405896791598412826e-02,4.369166772993161862e-02,5.489890376440333120e-02,5.421514516410531892e-02,5.371272880790820686e-02,4.431158874397013447e-02
-3.773437500000000000e+00,5.118481844781522933e-02,5.871087936448664280e-02,5.970666443256739814e-02,6.019182928207670452e-02,5.055467775412299941e-02,6.066766603703316330e-02,6.083445713841960367e-02,6.003999694566374695e-02,5.093381974685188412e-02
-3.414062500000000000e+00,5.914329999289925227e-02,6.531129847488260920e-02,6.656782211583443798e-02,6.588999957588820289e-02,5.787540955817535582e-02,6.641517504063378097e-02,6.700868780589634699e-02,6.613525597454192329e-02,5.848692269944165412e-02
-3.054687500000000000e+00,6.758458804328519587e-02,7.175993633708695196e-02,7.199956706486945746e-02,7.245258143737627610e-02,6.657394139471069228e-02,7.198877622560533041e-02,7.404432841867822357e-02,7.234529955634405596e-02,6.736360431419961825e-02
-2.695312500000000000e+00,7.634343382867668504e-02,7.872418353636195798e-02,7.898560200712792523e-02,7.933794073282562920e-02,7.601564359201465337e-02,7.779913381652667215e-02,8.110952641710539313e-02,7.884154134008566905e-02,7.603246166395356831e-02
