# time,average_velocity_axis_0_t_inf,95CLI,vs
9.996000000000000441e+00,1.050021885707407843e-01,6.125943406207006413e-03,5.000000000000000000e-01
9.996000000000000441e+00,2.158819680215836034e-01,6.334515313728363364e-03,1.000000000000000000e+00
9.996000000000000441e+00,4.239454454633415637e-01,5.626061989024822886e-03,2.000000000000000000e+00
9.996000000000000441e+00,8.499945808401485614e-01,4.755518171469779592e-03,4.000000000000000000e+00
9.996000000000000441e+00,1.703193932944271349e+00,4.187942834848057926e-03,8.000000000000000000e+00
9.996000000000000441e+00,3.397425774509022389e+00,3.911946354634223376e-03,1.600000000000000000e+01
