# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,9.952565295350339347e-02,1.282831484880923578e-01,1.298019418096825195e-01
6.899999999999999467e-01,1.744809674551029421e-01,2.098705985907587390e-01,2.141802418315184864e-01
1.034999999999999920e+00,2.421913431000463912e-01,2.875439622203647128e-01,2.694352511649656945e-01
1.379999999999999893e+00,2.984788334482271766e-01,3.671512248279550361e-01,3.096949714588831393e-01
1.725000000000000089e+00,3.417120301022687490e-01,4.377666304742438563e-01,3.472737789815294462e-01
2.069999999999999840e+00,3.829418452679101414e-01,5.086523914160506754e-01,3.792456127058754234e-01
2.415000000000000036e+00,4.274567552186425701e-01,5.700845304765814747e-01,4.144149688324757497e-01
2.757000000000000117e+00,4.640943479107745850e-01,6.066242993347595869e-01,4.412819601649629053e-01
3.101999999999999869e+00,4.909882175141508931e-01,6.378565982838407811e-01,4.696583733916743775e-01
3.447000000000000064e+00,5.207575536628367141e-01,6.596203115129029015e-01,4.959265549211855362e-01
3.791999999999999815e+00,5.483616196640549445e-01,6.797788382703964238e-01,5.169329125864906560e-01
4.136999999999999567e+00,5.763904230130713069e-01,6.946198895910318249e-01,5.452169130056947477e-01
4.482000000000000206e+00,6.016906970330072602e-01,7.162813566054129222e-01,5.668164835073844499e-01
4.826999999999999957e+00,6.279756450442113280e-01,7.379833721303362681e-01,5.950956780301245308e-01
5.171999999999999709e+00,6.483756905518313074e-01,7.633117146374940321e-01,6.206991837793771616e-01
5.517000000000000348e+00,6.699534503230009097e-01,7.888772442777224336e-01,6.465580875430311236e-01
5.862000000000000099e+00,6.929746882976703937e-01,8.157465402086374606e-01,6.670416721251302139e-01
6.206999999999999851e+00,7.092297087867719396e-01,8.444325476169174394e-01,6.855412460246766981e-01
6.551999999999999602e+00,7.431197798117521458e-01,8.641123778311592396e-01,7.036549583644348127e-01
6.897000000000000242e+00,7.767289246131059421e-01,8.794172583164752144e-01,7.265064597929078438e-01
7.241999999999999993e+00,8.091106556786878956e-01,9.006960030164035125e-01,7.480637405075493129e-01
7.583999999999999631e+00,8.316798081473277815e-01,9.191338083139568571e-01,7.701614089224123605e-01
7.929000000000000270e+00,8.546326210798406153e-01,9.374474869888371753e-01,7.902049777838231481e-01
8.273999999999999133e+00,8.780453832193784169e-01,9.504276698268863122e-01,8.154508845270542761e-01
8.618999999999999773e+00,9.032654297083835271e-01,9.613861401364509618e-01,8.377553620510104215e-01
8.964000000000000412e+00,9.321802531492369148e-01,9.767983571645406649e-01,8.609917105746296428e-01
9.308999999999999275e+00,9.548520710885030072e-01,9.900394080257557405e-01,8.791148363117002873e-01
9.653999999999999915e+00,9.755746212209671642e-01,1.000637723454568251e+00,8.948438662613003025e-01
9.999000000000000554e+00,9.997539638929827666e-01,1.013118418725466263e+00,9.059036681987910899e-01
