# vs,diffusion_coefficient_x,diffusion_coefficient_y,diffusion_coefficient_z
5.000000000000000000e-01,1.456864747548641467e-02,1.851778885653933976e-02,1.286658973004500307e-02
1.000000000000000000e+00,1.543024840250692593e-02,1.492569288283548783e-02,1.143182855337661515e-02
2.000000000000000000e+00,1.209854696340127191e-02,1.147352979416372230e-02,7.368613169134977277e-03
4.000000000000000000e+00,8.466105356745650193e-03,7.680425852673183201e-03,4.264365287955726967e-03
8.000000000000000000e+00,6.376696835258642039e-03,5.924820235801417367e-03,3.023857610033007202e-03
1.600000000000000000e+01,5.601141153460388079e-03,5.706075728303144044e-03,2.484709683229448587e-03
