# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,9.897013765704514021e-02,1.230539270019070930e-01,1.298757963847965158e-01
6.899999999999999467e-01,1.729721843701066963e-01,1.986007881552154519e-01,2.085653478944390904e-01
1.034999999999999920e+00,2.419357267094772723e-01,2.649617628609081121e-01,2.503210745958623917e-01
1.379999999999999893e+00,2.893042579868032038e-01,3.308571596356540967e-01,2.821760628037680574e-01
1.725000000000000089e+00,3.363366657038140417e-01,3.940851915528222338e-01,3.120430394886812286e-01
2.069999999999999840e+00,3.763745509217789609e-01,4.502107114559661394e-01,3.345416906268653401e-01
2.415000000000000036e+00,4.191878067475663938e-01,4.968044074244382102e-01,3.665203020867220385e-01
2.757000000000000117e+00,4.546672783655437700e-01,5.296154352733518644e-01,3.958442138926892007e-01
3.101999999999999869e+00,4.824102530429178470e-01,5.558578548809017805e-01,4.193423202721510701e-01
3.447000000000000064e+00,5.177098469001474301e-01,5.759176948362252357e-01,4.440682616117323511e-01
3.791999999999999815e+00,5.519375898879017583e-01,5.983164880896104654e-01,4.710049260015472528e-01
4.136999999999999567e+00,5.844933688464661881e-01,6.194417254271324946e-01,4.974252108703988151e-01
4.482000000000000206e+00,6.131932788907047405e-01,6.386106119221883759e-01,5.224471598453025445e-01
4.826999999999999957e+00,6.437590949596555534e-01,6.536763004263209664e-01,5.494830688221490345e-01
5.171999999999999709e+00,6.694416366748333624e-01,6.718969840557242890e-01,5.800848920323021796e-01
5.517000000000000348e+00,6.951689976431993934e-01,6.967882228604874717e-01,6.141168034373863938e-01
5.862000000000000099e+00,7.186060237049950450e-01,7.231567943615734295e-01,6.413089047642255291e-01
6.206999999999999851e+00,7.290339204607967361e-01,7.553170225654683989e-01,6.565713139068425352e-01
6.551999999999999602e+00,7.603678239632727376e-01,7.786278506349966211e-01,6.740452278727103730e-01
6.897000000000000242e+00,7.979938737554561623e-01,8.034436279272810788e-01,7.029081032038655419e-01
7.241999999999999993e+00,8.308466600285316916e-01,8.228901868227922467e-01,7.327282302757265331e-01
7.583999999999999631e+00,8.580665824853128676e-01,8.384939437387801675e-01,7.516223746030900044e-01
7.929000000000000270e+00,8.873990243495604169e-01,8.482147491074463197e-01,7.697231727439438620e-01
8.273999999999999133e+00,9.212794285558550955e-01,8.530595493193777745e-01,7.862200335584293986e-01
8.618999999999999773e+00,9.517535913276510273e-01,8.604111266809022496e-01,7.951343936818844327e-01
8.964000000000000412e+00,9.755604696528258346e-01,8.767944287786706425e-01,8.043467612660887278e-01
9.308999999999999275e+00,9.933490023742416186e-01,8.932379345796067627e-01,8.172363323140451330e-01
9.653999999999999915e+00,1.015712564362308834e+00,9.111328755413882208e-01,8.364952752973416894e-01
9.999000000000000554e+00,1.033792899200469240e+00,9.286800537554783519e-01,8.521722552510871962e-01
