# value,p_w
8.984375000000000000e-02,6.992015356642577854e-05
2.695312500000000000e-01,5.329599904418664928e-04
4.492187500000000000e-01,1.325075152986312415e-03
6.289062500000000000e-01,2.700597976910354588e-03
8.085937500000000000e-01,4.265221636098237047e-03
9.882812500000000000e-01,6.315040824680861857e-03
1.167968750000000000e+00,8.858262087167154131e-03
1.347656250000000000e+00,1.171171422786922676e-02
1.527343750000000000e+00,1.461318554484113304e-02
1.707031250000000000e+00,1.819536070486621124e-02
1.886718750000000000e+00,2.181960087624129629e-02
2.066406250000000000e+00,2.590845960111417060e-02
2.246093750000000000e+00,2.976563079197221823e-02
2.425781250000000000e+00,3.443223098130426818e-02
2.605468750000000000e+00,3.841871506985460732e-02
2.785156250000000000e+00,4.343364256748403346e-02
2.964843750000000000e+00,4.747120351423821105e-02
3.144531250000000000e+00,5.219877632316360233e-02
3.324218750000000000e+00,5.806567834888651941e-02
3.503906250000000000e+00,6.188500808291787919e-02
3.683593750000000000e+00,6.672063372278311255e-02
3.863281250000000000e+00,7.166169811160251479e-02
4.042968750000000000e+00,7.517429241787564054e-02
4.222656250000000000e+00,8.042465416981464665e-02
4.402343750000000000e+00,8.474298840636983188e-02
4.582031250000000000e+00,8.926819358620345646e-02
4.761718750000000000e+00,9.452523159718470569e-02
4.941406250000000000e+00,9.668583837322057561e-02
5.121093750000000000e+00,1.020098966918460415e-01
5.300781250000000000e+00,1.053425064932361210e-01
5.480468750000000000e+00,1.094303998467238415e-01
5.660156250000000000e+00,1.118774201964872622e-01
5.839843750000000000e+00,1.147871140090866854e-01
6.019531250000000000e+00,1.171002572184528662e-01
6.199218750000000000e+00,1.203666506662458141e-01
6.378906250000000000e+00,1.231922626920360364e-01
6.558593750000000000e+00,1.253830155821942793e-01
6.738281250000000000e+00,1.276907264088308347e-01
6.917968750000000000e+00,1.289975015964419658e-01
7.097656250000000000e+00,1.307381688179893309e-01
7.277343750000000000e+00,1.303428027470906747e-01
7.457031250000000000e+00,1.323098448785168246e-01
7.636718750000000000e+00,1.329763558955228131e-01
7.816406250000000000e+00,1.327676549441410003e-01
7.996093750000000000e+00,1.338677700878624366e-01
8.175781250000000000e+00,1.334379009700353003e-01
8.355468750000000000e+00,1.342918373052902070e-01
8.535156250000000000e+00,1.338098522857366635e-01
8.714843750000000000e+00,1.329002101362845578e-01
8.894531250000000000e+00,1.321573682759818735e-01
9.074218750000000000e+00,1.302616900053851778e-01
9.253906250000000000e+00,1.298404264413467457e-01
9.433593750000000000e+00,1.286804894963986534e-01
9.613281250000000000e+00,1.265278022234224975e-01
9.792968750000000000e+00,1.253428667158369980e-01
9.972656250000000000e+00,1.229534326780386960e-01
1.015234375000000000e+01,1.213679185881827854e-01
1.033203125000000000e+01,1.198622663886515227e-01
1.051171875000000000e+01,1.178527500775797682e-01
1.069140625000000000e+01,1.152065655530312843e-01
1.087109375000000000e+01,1.141276450449368873e-01
1.105078125000000000e+01,1.113744576668232733e-01
1.123046875000000000e+01,1.082170984805188030e-01
1.141015625000000000e+01,1.066346493564997444e-01
