# averaged_norm_measured_gradient_derivative,95CLI,correlation_time,95CLI,vs
2.598826022982874520e+02,1.204972211860025483e-01,4.439115353625302379e-02,1.759418466373128165e-04,5.000000000000000000e-01
2.613802636940482671e+02,1.371255260155489486e-01,4.399520615124879325e-02,1.565203621951620451e-04,1.000000000000000000e+00
2.665412129052550654e+02,1.753098867873359168e-01,4.304850897304514368e-02,1.349095119704447497e-04,2.000000000000000000e+00
2.871538793476851197e+02,2.967042595726753773e-01,4.011429055735897531e-02,1.008407657670170069e-04,4.000000000000000000e+00
3.543831369013755648e+02,5.050541501839054259e-01,3.317022939128359826e-02,5.669838827761075872e-05,8.000000000000000000e+00
5.376967558041309303e+02,9.805235169874521040e-01,2.274492865499309902e-02,3.337388683218926147e-05,1.600000000000000000e+01
