# time,average_distance,95CLI,average_effective_velocity,95CLI
0.000000000000000000e+00,1.880897122192382379e-02,9.050888729911014895e-10,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,4.302188485717772792e-02,1.420812143884122799e-04,-7.018235836305479480e-02,4.118296069229341683e-04
6.899999999999999467e-01,9.724596443939206858e-02,4.351055260172132151e-04,-1.136768017644467499e-01,6.305877188655264034e-04
1.034999999999999920e+00,1.898514565658569464e-01,8.705865451391377316e-04,-1.652584399458291164e-01,8.411464204242876958e-04
1.379999999999999893e+00,3.095565424728393689e-01,1.324444874997430122e-03,-2.106866458339967940e-01,9.597426630416160511e-04
1.725000000000000089e+00,4.385014825515746173e-01,1.668576236284597530e-03,-2.433000065679134793e-01,9.672905717591869694e-04
2.069999999999999840e+00,5.673735238342285658e-01,1.941604708415634950e-03,-2.650070302474902273e-01,9.379732890896787766e-04
2.415000000000000036e+00,6.996332650070189452e-01,2.161472372769828679e-03,-2.819148214431035915e-01,8.950196160537592658e-04
2.757000000000000117e+00,7.999447341613770135e-01,2.308920021974940427e-03,-2.833281693650537281e-01,8.374755248367574557e-04
3.101999999999999869e+00,8.941064638671875064e-01,2.453896552797959433e-03,-2.821719834446368980e-01,7.910691659567890398e-04
3.447000000000000064e+00,9.822502543869019442e-01,2.570137974127018748e-03,-2.795013876312671952e-01,7.456158903762746988e-04
3.791999999999999815e+00,1.048831367057800446e+00,2.674424025297836207e-03,-2.716303786487015981e-01,7.052805973886699682e-04
4.136999999999999567e+00,1.113277245597839471e+00,2.781455567262718087e-03,-2.645560247464142090e-01,6.723363711053223024e-04
4.482000000000000206e+00,1.171174066230773914e+00,2.874699382461787592e-03,-2.571095705062137471e-01,6.413876355336428463e-04
4.826999999999999957e+00,1.239549011718749982e+00,2.997343605741329461e-03,-2.528982888951369357e-01,6.209537198552578024e-04
5.171999999999999709e+00,1.302868506423950246e+00,3.120057895081528292e-03,-2.482713718488063492e-01,6.032594538053999205e-04
5.517000000000000348e+00,1.364880598136901879e+00,3.240059126079892615e-03,-2.439861567726985536e-01,5.872864103824347549e-04
5.862000000000000099e+00,1.422975471008300907e+00,3.355221340154105648e-03,-2.395371033412447836e-01,5.723680211794789259e-04
6.206999999999999851e+00,1.473881207313537889e+00,3.467240759901832770e-03,-2.344243976303550803e-01,5.586017012891627415e-04
6.551999999999999602e+00,1.527921765457153302e+00,3.581016947241126482e-03,-2.303285705487224388e-01,5.465532581259350924e-04
6.897000000000000242e+00,1.589471926963806236e+00,3.708076213583736454e-03,-2.277313260463799116e-01,5.376361046228412882e-04
7.241999999999999993e+00,1.648281770553588821e+00,3.827142703496327989e-03,-2.250031482092881563e-01,5.284648858735608960e-04
7.583999999999999631e+00,1.696940426261901891e+00,3.925045642680566153e-03,-2.212726074683515343e-01,5.175429381171633373e-04
7.929000000000000270e+00,1.740371515136718727e+00,4.016643652689354249e-03,-2.171222782084493430e-01,5.065763214389398198e-04
8.273999999999999133e+00,1.786581434356689480e+00,4.115403627371806532e-03,-2.136539114255215921e-01,4.973898510239070430e-04
8.618999999999999773e+00,1.830330535453796204e+00,4.210672772510705951e-03,-2.101776962793679426e-01,4.885337942349119757e-04
8.964000000000000412e+00,1.871710983551025498e+00,4.304948308491087124e-03,-2.067048206525101961e-01,4.802485841690190527e-04
9.308999999999999275e+00,1.909282846481323626e+00,4.391172935605309850e-03,-2.030802315242668243e-01,4.717126367606950610e-04
9.653999999999999915e+00,1.945190567298888951e+00,4.475217535609516024e-03,-1.995423240187450820e-01,4.635609628764777285e-04
9.999000000000000554e+00,1.979616218254089732e+00,4.555982917197357214e-03,-1.961003347366902516e-01,4.556438561053462156e-04
