# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
1.880916499999999922e-02,0.000000000000000000e+00,5.168233399999999644e-01,5.701402609726990978e-01,7.520978949999999053e-01,4.010767595462048085e-01,8.368651149999999372e-01,2.632903626855060408e-01,1.076646644999999847e+00,2.397691832226323816e-01
1.880917499999999742e-02,0.000000000000000000e+00,5.450852999999999948e-01,4.492014177360659222e-01,7.910555249999999816e-01,4.386777057536602187e-01,8.795194250000000213e-01,2.632903626855060408e-01,1.125521775000000169e+00,3.196922442968431755e-01
1.880918499999999910e-02,0.000000000000000000e+00,5.733472600000000252e-01,4.664783953412992568e-01,8.300131550000000580e-01,3.760094620745669802e-01,9.221737349999999944e-01,1.946059202458083059e-01,1.174396905000000046e+00,2.697403311254626401e-01
1.880919500000000077e-02,0.000000000000000000e+00,6.016092200000000556e-01,6.219711937884014885e-01,8.689707849999999123e-01,4.512113544894804096e-01,9.648280449999999675e-01,3.319748051252032761e-01,1.223272034999999924e+00,3.097018616625682452e-01
1.880920499999999898e-02,0.000000000000000000e+00,6.298711799999999750e-01,5.183093281569991495e-01,9.079284149999999887e-01,5.138795981685734260e-01,1.007482355000000052e+00,3.663170263450528097e-01,1.272147165000000024e+00,2.497595658569075894e-01
1.880921499999999719e-02,0.000000000000000000e+00,6.581331400000000054e-01,7.256330594197988315e-01,9.468860450000000650e-01,4.010767595462048085e-01,1.050136664999999914e+00,2.632903626855053747e-01,1.321022295000000124e+00,2.997114790282918162e-01
1.880922499999999886e-02,0.000000000000000000e+00,6.863951000000000358e-01,6.219711937883990460e-01,9.858436749999999194e-01,4.762786519611181824e-01,1.092790974999999998e+00,4.922385041511621595e-01,1.369897425000000002e+00,2.997114790282918162e-01
1.880923500000000054e-02,0.000000000000000000e+00,7.146570599999999551e-01,9.502337682878355674e-01,1.024801304999999996e+00,5.013459494327545674e-01,1.135445285000000082e+00,4.006592475648994567e-01,1.418772555000000102e+00,3.596537748339469487e-01
1.880924499999999874e-02,0.000000000000000000e+00,7.429190199999999855e-01,6.738021266040988833e-01,1.063758935000000072e+00,5.640141931118488605e-01,1.178099595000000166e+00,4.464488758580308359e-01,1.467647685000000202e+00,4.495672185424377520e-01
1.880925500000000042e-02,0.000000000000000000e+00,7.711809800000000159e-01,7.601870146302655007e-01,1.102716565000000148e+00,4.010767595462059187e-01,1.220753905000000028e+00,5.151333182977332337e-01,1.516522815000000080e+00,4.195960706396085760e-01
1.880926499999999862e-02,0.000000000000000000e+00,7.994429400000000463e-01,8.638488802616687279e-01,1.141674195000000003e+00,7.645525728849507097e-01,1.263408214999999890e+00,4.464488758580308359e-01,1.565397944999999957e+00,4.195960706396085760e-01
1.880927500000000030e-02,0.000000000000000000e+00,8.277048999999999657e-01,8.638488802616652862e-01,1.180631824999999857e+00,6.141487880551278478e-01,1.306062524999999974e+00,3.892118404916166119e-01,1.614273075000000057e+00,4.096056880053284277e-01
1.880928500000000198e-02,0.000000000000000000e+00,8.559668599999999961e-01,8.811258578668985653e-01,1.219589454999999933e+00,6.392160855267620123e-01,1.348716835000000058e+00,4.922385041511621595e-01,1.663148205000000157e+00,5.594614275194780273e-01
1.880929500000000018e-02,0.000000000000000000e+00,8.842288200000000264e-01,8.465719026564320071e-01,1.258547085000000010e+00,5.389468956402111433e-01,1.391371145000000142e+00,4.464488758580308359e-01,1.712023335000000035e+00,3.496633921996737948e-01
1.880930499999999839e-02,0.000000000000000000e+00,9.124907799999999458e-01,1.157557499550635915e+00,1.297504715000000086e+00,5.013459494327574539e-01,1.434025455000000004e+00,5.952651678107139244e-01,1.760898464999999913e+00,3.696441574682265974e-01
1.880931500000000006e-02,0.000000000000000000e+00,9.407527399999999762e-01,7.083560818145655524e-01,1.336462344999999940e+00,6.141487880551242950e-01,1.476679764999999867e+00,5.036859112244450598e-01,1.809773595000000013e+00,5.294902796166440773e-01
1.880932500000000174e-02,0.000000000000000000e+00,9.690147000000000066e-01,6.738021266040988833e-01,1.375419975000000017e+00,6.266824367909431537e-01,1.519334074999999951e+00,5.838177607374248623e-01,1.858648725000000113e+00,4.096056880053321470e-01
1.880933499999999994e-02,0.000000000000000000e+00,9.972766599999999260e-01,7.774639922355048860e-01,1.414377604999999871e+00,5.013459494327574539e-01,1.561988385000000035e+00,5.723703536641420175e-01,1.907523854999999990e+00,4.096056880053321470e-01
1.880934499999999815e-02,0.000000000000000000e+00,1.025538619999999845e+00,9.502337682878317926e-01,1.453335234999999948e+00,6.266824367909431537e-01,1.604642695000000119e+00,6.410547961038390863e-01,1.956398985000000090e+00,5.494710448851967133e-01
1.880935499999999982e-02,0.000000000000000000e+00,1.053800579999999876e+00,7.601870146302655007e-01,1.492292865000000024e+00,5.138795981685734260e-01,1.647297004999999981e+00,4.693436900046014104e-01,2.005274115000000190e+00,5.594614275194780273e-01
1.880936500000000150e-02,0.000000000000000000e+00,1.082062539999999906e+00,9.156798130773652344e-01,1.531250495000000100e+00,5.514805443760331105e-01,1.689951314999999843e+00,4.464488758580308359e-01,2.054149245000000068e+00,3.996153053710557734e-01
1.880937499999999971e-02,0.000000000000000000e+00,1.110324499999999937e+00,8.292949250511986170e-01,1.570208124999999955e+00,6.016151393193054364e-01,1.732605624999999927e+00,5.036859112244450598e-01,2.103024374999999946e+00,5.394806622509252803e-01
1.880938499999999791e-02,0.000000000000000000e+00,1.138586459999999967e+00,7.256330594197988315e-01,1.609165755000000031e+00,4.512113544894790773e-01,1.775259935000000011e+00,4.922385041511621595e-01,2.151899505000000268e+00,5.594614275194730313e-01
1.880939499999999959e-02,0.000000000000000000e+00,1.166848419999999997e+00,7.947409698407382761e-01,1.648123384999999885e+00,7.144179779416792719e-01,1.817914245000000095e+00,5.036859112244450598e-01,2.200774635000000146e+00,3.796345401025029709e-01
1.880940500000000126e-02,0.000000000000000000e+00,1.195110379999999806e+00,5.010323505517658704e-01,1.687081014999999962e+00,5.514805443760300019e-01,1.860568555000000179e+00,4.121066546381823015e-01,2.249649765000000023e+00,3.996153053710521097e-01
1.880941499999999947e-02,0.000000000000000000e+00,1.223372339999999836e+00,5.701402609726990978e-01,1.726038645000000038e+00,4.762786519611168501e-01,1.903222865000000041e+00,4.578962829313183991e-01,2.298524895000000345e+00,4.995191317138197307e-01
1.880942499999999767e-02,0.000000000000000000e+00,1.251634299999999866e+00,5.010323505517658704e-01,1.764996275000000114e+00,4.512113544894816863e-01,1.945877174999999903e+00,4.578962829313136806e-01,2.347400025000000223e+00,4.096056880053321470e-01
1.880943499999999935e-02,0.000000000000000000e+00,1.279896259999999897e+00,6.565251489988656042e-01,1.803953904999999969e+00,6.141487880551242950e-01,1.988531484999999988e+00,4.121066546381823015e-01,2.396275155000000101e+00,4.295864532738849495e-01
1.880944500000000102e-02,0.000000000000000000e+00,1.308158219999999927e+00,5.874172385779323768e-01,1.842911535000000045e+00,4.888123006969357087e-01,2.031185794999999850e+00,5.952651678107077071e-01,2.445150285000000423e+00,4.195960706396047457e-01
