# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,1.932107539737166202e-01,1.312499178966806956e-01,1.095154184136672842e-01
-7.612499999999999822e-01,2.448344893389121923e-01,1.637211867439125612e-01,1.503727775497086250e-01
-7.087499999999999911e-01,3.010098997825993994e-01,2.104545640989617383e-01,2.005934261384312578e-01
-6.562500000000000000e-01,3.586676534982172759e-01,2.641432375905811147e-01,2.602633913950694322e-01
-6.037500000000000089e-01,4.335321068834399605e-01,3.288750749472084678e-01,3.291095117062158293e-01
-5.512499999999999067e-01,5.137940382769268233e-01,4.001937581180020631e-01,3.982173502070205373e-01
-4.987499999999999156e-01,6.045128144507658785e-01,4.722000736458540904e-01,4.789244793836328062e-01
-4.462499999999999800e-01,6.891544337008044252e-01,5.542301660746518088e-01,5.743217396415477571e-01
-3.937499999999999889e-01,7.695249730929342169e-01,6.302926347439281596e-01,6.669845760453090300e-01
-3.412499999999999423e-01,8.404314622501892762e-01,7.205245326534680528e-01,7.552019848719757622e-01
-2.887499999999999512e-01,9.074392508729507423e-01,7.942631879769419534e-01,8.356882160620016098e-01
-2.362499999999999600e-01,9.600157030716397477e-01,8.588924545020499846e-01,9.094002403529173328e-01
-1.837499999999999689e-01,1.005327590473551913e+00,9.197301120968464083e-01,9.640878597251572035e-01
-1.312499999999999778e-01,1.027215597193630980e+00,9.733151950015167531e-01,1.013693326934937300e+00
-7.874999999999998668e-02,1.048310145826083062e+00,1.012892754884109348e+00,1.041605048175318515e+00
-2.624999999999999556e-02,1.024055437878046204e+00,1.031516554413265396e+00,1.049972827800706554e+00
2.624999999999999556e-02,9.976873599944281468e-01,1.024490722392737529e+00,1.046326013469898175e+00
7.874999999999998668e-02,9.600475178449175973e-01,1.003826388214958287e+00,1.019016145573830245e+00
1.312499999999999778e-01,9.077576440933624591e-01,9.681529393486869584e-01,9.771579184280401176e-01
1.837500000000000244e-01,8.425107159837879056e-01,9.125778665698313086e-01,9.294175054081371679e-01
2.362500000000000711e-01,7.603066328832939202e-01,8.495429154619466017e-01,8.660402971842073860e-01
2.887500000000000622e-01,6.839552575042658900e-01,7.788350817945759452e-01,7.860905089795656719e-01
3.412500000000000533e-01,5.990478049816226891e-01,7.088065199943659467e-01,7.056196402935495104e-01
3.937500000000000444e-01,5.196031926039526017e-01,6.320056848508107672e-01,6.206376537419403538e-01
4.462500000000000355e-01,4.416240761597471920e-01,5.554021469037447867e-01,5.358922906340778392e-01
4.987500000000000266e-01,3.590823675622207278e-01,4.798042239437777523e-01,4.525376403031763362e-01
5.512500000000000178e-01,2.932294973671050742e-01,4.173138180061937708e-01,3.765456915714970876e-01
6.037500000000000089e-01,2.349435368490566667e-01,3.522185762011317278e-01,3.076540788929652548e-01
6.562500000000000000e-01,1.893872655663040583e-01,2.952872413208185720e-01,2.437760148525906501e-01
7.087499999999999911e-01,1.487211874322860727e-01,2.458678295576759709e-01,1.907155638177296386e-01
7.612499999999999822e-01,1.094807093121169389e-01,1.991785643565587294e-01,1.450835521126314087e-01
8.137499999999999734e-01,7.919793091621556147e-02,1.578131233132862299e-01,1.071563579516258830e-01
