# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,1.702448238866532959e-01,1.357638934269226050e-01,1.140306547092830164e-01
-7.612499999999999822e-01,2.124072445223120498e-01,1.730608771659613854e-01,1.569361227812950121e-01
-7.087499999999999911e-01,2.654924725176220357e-01,2.197327531986194571e-01,1.999400164570568905e-01
-6.562500000000000000e-01,3.240526822907278670e-01,2.809304900634240210e-01,2.588000808978034306e-01
-6.037500000000000089e-01,3.916165243468514578e-01,3.414032974274395227e-01,3.243252777472854786e-01
-5.512499999999999067e-01,4.627404614414272754e-01,4.114659890887945037e-01,3.930664947714400670e-01
-4.987499999999999156e-01,5.448690882534630298e-01,4.847812946671696266e-01,4.646501723243957049e-01
-4.462499999999999800e-01,6.402707410715043901e-01,5.609274763352003479e-01,5.580216885774625935e-01
-3.937499999999999889e-01,7.327276602215562207e-01,6.404308120572508312e-01,6.584245022537021930e-01
-3.412499999999999423e-01,8.233850008296953460e-01,7.132804880144466564e-01,7.436308677024795477e-01
-2.887499999999999512e-01,8.826477528818850171e-01,7.932630975974550580e-01,8.288782275567672109e-01
-2.362499999999999600e-01,9.419829911674328926e-01,8.634710125395895775e-01,9.056402811511768958e-01
-1.837499999999999689e-01,9.866618204800902125e-01,9.206063800327345392e-01,9.643054625833357152e-01
-1.312499999999999778e-01,1.020209224013307603e+00,9.637879754520681796e-01,1.014369260334570644e+00
-7.874999999999998668e-02,1.045858565792706196e+00,9.983953095489694896e-01,1.042153129465352102e+00
-2.624999999999999556e-02,1.043372983556873912e+00,1.021338264080537073e+00,1.043955363589999852e+00
2.624999999999999556e-02,1.027100903779264218e+00,1.024612751022278889e+00,1.039646511744380275e+00
7.874999999999998668e-02,9.870073824602063617e-01,1.007172106123380484e+00,1.024427556467069289e+00
1.312499999999999778e-01,9.405633114975336939e-01,9.674222149815775440e-01,9.863594394952028832e-01
1.837500000000000244e-01,8.718507199222942372e-01,9.133117494997418095e-01,9.357908665521071923e-01
2.362500000000000711e-01,7.855882707457033653e-01,8.525904678190224795e-01,8.768814173459769101e-01
2.887500000000000622e-01,7.047794564210071444e-01,7.705773776350264281e-01,7.933602601127119902e-01
3.412500000000000533e-01,6.217916684310885733e-01,7.014248503195970041e-01,7.166141807635704186e-01
3.937500000000000444e-01,5.373170107772059501e-01,6.231957461038599710e-01,6.319557556373356366e-01
4.462500000000000355e-01,4.703311619953536860e-01,5.463955177150537912e-01,5.456127597640059168e-01
4.987500000000000266e-01,4.007354315765023212e-01,4.793828627409972287e-01,4.539822426114130116e-01
5.512500000000000178e-01,3.304950599593776683e-01,4.143396665241094179e-01,3.774169650921262442e-01
6.037500000000000089e-01,2.717133485063114029e-01,3.567545343774984890e-01,3.097399819550532007e-01
6.562500000000000000e-01,2.174745641497066173e-01,2.916539927823428302e-01,2.442308280079752147e-01
7.087499999999999911e-01,1.710314309339287797e-01,2.376935477769767380e-01,1.891703327253615174e-01
7.612499999999999822e-01,1.270787923391991925e-01,1.885796729309496544e-01,1.429628231198857569e-01
8.137499999999999734e-01,9.422049685029376676e-02,1.498725785701190416e-01,1.083395233215058290e-01
