# time,average_velocity_axis_0_t_inf,95CLI,vs,reorientationtime
9.997999999999999332e+00,5.242711229745948831e-01,7.895305415726644460e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.444744804429636043e-01,4.063274595103343739e-02,4.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,5.985198121167202567e-02,9.643264518673404923e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.997999999999999332e+00,2.060520230999324798e-01,2.717214337547750949e-02,4.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.153855841480796673e-01,5.998224475274851336e-02,8.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,5.286301312996975060e-02,6.748250848798988469e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.997999999999999332e+00,3.930589617923584411e-01,6.201542924835145437e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,3.834925461654831169e-02,6.668160709651677932e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,1.563642902408606816e-01,2.679427646102755869e-02,4.000000000000000000e+00,1.000000000000000000e+00
9.997999999999999332e+00,2.953375714205340730e-01,5.563984444941001001e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,2.450609680041477417e-02,6.757377660029859068e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.291477557230196194e-01,2.797377069757290766e-02,4.000000000000000000e+00,2.000000000000000000e+00
9.997999999999999332e+00,1.063377466508926839e-01,2.797656515675078434e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.967510338005101556e-01,5.998915917032151407e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.226202545196539692e-02,6.715252515983699023e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.997999999999999332e+00,2.027237067286504282e-02,6.738552703315903863e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,1.137727750628250711e-01,2.673762086884769879e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,2.988289697001900169e-01,5.467352821139628838e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.997999999999999332e+00,9.338428466943389517e-02,2.756009247734569900e-02,4.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,2.612545868548710182e-01,5.234735696220745721e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,1.567465206908569275e-02,6.772446649358734860e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.997999999999999332e+00,7.516793514952990751e-02,2.704296453513451229e-02,4.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,2.168977920584116981e-01,5.042989593591976766e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,1.901988237002869356e-02,6.659713444304561289e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.997999999999999332e+00,9.313009047121925676e-02,2.804304772197866932e-02,4.000000000000000000e+00,7.000000000000000000e+00
9.997999999999999332e+00,1.541832960342068570e-01,4.642439264702374196e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.997999999999999332e+00,1.184766552919958894e-02,6.621006262726684619e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.997999999999999332e+00,4.660000398517203518e-02,2.675929220538567424e-02,4.000000000000000000e+00,8.000000000000000000e+00
9.997999999999999332e+00,1.249200968123312383e-02,6.646963030613963277e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.997999999999999332e+00,1.295544804273354722e-01,5.411956297872042715e-02,8.000000000000000000e+00,8.000000000000000000e+00
