# reorientationtime,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,2.343804729440814860e-01,5.636620874101825329e-01,6.213899215897486505e-02
1.632653061224489666e-01,2.215265941568556884e-01,5.356986644154420052e-01,5.800655863707168680e-02
3.265306122448979331e-01,2.095262652456110486e-01,5.095832770621173680e-01,5.413422186728062552e-02
4.897959183673469274e-01,1.983491774431265231e-01,4.852476205507877949e-01,5.051357890470389161e-02
6.530612244897958663e-01,1.879650219821811796e-01,4.626233900820329592e-01,4.713622680444373714e-02
8.163265306122448051e-01,1.783434900955539748e-01,4.416422808564322566e-01,4.399376262160235168e-02
9.795918367346938549e-01,1.694542730160238653e-01,4.222359880745649718e-01,4.107778341128195954e-02
1.142857142857142794e+00,1.612670619763698632e-01,4.043362069370106671e-01,3.837988622858479887e-02
1.306122448979591733e+00,1.537515482093710639e-01,3.878746326443486825e-01,3.589166812861307315e-02
1.469387755102040671e+00,1.468774229478063131e-01,3.727829603971584138e-01,3.360472616646899974e-02
1.632653061224489610e+00,1.406143774244546785e-01,3.589928853960193678e-01,3.151065739725481679e-02
1.795918367346938549e+00,1.349321028720951443e-01,3.464361028415107735e-01,2.960105887607272779e-02
1.959183673469387710e+00,1.298002905235067228e-01,3.350443079342122488e-01,2.786752765802495702e-02
2.122448979591836427e+00,1.251886316114683706e-01,3.247491958747031338e-01,2.630166079821373570e-02
2.285714285714285587e+00,1.210668173687591415e-01,3.154824618635628797e-01,2.489505535174126732e-02
2.448979591836734304e+00,1.174045390281580059e-01,3.071758011013707712e-01,2.363930837370979351e-02
2.612244897959183465e+00,1.141714878224439067e-01,2.997609087887063706e-01,2.252601691922150734e-02
2.775510204081632626e+00,1.113373549843958976e-01,2.931694801261491290e-01,2.154677804337864697e-02
2.938775510204081343e+00,1.088718317467929769e-01,2.873332103142783311e-01,2.069318880128342975e-02
3.102040816326530503e+00,1.067446093424141013e-01,2.821837945536733727e-01,1.995684624803807650e-02
3.265306122448979220e+00,1.049253790040382550e-01,2.776529280449138160e-01,1.932934743874478722e-02
3.428571428571428381e+00,1.033838319644444642e-01,2.736723059885789455e-01,1.880228942850582785e-02
3.591836734693877098e+00,1.020896594564117410e-01,2.701736235852483237e-01,1.836726927242336022e-02
3.755102040816326259e+00,1.010125527127190836e-01,2.670885760355010685e-01,1.801588402559965718e-02
3.918367346938775420e+00,1.001222029661454349e-01,2.643488585399169644e-01,1.773973074313690487e-02
4.081632653061224580e+00,9.938830144946986245e-02,2.618861662990753514e-01,1.753040648013735187e-02
4.244897959183672853e+00,9.878053939547117024e-02,2.596321945135554032e-01,1.737950829170319123e-02
4.408163265306122014e+00,9.826860803692863411e-02,2.575186383839367377e-01,1.727863323293665071e-02
4.571428571428571175e+00,9.782219860662112743e-02,2.554771931107988614e-01,1.721937835893995461e-02
4.734693877551020336e+00,9.741100233732759295e-02,2.534395538947208926e-01,1.719334072481532721e-02
4.897959183673468608e+00,9.700471046182709833e-02,2.513374159362825044e-01,1.719211738566499975e-02
5.061224489795917769e+00,9.657301421289851695e-02,2.491024744360629817e-01,1.720730539659114100e-02
5.224489795918366930e+00,9.608560482332093033e-02,2.466664245946416090e-01,1.723050181269603076e-02
5.387755102040816091e+00,9.551217352587346165e-02,2.439609616125983371e-01,1.725330368908185863e-02
5.551020408163265252e+00,9.482241155333490101e-02,2.409177806905120622e-01,1.726730808085086277e-02
5.714285714285713524e+00,9.398601013848434382e-02,2.374685770289624021e-01,1.726411204310523972e-02
5.877551020408162685e+00,9.297266051410074672e-02,2.335450458285287523e-01,1.723531263094722765e-02
6.040816326530611846e+00,9.175205391296309410e-02,2.290788822897904531e-01,1.717250689947902309e-02
6.204081632653061007e+00,9.029388156785045361e-02,2.240017816133268447e-01,1.706729190380291972e-02
6.367346938775509280e+00,8.856783471154167087e-02,2.182454389997177113e-01,1.691126469902101692e-02
6.530612244897958441e+00,8.654360457681586904e-02,2.117415496495419491e-01,1.669602234023559451e-02
6.693877551020407601e+00,8.419088239645211580e-02,2.044218087633793424e-01,1.641316188254891839e-02
6.857142857142856762e+00,8.147935940322914572e-02,1.962179115418092312e-01,1.605428038106317123e-02
7.020408163265305923e+00,7.837872682992624851e-02,1.870615531854108449e-01,1.561097489088052181e-02
7.183673469387754196e+00,7.485867590932221427e-02,1.768844288947644117e-01,1.507484246710327769e-02
7.346938775510203357e+00,7.088889787419616617e-02,1.656182338704483836e-01,1.443748016483362151e-02
7.510204081632652517e+00,6.643908395732706085e-02,1.531946633130418789e-01,1.369048503917377757e-02
7.673469387755101678e+00,6.147892539149391045e-02,1.395454124231261250e-01,1.282545414522595628e-02
7.836734693877550839e+00,5.597811340947556058e-02,1.246021764012783528e-01,1.183398453809234030e-02
8.000000000000000000e+00,4.990633924405107891e-02,1.082966504480795678e-01,1.070767327287525106e-02
