# time, c_var
2.000000000000000042e-03,4.955968014938950914e-09
4.000000000000000083e-03,4.512444943777761842e-09
1.600000000000000033e-02,3.326192884007985864e-09
3.200000000000000067e-02,2.553571465434327429e-09
6.400000000000000133e-02,1.534224965538644705e-09
1.280000000000000027e-01,5.793787228409484062e-10
2.560000000000000053e-01,8.768604999156570858e-11
5.120000000000000107e-01,2.557948167106945839e-12
1.024000000000000021e+00,2.507346210512726808e-18
1.536000000000000032e+00,4.270481404906500544e-19
2.048000000000000043e+00,6.221238442890096365e-20
4.096000000000000085e+00,4.240185492372817428e-20
8.192000000000000171e+00,1.727391099802212718e-20
