# time, log_rho_var
2.000000000000000042e-03,1.684269853161508568e-01
4.000000000000000083e-03,1.806402005797529409e-01
1.600000000000000033e-02,3.085947720625532020e-01
3.200000000000000067e-02,5.275237518278681481e-01
6.400000000000000133e-02,1.173400040020696977e+00
1.280000000000000027e-01,3.123310311618304080e+00
2.560000000000000053e-01,7.047452554503721878e+00
5.120000000000000107e-01,5.603332894298588940e+00
1.024000000000000021e+00,9.083813793984503449e-02
1.536000000000000032e+00,7.549139533573843153e+00
2.048000000000000043e+00,2.285220469380484232e-01
4.096000000000000085e+00,9.136264244005869450e-01
8.192000000000000171e+00,7.674587469316238142e+00
