# log(rho), p(log(rho))
3.803068471912087745e-01,7.663816392363312358e-02
3.941361870890709440e-01,7.681482529463015685e-02
4.079655269869326695e-01,7.740419857392802361e-02
4.217948668847948390e-01,7.752728124858948577e-02
4.356242067826570086e-01,7.798932171614054998e-02
4.494535466805191781e-01,7.886841506533308344e-02
4.632828865783813477e-01,7.894382698199851889e-02
4.771122264762435172e-01,7.922439674380976626e-02
4.909415663741056868e-01,7.985078727067213000e-02
5.047709062719678563e-01,8.000996231914581092e-02
5.186002461698300259e-01,7.990126549370187015e-02
5.324295860676921954e-01,7.988552384908703674e-02
5.462589259655543650e-01,7.960679023269266741e-02
5.600882658634165345e-01,7.961953180580036427e-02
5.739176057612787041e-01,7.984175379751047574e-02
5.877469456591404295e-01,8.007083253018687508e-02
6.015762855570025991e-01,7.961672407287195830e-02
6.154056254548647686e-01,7.963702480085241286e-02
6.292349653527269382e-01,8.006187205495453318e-02
6.430643052505891077e-01,7.974907422724550332e-02
6.568936451484512773e-01,7.936803360389103890e-02
6.707229850463134468e-01,7.904540326297390673e-02
6.845523249441756164e-01,7.865390640246475162e-02
6.983816648420377859e-01,7.889414235956201948e-02
7.122110047398999555e-01,7.894586519815396941e-02
7.260403446377621250e-01,7.880593806202942919e-02
7.398696845356242946e-01,7.819493901145152526e-02
7.536990244334864641e-01,7.832725648397048657e-02
7.675283643313486337e-01,7.785119513970287231e-02
7.813577042292103592e-01,7.763638800389377481e-02
7.951870441270725287e-01,7.749033951113480645e-02
8.090163840249346983e-01,7.699946387335898645e-02
8.228457239227968678e-01,7.684827945895045254e-02
8.366750638206590374e-01,7.621450865485378257e-02
8.505044037185212069e-01,7.597940868283947768e-02
8.643337436163833765e-01,7.546936476414881079e-02
8.781630835142455460e-01,7.570362847005374096e-02
8.919924234121077156e-01,7.492069016757305078e-02
9.058217633099698851e-01,7.494179526815589187e-02
9.196511032078320547e-01,7.442243459756474333e-02
9.334804431056942242e-01,7.437023752301319401e-02
9.473097830035563938e-01,7.398399080232796743e-02
9.611391229014181192e-01,7.331171773779962542e-02
