# time, lyapunov_exponent_2
2.000000000000000042e-03,3.575496832009862658e+01
4.000000000000000083e-03,1.242613290401691728e+01
1.600000000000000033e-02,-1.385289472162372748e+00
3.200000000000000067e-02,8.155506382925574727e+00
6.400000000000000133e-02,1.833692175767108878e+01
1.280000000000000027e-01,2.367365673553271677e+01
2.560000000000000053e-01,2.652667497625030890e+01
5.120000000000000107e-01,2.869570108210199422e+01
1.024000000000000021e+00,2.977320493640550225e+01
1.536000000000000032e+00,7.785687266136797291e+00
2.048000000000000043e+00,1.365048842417372832e+01
4.096000000000000085e+00,5.516244562740388879e+00
8.192000000000000171e+00,1.412214926289010242e+00
