# time,average_velocity_axis_0_t_inf,95CLI,vs,delay,surftimeconst
9.996000000000000441e+00,7.899512949711133547e-02,6.330632345082494797e-03,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.505535544295843187e-01,6.092112776263976064e-03,1.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00
9.996000000000000441e+00,5.375849392491371948e-02,6.195366586362071638e-03,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.741727666652598261e-01,6.120837796607257221e-03,1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00
9.996000000000000441e+00,9.561339994982367974e-02,6.163864331652270552e-03,1.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,1.962057301436199441e-01,5.854502122070559533e-03,1.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
9.996000000000000441e+00,4.677897135416665686e-02,6.174358300789314913e-03,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.643372069530937063e-01,6.052367379633960022e-03,1.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000000e+00
9.996000000000000441e+00,1.793297048311511821e-01,6.069726802653235657e-03,1.000000000000000000e+00,1.500000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,7.882592109109268219e-02,5.974154128837541947e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,1.229008800785939270e-01,6.328279101900921751e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.813978736025660177e-01,5.889423132452652546e-03,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
9.996000000000000441e+00,5.563033328565800129e-02,6.213332783973872162e-03,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.077136029216374080e-01,6.030019542099495679e-03,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
9.996000000000000441e+00,2.216758439704006600e-01,6.038211282355789716e-03,1.000000000000000000e+00,1.500000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,6.062719794949229801e-02,6.192149567995344425e-03,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,1.573034758825405111e-01,6.276158713036307513e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,8.903535789315726590e-02,6.203046587104366245e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.458420955296180876e-01,5.740370889562883272e-03,1.000000000000000000e+00,2.500000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,3.267860010215023481e-01,5.573338612994134349e-03,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,3.081267465970763397e-01,5.655767615300974147e-03,1.000000000000000000e+00,7.500000000000000000e-01,2.000000000000000000e+00
9.996000000000000441e+00,3.162606105918929766e-01,5.617464750920900078e-03,1.000000000000000000e+00,7.500000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,2.305347592161864911e-01,5.918880323953794841e-03,1.000000000000000000e+00,1.500000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,1.740081352853641294e-01,6.082319209886392214e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.329951638858668073e-01,5.555438057264658509e-03,1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,6.630830476721938371e-02,5.924145321486035294e-03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.464147172540891217e-01,5.342951292264513236e-03,1.000000000000000000e+00,2.500000000000000000e-01,3.000000000000000000e+00
9.996000000000000441e+00,1.038980862852953574e-01,6.035605857110085473e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,3.087693729835684353e-01,5.321870271102284097e-03,1.000000000000000000e+00,7.500000000000000000e-01,4.000000000000000000e+00
9.996000000000000441e+00,6.578982061574628615e-02,6.158940896004610685e-03,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,1.826911448173019203e-01,6.031810237509240002e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,3.181492967304109243e-01,5.600363948467940167e-03,1.000000000000000000e+00,5.000000000000000000e-01,4.000000000000000000e+00
9.996000000000000441e+00,3.281588133300195054e-01,5.520781218240944192e-03,1.000000000000000000e+00,2.500000000000000000e-01,4.000000000000000000e+00
