# vs,delay,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,2.000000000000000000e+00,4.408163265306122014e+00,1.807797555112415633e-01
1.000000000000000000e+00,7.500000000000000000e-01,3.102040816326530503e+00,3.225112549204550705e-01
1.000000000000000000e+00,3.000000000000000000e+00,6.040816326530611846e+00,1.138219204444085864e-01
1.000000000000000000e+00,5.000000000000000000e-01,2.938775510204081343e+00,3.370042579665977200e-01
1.000000000000000000e+00,1.500000000000000000e+00,3.591836734693877098e+00,2.392862810842936727e-01
1.000000000000000000e+00,2.500000000000000000e-01,2.775510204081632626e+00,3.525596964914369802e-01
1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,8.205062274970945091e-02
