# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,reorientationtime
9.999000000000000554e+00,-1.173031492154694017e-01,4.709848330336149913e-03,-4.734341184692751961e-03,4.052356296346743166e-03,-3.094352957924042472e-03,3.567676949348997512e-03,4.000000000000000000e+00,5.000000000000000000e-01
9.999000000000000554e+00,-8.498420180983334848e-02,3.552930217461928390e-03,-5.139900970294222771e-03,3.337055200209689768e-03,-7.652359057778285699e-03,2.713852607268462617e-03,8.000000000000000000e+00,5.000000000000000000e-01
9.999000000000000554e+00,-6.201872635980617415e-02,6.256747767772669229e-03,2.603422773648386875e-03,5.845419484343152526e-03,-9.935108766332616075e-04,5.077096910014107164e-03,1.000000000000000000e+00,5.000000000000000000e-01
9.999000000000000554e+00,-9.574274145551747717e-02,3.612420115786281905e-03,-5.800540700746571743e-03,3.346574045512046552e-03,-8.867420938859105900e-03,2.695466823047158299e-03,8.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,-7.055850559224093044e-02,6.031741101131432407e-03,7.415436711778738456e-03,6.156257815372510878e-03,-2.630102214225128569e-03,5.373770318190361148e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,-1.300594312876682535e-01,4.701417916103902209e-03,1.632167605541355029e-04,4.316675706936207342e-03,-6.678592938931746277e-03,3.768594237701860476e-03,4.000000000000000000e+00,1.000000000000000000e+00
9.999000000000000554e+00,-8.915419215434257361e-02,3.222112087255124199e-03,-3.302111411018572411e-03,2.993014324520762263e-03,-8.392482037283948218e-03,2.773008770179531679e-03,8.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,-5.154105160198429320e-02,6.293692801784897192e-03,2.013644054978058762e-03,6.346065984898262465e-03,-4.611065897172127517e-03,5.786842014791547702e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,-1.239049927144453972e-01,4.596057243434165801e-03,3.156004395702897113e-03,4.414418157867226918e-03,-2.657022105930376653e-03,3.969776539115873852e-03,4.000000000000000000e+00,2.000000000000000000e+00
9.999000000000000554e+00,-1.087910370865280141e-01,4.470711659943613255e-03,6.133223677920664196e-03,4.534460144642025493e-03,-3.108885407684089646e-03,4.064889976798650127e-03,4.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,-8.466395164580364785e-02,3.197721979588705014e-03,2.821427862669653210e-03,3.070782202744625974e-03,-4.645304261022796533e-03,2.721805301403629369e-03,8.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,-4.154773674112833409e-02,6.128576098958567198e-03,-3.508971528545846031e-03,6.238059967353506985e-03,-4.744723164742481545e-05,5.690527821468525059e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.999000000000000554e+00,-3.616215340818555724e-02,5.904391452042874640e-03,2.073499934973949306e-03,6.368123563095167555e-03,-2.400987835147814012e-03,5.697997032082575096e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,-9.126450205915848102e-02,4.462528516291350278e-03,2.350858468150123642e-03,4.800353075878603139e-03,-9.177333072838553957e-03,4.223902647893350813e-03,4.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,-7.608462814234029370e-02,3.191518783229066632e-03,1.925453983812612686e-03,3.246194841243442951e-03,-5.490218701962730832e-03,2.848771447737691483e-03,8.000000000000000000e+00,4.000000000000000000e+00
9.999000000000000554e+00,-7.839720035846345358e-02,4.582341232649379120e-03,8.882510858765750930e-03,4.985389002163930286e-03,-5.954560433811680389e-03,4.266184124979316948e-03,4.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,-6.823531201054711115e-02,3.102387415300391586e-03,2.805886938725529224e-03,3.289874622777730784e-03,-5.574315579071690598e-03,2.906536490057644567e-03,8.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,-3.079173258824796991e-02,6.170495772056449821e-03,-3.531466230972560121e-03,6.464714044863649131e-03,-2.346370118066229502e-03,5.907642974003942012e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.999000000000000554e+00,-6.883524918278062510e-02,4.578110890851897277e-03,5.136576348792739818e-03,4.980597025483002663e-03,-5.490479208357551197e-03,4.442239426507510469e-03,4.000000000000000000e+00,6.000000000000000000e+00
9.999000000000000554e+00,-6.445155452610648594e-02,3.260658947478187533e-03,1.339416609353919277e-03,3.565504291743206138e-03,-5.944350466137239206e-03,3.070607189426858251e-03,8.000000000000000000e+00,6.000000000000000000e+00
