# reorientationtime,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,7.487479269164122320e-01,1.618233286489077383e+00,1.620269754259641148e-01
1.632653061224489666e-01,7.250619851748647537e-01,1.593930836963962205e+00,1.505684796477055332e-01
3.265306122448979331e-01,7.022022672303601665e-01,1.569902200010281357e+00,1.397530572498257295e-01
4.897959183673469274e-01,6.801497941737226771e-01,1.546148345502273092e+00,1.295622713028446449e-01
6.530612244897958663e-01,6.588855870957752714e-01,1.522670243314175220e+00,1.199776848772821786e-01
8.163265306122448051e-01,6.383906670873420452e-01,1.499468863320225775e+00,1.109808610436582438e-01
9.795918367346938549e-01,6.186460552392458734e-01,1.476545175394663012e+00,1.025533628724927399e-01
1.142857142857142794e+00,5.996327726423107407e-01,1.453900149411725184e+00,9.467675343430559387e-02
1.306122448979591733e+00,5.813318403873600770e-01,1.431534755245649881e+00,8.733259579961673291e-02
1.469387755102040671e+00,5.637242795652173122e-01,1.409449962770675358e+00,8.050245303894602855e-02
1.632653061224489610e+00,5.467911112667062090e-01,1.387646741861039645e+00,7.416788822281339399e-02
1.795918367346938549e+00,5.305133565826501973e-01,1.366126062390980778e+00,6.831046442173877020e-02
1.959183673469387710e+00,5.148720366038727070e-01,1.344888894234737009e+00,6.291174470624204262e-02
2.122448979591836427e+00,4.998481724211973898e-01,1.323936207266546150e+00,5.795329214684315916e-02
2.285714285714285587e+00,4.854227851254476755e-01,1.303268971360646233e+00,5.341666981406198444e-02
2.448979591836734304e+00,4.715768958074472716e-01,1.282888156391275514e+00,4.928344077841847332e-02
2.612244897959183465e+00,4.582915255580196079e-01,1.262794732232672024e+00,4.553516811043247653e-02
2.775510204081632626e+00,4.455476954679882251e-01,1.242989668759073352e+00,4.215341488062396974e-02
2.938775510204081343e+00,4.333264266281765531e-01,1.223473935844718197e+00,3.911974415951284534e-02
3.102040816326530503e+00,4.216087401294084103e-01,1.204248503363844369e+00,3.641571901761900265e-02
3.265306122448979220e+00,4.103756570625071154e-01,1.185314341190689902e+00,3.402290252546233407e-02
3.428571428571428381e+00,3.996081985182961538e-01,1.166672419199492827e+00,3.192285775356282218e-02
3.591836734693877098e+00,3.892873855875992883e-01,1.148323707264491178e+00,3.009714777244027611e-02
3.755102040816326259e+00,3.793942393612399488e-01,1.130269175259922987e+00,2.852733565261467152e-02
3.918367346938775420e+00,3.699097809300415096e-01,1.112509793060026508e+00,2.719498446460592855e-02
4.081632653061224580e+00,3.608150313848277335e-01,1.095046530539039553e+00,2.608165727893400204e-02
4.244897959183672853e+00,3.520910118164221059e-01,1.077880357571200598e+00,2.516891716611863866e-02
4.408163265306122014e+00,3.437187433156480010e-01,1.061012244030747009e+00,2.443832719667988346e-02
4.571428571428571175e+00,3.356792469733291817e-01,1.044443159791917264e+00,2.387145044113762882e-02
4.734693877551020336e+00,3.279535438802891334e-01,1.028174074728949172e+00,2.344984997001177407e-02
4.897959183673468608e+00,3.205226551273512858e-01,1.012205958716081433e+00,2.315508885382222548e-02
5.061224489795917769e+00,3.133676018053393464e-01,9.965397816275514131e-01,2.296873016308891013e-02
5.224489795918366930e+00,3.064694050050765783e-01,9.811765133375974779e-01,2.287233696833164409e-02
5.387755102040816091e+00,2.998090858173867446e-01,9.661171237204576601e-01,2.284747234007052097e-02
5.551020408163265252e+00,2.933676653330933859e-01,9.513625826503697702e-01,2.287569934882532907e-02
5.714285714285713524e+00,2.871261646430199321e-01,9.369138600015722851e-01,2.293858106511603712e-02
5.877551020408162685e+00,2.810656048379898131e-01,9.227719256483029042e-01,2.301768055946243341e-02
6.040816326530611846e+00,2.751670070088269582e-01,9.089377494647997713e-01,2.309456090238459769e-02
6.204081632653061007e+00,2.694113922463545197e-01,8.954123013253009189e-01,2.315078516440235989e-02
6.367346938775509280e+00,2.637797816413963159e-01,8.821965511040446017e-01,2.316791641603552221e-02
6.530612244897958441e+00,2.582531962847754992e-01,8.692914686752686304e-01,2.312751772780416437e-02
6.693877551020407601e+00,2.528126572673160544e-01,8.566980239132110375e-01,2.301115217022828285e-02
6.857142857142856762e+00,2.474391856798411893e-01,8.444171866921101888e-01,2.280038281382751331e-02
7.020408163265305923e+00,2.421138026131745002e-01,8.324499268862037837e-01,2.247677272912187996e-02
7.183673469387754196e+00,2.368175291581398612e-01,8.207972143697301881e-01,2.202188498663132377e-02
7.346938775510203357e+00,2.315313864055603132e-01,8.094600190169272125e-01,2.141728265687586896e-02
7.510204081632652517e+00,2.262363954462598969e-01,7.984393107020328895e-01,2.064452881037504017e-02
7.673469387755101678e+00,2.209135773710616535e-01,7.877360592992855848e-01,1.968518651764933347e-02
7.836734693877550839e+00,2.155439532707892347e-01,7.773512346829231090e-01,1.852081884921807919e-02
8.000000000000000000e+00,2.101085442362662925e-01,7.672858067271834948e-01,1.713298887560160688e-02
