# time,average_velocity_axis_0_t_inf,95CLI,vs,th
9.996000000000000441e+00,2.193468874366152552e-02,3.079935223482397743e-03,1.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,3.126665326775240894e-02,3.105867746466968969e-03,1.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,3.913922363378945224e-02,3.101416375446846424e-03,1.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,4.894639098315106684e-02,3.133619057742766979e-03,1.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,5.647835962998480619e-02,3.119944227079725178e-03,1.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,5.704573775310905343e-02,3.049449618934997087e-03,1.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,5.736955592783988395e-02,3.000945421231773075e-03,1.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,5.847344318586809864e-02,3.047347919327164905e-03,1.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,5.863210613835377616e-02,3.028420454930382411e-03,1.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,5.361292375837053287e-02,3.038264453151806165e-03,1.000000000000000000e+00,5.000000000000000000e-01
