# time,us^2,95CLI,vs,th
9.996000000000000441e+00,3.563998074283401540e-01,1.084558229863707111e-02,4.000000000000000000e+00,1.000000000000000056e-01
9.996000000000000441e+00,3.655463442394053519e-01,8.779772548313238487e-03,4.000000000000000000e+00,1.499999999999999944e-01
9.996000000000000441e+00,3.578155201752039605e-01,7.246956922323060518e-03,4.000000000000000000e+00,2.000000000000000111e-01
9.996000000000000441e+00,3.590853849347205307e-01,6.210489552899175689e-03,4.000000000000000000e+00,2.500000000000000000e-01
9.996000000000000441e+00,3.653486298183384329e-01,5.347707545084478577e-03,4.000000000000000000e+00,2.999999999999999889e-01
9.996000000000000441e+00,3.596938194642473885e-01,4.771147504729822929e-03,4.000000000000000000e+00,3.499999999999999778e-01
9.996000000000000441e+00,3.593299711198589819e-01,4.279249094117469621e-03,4.000000000000000000e+00,3.930000000000000160e-01
9.996000000000000441e+00,3.616216512202390376e-01,4.086512918855496508e-03,4.000000000000000000e+00,4.000000000000000222e-01
9.996000000000000441e+00,3.617105269294619285e-01,3.593949458576588523e-03,4.000000000000000000e+00,4.500000000000000111e-01
9.996000000000000441e+00,3.647516735556907141e-01,3.138631676578454953e-03,4.000000000000000000e+00,5.000000000000000000e-01
