# pos_1,concentration
1.389139705019461386e-03,1.204956790883692230e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,1.270135980426560229e-01
7.811706625951745156e-03,2.142749851215045576e-01
1.389139705019461560e-02,1.164791564520902156e+00
2.470278535103651030e-02,8.357029649185966358e-01
4.392845456035934792e-02,8.001856676687327807e-01
7.811706625951746197e-02,9.285249355265197124e-01
1.389139705019461490e-01,9.519158647981166288e-01
2.470278535103651030e-01,9.847743046067786166e-01
4.392845456035935348e-01,1.155823742188169856e+00
7.811706625951745364e-01,9.642374330467705645e-01
