# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,4.951151010517624435e-02,0.000000000000000000e+00
2.470278535103650856e-03,5.142556731967893452e-02,0.000000000000000000e+00
4.392845456035934966e-03,5.049207234684136708e-02,0.000000000000000000e+00
7.811706625951745156e-03,5.971011622589031398e-02,2.500000000000000000e-01
1.389139705019461560e-02,7.072663086520994402e-02,2.500000000000000000e-01
2.470278535103651030e-02,7.855983722512434320e-02,2.500000000000000000e-01
4.392845456035934792e-02,8.076050022013066265e-02,2.500000000000000000e-01
7.811706625951746197e-02,7.843046812711063076e-02,2.500000000000000000e-01
1.389139705019461490e-01,7.616717697516663110e-02,5.000000000000000000e-01
2.470278535103651030e-01,7.425959502307512283e-02,5.000000000000000000e-01
4.392845456035935348e-01,7.074249540205304609e-02,7.500000000000000000e-01
7.811706625951745364e-01,6.532220672744584733e-02,1.000000000000000000e+00
